topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,republish_annually,notes
medicare-general-enrollment-period-2026,Medicare General Enrollment Period 2026: Jan-Mar Catch-Up for Late Enrollees,75,,1000,,slight,medium,n,2,"medicare.gov,cms,boomer-benefits",n,n,n,
turning-65,Turning 65? Medicare Enrollment Deadlines and Decisions 2026,,,,,slight,high,n,LIVE,"medicare.gov,medicarefaq,boomer-benefits,ebinsurance,kiplinger",y,n,n,"LIVE on site"
turning-65-while-working,Turning 65 While Still Working: Do You Need Medicare in 2026?,135,456,2400,,slight,high,n,1,"bing-related=456,medicare.gov,boomer-benefits,ssa",n,y,n,
turning-65-still-working-large-employer,Turning 65 With Large-Employer Coverage 2026: How to Safely Delay Part B,20,,720,,slight,medium,n,2,"medicare.gov,boomer-benefits",n,n,n,
turning-65-cobra-decision,Turning 65 on COBRA 2026: You Must Enroll in Medicare to Avoid Penalty,30,,1300,,slight,medium,n,1,"medicare.gov,ssa,cms,boomer-benefits",n,y,n,
turning-65-on-aca,Turning 65 on ACA Marketplace 2026: Transitioning to Medicare,10,,720,,slight,medium,n,1,"medicare.gov,healthcare.gov,healthinsurance.org",n,n,n,
turning-65-spouse-employer-plan,Turning 65 on Spouse's Employer Plan 2026: Coordinating Medicare,5,,170,,none,low,n,2,"medicare.gov,shrm,boomer-benefits",n,n,n,
turning-64-pre-medicare,Turning 64? Your Pre-Medicare Year Checklist for 2026,40,,720,,none,low,n,2,"medicare.gov,ssa,boomer-benefits",n,n,n,
turning-66-67-ssa,Turning 66 or 67 in 2026? Full Retirement Age and Medicare,30,,720,,none,low,n,3,"ssa,aarp,medicare.gov",n,n,n,
medicare-late-enrollment-penalty,Missed Medicare Initial Enrollment 2026? Penalties and How to Fix,80,,1300,,slight,medium,n,2,"medicare.gov,kff,boomer-benefits",n,y,n,
medicare-creditable-coverage-lost,Lost Creditable Coverage at 65: Avoiding the Part D Late Enrollment Penalty in 2026,20,,720,,slight,medium,n,2,"medicare.gov-creditable-coverage,boomer-benefits",n,n,n,
medicare-working-after-65-cobra,On COBRA After 65? Do You Still Need to Enroll in Part B?,30,,1300,,slight,medium,n,1,"medicare.gov,boomer-benefits",n,y,n,
medicare-leaving-employer-plan-sep,Leaving Employer Plan at 67 or 70: Medicare SEP and Part B Window 2026,15,,720,,slight,medium,n,2,"medicare.gov-sep,boomer-benefits",n,n,n,
ma-plan-leaving-county,Medicare Advantage Plan Leaving Your County 2026: Your SEP Switch Options,40,,720,,none,medium,n,2,"medicare.gov,cms,kff",n,n,n,
moved-out-of-ma-service-area,Moving Out of Your MA Plan Service Area 2026: Your Medicare SEP,30,,480,,none,medium,n,2,"medicare.gov,medicarefaq",n,n,n,
medigap-guaranteed-issue,Lost Group Coverage at 65? Medigap Guaranteed-Issue Rights 2026,50,,720,,none,low,n,1,"medicare.gov,naic,boomer-benefits",n,n,n,
medicare-disability-under-65,Under 65 With Disability? Medicare Eligibility Path 2026,60,,1300,,slight,low,n,1,"ssa,medicare.gov,cms,kff",n,n,n,
ssdi-approved-medicare,SSDI Approved 2026? The 24-Month Medicare Wait Explained,55,,1000,,slight,low,n,1,"ssa,medicare.gov,aarp,kff",n,n,n,
esrd-medicare-enrollment,ESRD/Kidney Failure? Medicare Under 65 Enrollment Rules 2026,50,,720,,none,low,n,2,"medicare.gov,nkf,cms",n,n,n,"coverage event tied to ESRD diagnosis triggering Medicare entitlement; kept (not diagnosis-as-event)"
als-medicare-enrollment,Diagnosed With ALS? Immediate Medicare Eligibility 2026,40,,480,,none,low,n,2,"medicare.gov,als-association",n,n,n,"coverage event tied to ALS triggering immediate Medicare; kept (statutory eligibility trigger)"
turning-26,Turning 26? Aging Off Your Parent's Plan 2026 (National),,,,,slight,high,n,LIVE,"healthcare.gov,goodrx,moneygeek,naic,uhc,bcbstx",y,n,n,"LIVE on site"
turning-26-step-by-step-2026,Turning 26: Step-by-Step Guide to Transitioning Off Parent's Insurance in 2026,150,,2400,,none,medium,n,1,"goodrx,healthinsurance.org",n,y,n,
turning-26-by-state,Turning 26 by State: Which States Extend Parents' Coverage Past Age 26 in 2026,120,,2900,,none,low,y,1,"healthinsurance.org,commonwealth-fund,state-statute-research",n,n,n,"demand corrected from 250 to 120 per critique §7; hub for the 12 extension states; remaining 39 states use federal default page"
turning-26-NY-age-29,Turning 26 in New York: Age-29 Law Extends Parent's Coverage,50,,480,,none,low,y,1,"nys-dfs-age-29-faq",n,n,n,"state-fork-cap: 1 of 12"
turning-26-NJ-age-31,Turning 26 in New Jersey: DU31 Dependent Coverage to Age 31,50,,320,,none,low,y,1,"nj-dobi-du31-policy,acnj",n,n,n,"state-fork-cap: 2 of 12"
turning-26-PA-extension,Turning 26 in Pennsylvania: Dependent Extension to 30 With Conditions,40,,260,,slight,low,y,2,"pa-insurance-dept,pennie",n,n,n,"state-fork-cap: 3 of 12; only if unmarried + no employer coverage"
turning-26-FL-extension,Turning 26 in Florida: Extension to Age 30 With Conditions,45,,320,,none,low,y,1,"fl-statute-627.6562",n,n,n,"state-fork-cap: 4 of 12"
turning-26-CT-extension,Turning 26 in Connecticut: Dependent Extension to Age 26 (Plus Disabled Adult),30,,170,,none,low,y,2,"ct-insurance-dept",n,n,n,"state-fork-cap: 5 of 12"
turning-26-ID-extension,Turning 26 in Idaho: Conditional Dependent Extension,15,,90,,none,low,y,3,"idaho-doi",n,n,n,"state-fork-cap: 6 of 12"
turning-26-IL-military,Turning 26 in Illinois: Military-Dependent Extension to Age 30,25,,170,,none,low,y,2,"get-covered-il,il-doi",n,n,n,"state-fork-cap: 7 of 12"
turning-26-MA-connectorcare,Turning 26 in Massachusetts: Aging Off Plus ConnectorCare Pickup,30,,210,,slight,low,y,2,"ma-health-connector,doi",n,n,n,"state-fork-cap: 8 of 12; MA has no statutory extension past 26 but has ConnectorCare bridge"
turning-26-OK-extension,Turning 26 in Oklahoma: Dependent Extension Rules,15,,90,,none,low,y,3,"ok-doi",n,n,n,"state-fork-cap: 9 of 12"
turning-26-NM-extension,Turning 26 in New Mexico: Dependent Extension Rules,15,,90,,none,low,y,3,"nm-osi",n,n,n,"state-fork-cap: 10 of 12"
turning-26-NV-extension,Turning 26 in Nevada: Dependent Extension Rules,15,,90,,none,low,y,3,"nv-doi",n,n,n,"state-fork-cap: 11 of 12"
turning-26-OH-age-28,Turning 26 in Ohio: Age-28 Dependent Extension,30,,210,,slight,low,y,2,"oh-dept-insurance",n,n,n,"state-fork-cap: 12 of 12; OH age-28 rule"
turning-26-CA-medi-cal,Turning 26 in California: Medi-Cal and Covered California Options When You Age Off,20,,210,,slight,low,y,2,"dhcs,covered-california",n,n,n,"CA is federal-default for age-26 but Medi-Cal pickup is distinctive; kept as state-fork addendum (not in 12-state extension cap)"
turning-26-TX-no-expansion,Turning 26 in Texas: Marketplace Options Where Medicaid Isn't Expanded,20,,210,,slight,low,y,2,"kff-medicaid-expansion-map",n,n,n,"federal-default for extension but unique non-expansion pathway"
laid-off,Just Lost Your Job? Health Insurance Options in 2026 (National),,,,,slight,high,y,LIVE,"healthcare.gov-sep,healthinsurance.org-norris,kff,boomer,nerdwallet",y,n,n,"LIVE on site as just-lost-job-health-insurance; merged A's laid-off-health-insurance-2026 + B's laid-off"
just-lost-job-state,Just Lost Your Job in [State]? Health Insurance Options for 2026,120,,1600,,slight,medium,y,1,"healthcare.gov-state-pages,kff-state-data,state-mini-cobra",n,y,n,"state-fork base; BUSA overlap corrected from heavy to slight per critique §6"
lost-job-california,Lost Job in California 2026: Covered California + Cal-COBRA SEP,,,,,slight,medium,y,1,"covered-california,dmhc-cal-cobra",n,n,n,"state-fork (51) per critique §4; Cal-COBRA mini"
lost-job-texas,Lost Job in Texas 2026: Healthcare.gov + State Continuation Rules,,,,,slight,medium,y,2,"healthcare.gov,tdi-continuation",n,n,n,"state-fork (51)"
lost-job-new-york,Lost Job in New York 2026: NY State of Health + Mini-COBRA (36 mo),,,,,slight,medium,y,2,"ny-state-of-health,ny-dfs",n,n,n,"state-fork (51); NY mini-COBRA 36mo"
lost-job-illinois,Lost Job in Illinois 2026: Get Covered IL + Continuation Rules,,,,,slight,medium,y,3,"get-covered-il,il-doi",n,n,n,"state-fork (51)"
lost-job-florida,Lost Job in Florida 2026: Healthcare.gov + Mini-COBRA Rules,,,,,slight,medium,y,3,"healthcare.gov,fl-oir",n,n,n,"state-fork (51)"
just-quit-job,Just Quit Your Job 2026? Voluntary Quit and Health Insurance Options,,,,,slight,medium,n,1,"healthcare.gov,dol,healthinsurance.org-norris",n,n,n,
switching-jobs,Switching Jobs in 2026? Bridging Health Insurance Between Roles,,,,,slight,medium,n,1,"healthinsurance.org-norris,kff,nerdwallet",n,n,n,
just-hired-new-job,Just Hired 2026? Decoding Your Employer Health Insurance Offer,,,,,slight,medium,n,2,"shrm,nerdwallet,kff",n,n,n,
new-job-coverage-gap,Starting a New Job: Bridging the Health Insurance Coverage Gap in 2026,80,,1300,,slight,low,n,2,"healthinsurance.org-norris,competitor-landscape",n,n,n,
new-job-employer-waiting-period,Started New Job 2026: Bridging the Employer Waiting Period,,,,,none,low,n,2,"dol,kff,healthinsurance.org-norris",n,n,n,
going-part-time-coverage,Going Part-Time 2026? Losing Employer Coverage Path,,,,,slight,medium,n,2,"healthinsurance.org-norris,kff,nerdwallet",n,n,n,
gig-worker-transition,Going 1099 in 2026? Switching From W-2 to Self-Employed Coverage,,,,,slight,medium,n,1,"stride,catch,healthinsurance.org-norris",n,n,n,
business-started-self-employed,Started a Business 2026? Self-Employed Health Coverage Options,,,,,none,medium,n,2,"irs-pub-535,stride,nerdwallet",n,n,n,"persona-leaning but SEP trigger via loss of group coverage; kept"
business-closed-coverage,Business Closed 2026? Health Insurance After Self-Employment,,,,,none,low,n,2,"healthcare.gov,healthinsurance.org-norris",n,n,n,
employer-stopped-offering-coverage,My Employer Just Stopped Offering Health Insurance: SEP and Next Steps 2026,30,,210,,slight,low,n,1,"healthcare.gov-sep,erisa",n,n,n,
employer-changes-plan-mid-year,Employer Changed Your Health Plan Mid-Year: Your Rights and SEP Options 2026,10,,210,,none,low,n,3,"erisa,healthcare.gov-sep,kff",n,n,n,
hra-qsehra-ichra-offered,Employer Offered an HRA QSEHRA or ICHRA 2026: What to Do,,,,,none,low,n,2,"irs,shrm,kff",n,n,n,
became-eligible-for-employer-plan,Just Became Eligible for Employer Plan 2026: Drop Marketplace?,,,,,none,low,n,2,"healthcare.gov,kff",n,n,n,
just-got-married,Just Got Married? Health Insurance Options and SEP Window 2026,200,1372,3600,,slight,medium,n,1,"bing-related=1372,healthcare.gov-sep-marriage,healthinsurance.org,kff",n,y,n,
just-married-add-spouse-employer,Just Married 2026? Adding Your Spouse to Employer Health Insurance (30-Day Rule),15,,720,,slight,medium,n,2,"dol-hipaa,shrm,irs",n,n,n,
just-married-different-state,Married But Live in Different States 2026? Bi-State Health Insurance Strategy,10,,170,,none,low,y,3,"healthcare.gov,kff",n,n,n,
just-married-both-have-coverage,Just Married 2026? Coordination of Benefits When Both Have Coverage,5,,210,,none,low,n,2,"naic,kff",n,n,n,
got-divorced,Got Divorced? Health Insurance After Divorce in 2026,180,,2400,,slight,medium,n,1,"bing-related-divorce-100kws,healthcare.gov-sep,healthinsurance.org",n,y,n,
divorce-health-insurance-qa,Health Insurance After Divorce: Who Keeps Coverage in 2026 Q&A,130,,1900,,slight,medium,n,2,"competitor-landscape,healthcare.gov",n,y,n,
divorce-keep-employer-coverage,Divorce: Can You Stay on Your Ex's Employer Health Plan in 2026?,15,,720,,slight,medium,n,2,"erisa-cobra,competitor-landscape",n,n,n,
divorced-over-65,Divorced Over 65 in 2026? Medicare and Spousal Benefits Reset,30,,260,,slight,low,n,2,"medicare.gov,ssa,aarp",n,n,n,
divorced-from-active-military-tricare,Divorced From Active Military: Losing TRICARE and Marketplace Options 2026,10,,170,,none,low,n,3,"tricare.mil,va-resources",n,n,n,
spouse-died,Spouse Died? Health Insurance Options for Widows and Widowers 2026,85,,1300,,slight,medium,n,1,"bing-related-widow-100kws,healthcare.gov,ssa,aarp",n,n,n,
widow-over-65,Widow or Widower Over 65 in 2026? Medicare and Survivor Benefits,30,,260,,slight,low,n,2,"ssa,medicare.gov,aarp",n,n,n,
death-of-policyholder-coverage,Death of the Policyholder: What Happens to Dependent Health Insurance 2026,60,,480,,slight,low,n,3,"healthcare.gov-sep,competitor-landscape",n,n,n,
having-a-baby,Having a Baby? How to Add a Newborn to Your Health Insurance in 2026,200,539,3600,,slight,medium,y,1,"bing-related=539-birth+289-pregnancy,healthcare.gov-sep-birth,march-of-dimes,kff",n,y,n,
just-had-twins-multiples,Just Had Twins? Health Insurance and Newborn Enrollment for Multiples 2026,70,,480,,none,low,n,3,"healthcare.gov-sep,competitor-landscape",n,n,n,
postpartum-medicaid-newborn,Just Had a Baby 2026? Postpartum Medicaid Coverage and Newborn Enrollment,20,,720,,slight,low,n,2,"medicaid.gov-postpartum,kff",n,n,n,
became-pregnant-coverage,Became Pregnant and Need Coverage 2026: Medicaid CHIP and Marketplace Options,10,,720,,slight,medium,n,1,"medicaid.gov-pregnancy,healthcare.gov",n,n,n,
medicaid-pregnant-women-2026,Medicaid for Pregnant Women: 2026 Income Limits by State (Hub),140,,3600,,slight,high,y,1,"medicaid.gov,kff-pregnancy-coverage",n,y,n,"hub for the 51 state-fork pregnant-medicaid pages"
pregnant-medicaid-california,Pregnant in California 2026? Medi-Cal for Pregnancy at 213% FPL,,,,,slight,medium,y,1,"dhcs,covered-california",n,n,n,"state-fork (51)"
pregnant-medicaid-texas,Pregnant in Texas 2026? Healthy Texas Women + CHIP-Perinatal,,,,,slight,medium,y,2,"hhsc,texas-medicaid",n,n,n,"state-fork (51)"
pregnant-medicaid-florida,Pregnant in Florida 2026? Medicaid for Pregnancy at 196% FPL,,,,,slight,medium,y,2,"ahca,florida-kidcare",n,n,n,"state-fork (51)"
pregnant-medicaid-new-york,Pregnant in New York 2026? Medicaid and Essential Plan Pregnancy Path,,,,,slight,medium,y,2,"ny-state-of-health,doh",n,n,n,"state-fork (51)"
adopting-child,Adopting a Child in 2026? How to Add a Dependent to Your Health Plan,100,,1600,,slight,low,n,1,"healthcare.gov-sep,adoptuskids",n,n,n,
adopted-child-medicaid-chip,Adopted a Child? Medicaid CHIP and Health Insurance Options for Adoptive Families 2026,20,,260,,none,low,n,3,"medicaid.gov-adoption,healthcare.gov-sep",n,n,n,
foster-parent-health-insurance,Becoming a Foster Parent: Adding a Foster Child to Your Health Plan 2026,85,,720,,slight,low,n,2,"healthcare.gov,medicaid.gov,adoptuskids",n,n,n,
foster-child-medicaid,Took In a Foster Child 2026? Medicaid for Foster Youth,,,,,slight,low,y,2,"acf,cms,medicaid.gov",n,n,n,
kinship-care-medicaid,Took In a Grandchild or Relative 2026? Kinship Care Medicaid Path,,,,,none,low,y,3,"acf,grandfamilies",n,n,n,
legal-guardian-coverage,Became a Legal Guardian 2026? Adding Dependents to Health Plan,,,,,none,low,n,3,"healthcare.gov,nerdwallet",n,n,n,
becoming-dependent-court-order,Court Order Adding You as a Dependent: Health Coverage SEP 2026,30,,260,,none,low,n,3,"cms-sep-toolkit,healthcare.gov",n,n,n,
became-single-parent-coverage,Becoming a Single Parent: Health Insurance for You and Your Children in 2026,5,,210,,slight,low,n,3,"healthcare.gov,medicaid.gov-chip",n,n,n,
moved-to-new-state,Moving to a New State? How to Switch Health Insurance in 2026 (National),180,,2900,,slight,medium,y,1,"healthcare.gov-sep-move,healthinsurance.org,nerdwallet",n,y,n,"state-fork base"
moved-to-california,Moved to California 2026? Switching to Covered California,,,,,slight,medium,y,1,"covered-california,dhcs-medi-cal",n,n,n,"state-fork (51)"
moved-to-texas,Moved to Texas 2026? Switching Health Insurance + SEP,,,,,slight,medium,y,1,"healthcare.gov,tdi",n,n,n,"state-fork (51)"
moved-to-new-york,Moved to New York 2026? NY State of Health SEP,,,,,slight,medium,y,1,"ny-state-of-health,ny-dfs",n,n,n,"state-fork (51)"
moved-to-florida,Moved to Florida 2026? Healthcare.gov Switch + Medicaid Rules,,,,,slight,medium,y,1,"healthcare.gov,ahca",n,n,n,"state-fork (51)"
moved-to-pennsylvania,Moved to Pennsylvania 2026? Switching to Pennie,,,,,slight,low,y,2,"pennie,pa-dhs",n,n,n,"state-fork (51)"
moved-from-puerto-rico-territory,Just Moved From Puerto Rico or US Territory: Marketplace SEP 2026,5,,90,,none,low,n,3,"healthcare.gov-sep,puerto-rico-aca-policy",n,n,n,
moving-international-ending-coverage,Moving Abroad 2026? Ending Your US Health Coverage,,,,,none,low,n,3,"state.gov,cigna-global,healthinsurance.org-norris",n,n,n,
lost-medicaid-redetermination-2026,Lost Medicaid in the Unwinding? Your Next 60 Days in 2026,500,22,4400,,slight,medium,y,1,"bing-getkeywordstats=22,kff-unwinding-data-5M+,healthcare.gov,medicaid.gov,cms",n,n,n,"demand boosted to 500 per critique §7; 5M+ disenrollment cohort"
medicaid-renewal-notice-2026,Got a Medicaid Renewal Notice 2026? What to Do in 30 Days,,,,,slight,medium,y,1,"medicaid.gov,cms,kff",n,n,n,
medicaid-denied-appeal,Medicaid Denied 2026? Appeal Steps + Marketplace Backup,,,,,slight,low,y,2,"medicaid.gov,nhelp,cms",n,n,n,
medicaid-redetermination-by-state-2026,Medicaid Redetermination 2026 by State: When Yours Is Due and What to Do,5,,720,,slight,medium,y,1,"medicaid.gov-unwinding-tracker,kff",n,n,n,"state-fork base"
medicaid-unwinding-california,Lost Medi-Cal in 2026 Renewal? Your Next Steps,,,,,slight,medium,y,1,"dhcs,covered-california",n,n,n,"state-fork (51)"
medicaid-unwinding-texas,Lost Texas Medicaid in 2026 Renewal? Your Next Steps,,,,,slight,medium,y,1,"hhsc-texas,healthcare.gov",n,n,n,"state-fork (51)"
medicaid-unwinding-florida,Lost Florida Medicaid in 2026 Renewal? Your Next Steps,,,,,slight,medium,y,1,"ahca,florida-kidcare,healthcare.gov",n,n,n,"state-fork (51)"
medicaid-unwinding-new-york,Lost NY Medicaid in 2026 Renewal? Switching to Essential Plan,,,,,slight,medium,y,1,"ny-state-of-health,doh",n,n,n,"state-fork (51); NY Essential Plan pivot"
medicaid-aging-out-19,Medicaid Aging Out at 19: What Happens When Your Child Loses Pediatric Coverage,55,,720,,slight,low,n,3,"medicaid.gov,kff",n,n,n,
chip-to-marketplace,Kid Aging Off CHIP? Transition Path in 2026,30,,260,,slight,low,y,2,"cms-insurekidsnow,medicaid.gov,kff",n,n,n,
medicaid-moving-states,Moving States While on Medicaid: How to Re-Enroll in Your New State 2026,25,,720,,slight,low,y,2,"medicaid.gov,kff",n,n,n,
medicaid-just-lost-paperwork,Lost Medicaid for Failure to Return Paperwork: How to Reinstate Coverage in 2026,10,,170,,slight,low,n,3,"medicaid.gov,kff-unwinding",n,n,n,
medicaid-pending-marketplace,Stuck in Medicaid Pending Status? Marketplace Enrollment While Waiting in 2026,10,,170,,slight,low,n,3,"healthcare.gov-medicaid-gap,kff",n,n,n,
medi-cal-aging-out-19,Aging Out of Medi-Cal for Kids: California Coverage Options After Age 19,20,,170,,none,low,y,3,"dhcs-medi-cal-policy",n,n,n,
medicaid-lost-after-divorce-keep-children,Lost Medicaid After Divorce But Children Still Qualify 2026,5,,170,,slight,low,n,3,"medicaid.gov,kff",n,n,n,
turning-21-foster-medicaid,Turning 21 in Foster Care? Medicaid Until 26 Explained 2026,15,,170,,slight,low,y,2,"cms,medicaid.gov,acf",n,n,n,
exiting-extended-foster-care,Aging Out of Extended Foster Care 2026? Medicaid Until Age 26,20,,210,,slight,low,y,2,"cms-section-1002-aca,acf",n,n,n,
under-100-fpl-non-expansion,Under 100% FPL in Non-Expansion State 2026? Coverage Gap Options,80,,720,,slight,low,y,1,"kff,healthcare.gov,kids-count",n,n,n,
nursing-home-medicaid,Entering a Nursing Home 2026? Medicaid Long-Term Care Path,,,,,slight,low,y,2,"cms-ltc,medicaid.gov,aarp",n,n,n,
elder-care-medicaid-spend-down,Parent Entering Long-Term Care 2026? Medicaid Spend-Down Path,,,,,slight,low,y,2,"aarp,medicaid.gov,nhelp",n,n,n,
hospice-medicare,Entering Hospice 2026? Medicare Hospice Benefit Explained,,,,,none,low,n,2,"medicare.gov,nhpco",n,n,n,
COBRA-expiring-sep,COBRA Expiring Soon? Your Next-60-Days SEP Plan 2026,40,,720,,slight,medium,n,1,"healthcare.gov-sep-cobra-ending,dol,healthinsurance.org-norris",n,n,n,
COBRA-vs-marketplace-2026,COBRA vs Marketplace 2026: Cost Comparison After Job Loss,170,,4400,,heavy,high,n,3,"healthcare.gov,kff,nerdwallet,healthinsurance.org-norris,boomer",n,n,n,"BUSA overlap corrected slight->heavy per critique §6; BUSA has exact-title EN+ES dupe; defer to year-2; kept but priority 3"
COBRA-premium-too-expensive-switch,COBRA Premiums Too High? When You Can Switch to Marketplace During SEP,20,,320,,slight,low,n,2,"healthcare.gov-sep,competitor-landscape",n,n,n,
just-lost-job-COBRA-vs-medicaid,Just Lost Job 2026: COBRA vs Medicaid Decision When Income Drops,5,,260,,slight,medium,n,2,"healthcare.gov,medicaid.gov,competitor-landscape",n,n,n,
just-lost-job-state-program,Just Lost Job and COBRA Too Expensive 2026: State Health Programs for Unemployed,5,,210,,slight,low,y,2,"state-medicaid-research,kff",n,n,n,
just-retired,Just Retired? Health Insurance Between Employer and Medicare 2026,,,,,slight,high,n,1,"medicare.gov,aarp,boomer-benefits,kiplinger",n,n,n,
retired-early-pre-65,Retired Early Before 65? Bridging to Medicare With ACA in 2026,80,,1900,,slight,high,n,1,"healthinsurance.org-norris,kiplinger,fidelity,kff,boomer-benefits",n,n,n,
medicare-part-b-when-retiring,How to Apply for Medicare Part B When You Retire: Step-by-Step 2026,165,,2400,,slight,medium,n,1,"medicare.gov,kff",n,y,n,
aging-off-aca-at-65,Aging Off Marketplace at 65: Switching From ACA to Medicare in 2026,10,,720,,slight,medium,n,2,"medicare.gov,healthcare.gov,boomer-benefits",n,n,n,
graduated-college,Graduated College 2026? Health Insurance Options for New Grads,120,,2400,,none,low,n,1,"healthinsurance.org-norris,goodrx,stride",n,n,n,
just-aged-out-chip,Aged Out of CHIP? Next Steps When Your Child Loses CHIP Coverage 2026,30,,260,,slight,low,n,2,"medicaid.gov,kff",n,n,n,
missed-open-enrollment-2026,Missed Open Enrollment 2026? Your Options When Marketplace Coverage Is Closed,110,,1600,,slight,medium,n,1,"bing-related=100-kws,healthcare.gov,healthinsurance.org-norris",n,n,n,
ACA-OEP-deadline-2026,ACA Open Enrollment Deadline 2026: Last Day to Enroll for January 1 Coverage,115,,2400,,slight,medium,n,1,"healthcare.gov,competitor-landscape",n,n,y,"republish each November"
ACA-premium-shock-renewal-2026,ACA Renewal Shock 2026: What to Do If Your Marketplace Premium Doubled,75,17,720,,none,low,n,1,"bing-getkeywordstats=17,kff-premium-data",n,n,y,"republish each November"
plan-renewal-letter,Got a Plan Renewal Letter 2026? Auto-Renew vs Switching,,,,,none,low,n,1,"healthcare.gov,kff,healthinsurance.org-norris",n,n,y,"republish each October"
plan-rate-increase,Premium Went Up at Renewal 2026? Your Options,,,,,none,low,n,1,"healthcare.gov,kff,healthinsurance.org-norris",n,n,y,
out-of-network-doctor,Your Doctor Left Network 2026? Plan-Change Options,,,,,none,low,n,2,"healthcare.gov-sep,naic",n,n,n,
formulary-drug-dropped,Plan Dropped Your Drug From Formulary 2026? Next Steps,,,,,none,low,n,2,"goodrx,medicare.gov,healthinsurance.org-norris",n,n,n,
ACA-plan-canceled-discontinued,Your ACA Plan Was Discontinued: SEP and Re-Enrollment Steps for 2026,20,,210,,none,low,n,2,"healthcare.gov-sep,cms-discontinued-plans",n,n,n,
mid-year-plan-cancel,Want to Cancel Mid-Year 2026? Rules by Plan Type,,,,,none,low,n,3,"healthcare.gov,kff",n,n,n,
ACA-just-enrolled-changed-mind,Just Enrolled in ACA Plan But Want to Switch: Plan Change Rules and SEP 2026,5,,170,,slight,low,n,3,"healthcare.gov,kff",n,n,n,
ACA-income-change-SEP,ACA SEP for Household Income Change: When Subsidy Changes Trigger Re-Enrollment,65,,880,,slight,low,n,2,"healthcare.gov-sep,cms-job-aid",n,n,n,
lost-subsidy-SEP,Lost Your ACA Subsidy in 2026? Income Change SEP Path,,,,,slight,low,n,1,"healthcare.gov,healthinsurance.org-norris,kff",n,n,n,
income-jump-aca,Income Spiked Mid-Year 2026? Avoiding ACA Subsidy Clawback,,,,,slight,low,n,1,"healthcare.gov,irs-form-8962,kff",n,n,n,
got-promoted-coverage,Got a Big Raise 2026? Subsidy Adjustment + Plan Strategy,,,,,none,low,n,2,"healthcare.gov,irs",n,n,n,
exceeded-income-cap-2026,Income Exceeded 400% FPL 2026? Subsidy Cliff Survival Guide,,,,,none,low,n,1,"kff,healthinsurance.org-norris,irs",n,n,n,
