topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources
descovy-cost,What Does Descovy Cost in 2026? ACA PrEP Coverage + Assistance,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
truvada-prep-cost,What Does Truvada PrEP Cost in 2026? Generic Pricing + Ready Program,,,,1,none,medium,n,2,"goodrx"
keytruda-cost,What Does Keytruda Cost in 2026? Merck Cancer-Drug Assistance,,,,1,none,low,n,2,"goodrx,manufacturer-site"
opdivo-cost,What Does Opdivo Cost in 2026? BMS Patient Assistance Explained,,,,1,none,low,n,3,"goodrx,manufacturer-site"
tagrisso-cost,What Does Tagrisso Cost in 2026? AstraZeneca Access 360 Program,,,,1,none,low,n,3,"goodrx,manufacturer-site"
ocrevus-cost,What Does Ocrevus Cost in 2026? Genentech MS-Drug Assistance,,,,1,none,low,n,3,"goodrx,manufacturer-site"
tysabri-cost,What Does Tysabri Cost in 2026? Biogen MS Patient Support,,,,1,none,low,n,3,"goodrx,manufacturer-site"
tecfidera-cost,What Does Tecfidera Cost in 2026? Biosimilar Status + MS Coverage,,,,1,none,low,n,3,"goodrx"
mavyret-cost,What Does Mavyret Cost in 2026? Hep C Cure Coverage + Assistance,,,,1,none,low,n,2,"goodrx,manufacturer-site"
harvoni-cost,What Does Harvoni Cost in 2026? Hep C Coverage + Generic Status,,,,1,none,low,n,3,"goodrx"
sovaldi-cost,What Does Sovaldi Cost in 2026? Gilead Hep C Patient Assistance,,,,1,none,low,n,3,"goodrx"
ajovy-cost,What Does Ajovy Cost in 2026? Migraine CGRP Coverage + Assistance,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
aimovig-cost,What Does Aimovig Cost in 2026? Amgen Migraine Drug Coverage,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
ubrelvy-cost,What Does Ubrelvy Cost in 2026? AbbVie Migraine Drug Pricing,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
nurtec-cost,What Does Nurtec ODT Cost in 2026? Pfizer Migraine Drug Assistance,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
qulipta-cost,What Does Qulipta Cost in 2026? AbbVie Migraine Prevention Coverage,,,,1,none,low,n,3,"goodrx,manufacturer-site"
advair-cost,What Does Advair Cost in 2026? Asthma Inhaler Pricing + Generic Status,,,,1,none,medium,n,2,"goodrx"
symbicort-cost,What Does Symbicort Cost in 2026? AstraZeneca Assistance + Generic,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
breo-ellipta-cost,What Does Breo Ellipta Cost in 2026? GSK Inhaler Coverage,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
trelegy-cost,What Does Trelegy Ellipta Cost in 2026? GSK COPD Inhaler Coverage,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
dupixent-cost,What Does Dupixent Cost in 2026? Sanofi/Regeneron MyWay Assistance,,,,1,none,medium,n,1,"goodrx,manufacturer-site"
albuterol-cost,What Does Albuterol Cost in 2026? Inhaler Generic Pricing,,,,1,none,medium,n,2,"goodrx"
atorvastatin-cost,What Does Atorvastatin Cost in 2026? Lipitor Generic Pricing,,,,1,none,high,n,1,"goodrx,clincalc-top-200"
rosuvastatin-cost,What Does Rosuvastatin Cost in 2026? Crestor Generic Pricing,,,,1,none,high,n,2,"goodrx,clincalc-top-200"
simvastatin-cost,What Does Simvastatin Cost in 2026? Zocor Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
lisinopril-cost,What Does Lisinopril Cost in 2026? ACE Inhibitor Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
losartan-cost,What Does Losartan Cost in 2026? ARB Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
amlodipine-cost,What Does Amlodipine Cost in 2026? Norvasc Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
hydrochlorothiazide-cost,What Does Hydrochlorothiazide (HCTZ) Cost in 2026? Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
metoprolol-cost,What Does Metoprolol Cost in 2026? Generic Beta-Blocker Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
carvedilol-cost,What Does Carvedilol Cost in 2026? Coreg Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
warfarin-cost,What Does Warfarin Cost in 2026? Coumadin Generic + DOAC Comparison,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
clopidogrel-cost,What Does Clopidogrel Cost in 2026? Plavix Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
sertraline-cost,What Does Sertraline Cost in 2026? Zoloft Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
escitalopram-cost,What Does Escitalopram Cost in 2026? Lexapro Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
fluoxetine-cost,What Does Fluoxetine Cost in 2026? Prozac Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
citalopram-cost,What Does Citalopram Cost in 2026? Celexa Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
duloxetine-cost,What Does Duloxetine Cost in 2026? Cymbalta Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
venlafaxine-cost,What Does Venlafaxine Cost in 2026? Effexor Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
bupropion-cost,What Does Bupropion Cost in 2026? Wellbutrin Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
trazodone-cost,What Does Trazodone Cost in 2026? Generic Sleep/Depression Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
buspirone-cost,What Does Buspirone Cost in 2026? BuSpar Generic Anxiety Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
alprazolam-cost,What Does Alprazolam Cost in 2026? Xanax Generic Pricing + DEA Limits,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
clonazepam-cost,What Does Clonazepam Cost in 2026? Klonopin Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
lorazepam-cost,What Does Lorazepam Cost in 2026? Ativan Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
gabapentin-cost,What Does Gabapentin Cost in 2026? Neurontin Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
pregabalin-cost,What Does Pregabalin Cost in 2026? Lyrica Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
lamotrigine-cost,What Does Lamotrigine Cost in 2026? Lamictal Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
levetiracetam-cost,What Does Levetiracetam Cost in 2026? Keppra Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
topiramate-cost,What Does Topiramate Cost in 2026? Topamax Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
adderall-cost,What Does Adderall Cost in 2026? Generic Stimulant Pricing + Shortage,,,,1,none,high,n,1,"goodrx,clincalc-top-200"
adderall-xr-cost,What Does Adderall XR Cost in 2026? Generic ADHD Pricing,,,,1,none,high,n,2,"goodrx,clincalc-top-200"
vyvanse-cost,What Does Vyvanse Cost in 2026? Generic Launch + ADHD Coverage,,,,1,none,high,n,1,"goodrx,manufacturer-site"
concerta-cost,What Does Concerta Cost in 2026? Methylphenidate ER Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
ritalin-cost,What Does Ritalin Cost in 2026? Methylphenidate Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
strattera-cost,What Does Strattera Cost in 2026? Atomoxetine Generic ADHD Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
omeprazole-cost,What Does Omeprazole Cost in 2026? Prilosec OTC vs Rx Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
pantoprazole-cost,What Does Pantoprazole Cost in 2026? Protonix Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
esomeprazole-cost,What Does Esomeprazole Cost in 2026? Nexium Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
levothyroxine-cost,What Does Levothyroxine Cost in 2026? Synthroid Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
synthroid-cost,What Does Synthroid Cost in 2026? Brand vs Generic Levothyroxine,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
amoxicillin-cost,What Does Amoxicillin Cost in 2026? Generic Antibiotic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
azithromycin-cost,What Does Azithromycin Cost in 2026? Z-Pak Generic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
ciprofloxacin-cost,What Does Ciprofloxacin Cost in 2026? Cipro Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
doxycycline-cost,What Does Doxycycline Cost in 2026? Generic Antibiotic Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
prednisone-cost,What Does Prednisone Cost in 2026? Generic Corticosteroid Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
hydrocodone-acetaminophen-cost,What Does Hydrocodone-Acetaminophen Cost in 2026? Vicodin Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
oxycodone-cost,What Does Oxycodone Cost in 2026? OxyContin Generic Pricing,,,,1,none,low,n,3,"goodrx,clincalc-top-200"
tramadol-cost,What Does Tramadol Cost in 2026? Generic Pain Med Pricing,,,,1,none,medium,n,3,"goodrx,clincalc-top-200"
gabapentin-vs-pregabalin,Gabapentin vs Pregabalin Cost Comparison 2026,,,,1,none,medium,n,2,"goodrx-comparison"
viagra-cost,What Does Viagra Cost in 2026? Sildenafil Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
cialis-cost,What Does Cialis Cost in 2026? Tadalafil Generic Pricing,,,,1,none,medium,n,2,"goodrx,clincalc-top-200"
viagra-vs-cialis-cost,Viagra vs Cialis Cost Comparison 2026 (Generic Pricing),,,,1,none,medium,n,3,"goodrx-comparison"
birth-control-pills-cost,What Do Birth Control Pills Cost in 2026? ACA Coverage + Generic Prices,,,,1,slight,medium,n,1,"goodrx,kff"
iud-cost,What Does an IUD Cost in 2026? Mirena/Paragard Insurance + Cash Pricing,,,,1,slight,medium,n,2,"goodrx,manufacturer-site"
nexplanon-cost,What Does Nexplanon Cost in 2026? Implant Insurance Coverage,,,,1,none,low,n,3,"goodrx,manufacturer-site"
plan-b-cost,What Does Plan B Cost in 2026? OTC Pricing + Generic Alternatives,,,,1,none,medium,n,3,"goodrx,otc-pricing"
narcan-cost,What Does Narcan Cost in 2026? OTC Naloxone Pricing + Free Programs,,,,1,slight,medium,n,2,"goodrx,manufacturer-site"
epipen-cost,What Does an EpiPen Cost in 2026? Generic Epinephrine Pricing,,,,1,none,high,n,1,"goodrx,clincalc-top-200"
auvi-q-cost,What Does Auvi-Q Cost in 2026? Free EpiPen Alternative for $0 Eligibility,,,,1,none,low,n,2,"goodrx,manufacturer-site"
levemir-cost,What Does Levemir Cost in 2026? Long-Acting Insulin + $35 Cap,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
lantus-cost,What Does Lantus Cost in 2026? Sanofi Insulin + Basaglar Biosimilar,,,,1,none,medium,n,1,"goodrx,manufacturer-site"
basaglar-cost,What Does Basaglar Cost in 2026? Insulin Biosimilar Coverage,,,,1,none,low,n,3,"goodrx,manufacturer-site"
tresiba-cost,What Does Tresiba Cost in 2026? Novo Nordisk $35 Insulin Cap,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
humalog-cost,What Does Humalog Cost in 2026? Eli Lilly Insulin + $35 Cap,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
admelog-cost,What Does Admelog Cost in 2026? Sanofi Insulin Biosimilar,,,,1,none,low,n,3,"goodrx,manufacturer-site"
glp1-class-cost-comparison,GLP-1 Medications Cost Compared 2026 (Ozempic vs Wegovy vs Mounjaro vs Zepbound),,,,1,none,high,n,1,"goodrx-class-page,kff,clincalc"
doac-class-cost-comparison,DOACs vs Warfarin Cost Compared 2026 (Eliquis vs Xarelto vs Pradaxa),,,,1,none,medium,n,2,"goodrx-class-page,kff"
sglt2-class-cost-comparison,SGLT2 Inhibitors Cost Compared 2026 (Jardiance vs Farxiga vs Invokana),,,,1,none,medium,n,2,"goodrx-class-page"
statins-class-cost-comparison,Statins Cost Compared 2026 (Lipitor vs Crestor vs Zocor Generics),,,,1,none,medium,n,1,"goodrx-class-page,clincalc"
ssri-class-cost-comparison,SSRIs Cost Compared 2026 (Zoloft vs Lexapro vs Prozac vs Celexa),,,,1,none,medium,n,2,"goodrx-class-page,clincalc"
cgrp-migraine-class-cost,CGRP Migraine Drugs Cost Compared 2026 (Aimovig vs Ajovy vs Emgality),,,,1,none,medium,n,2,"goodrx-class-page"
biologics-cost-comparison,Biologics for Autoimmune Disease Cost Compared 2026,,,,1,none,medium,n,2,"goodrx-class-page,kff"
adhd-stimulants-cost-comparison,ADHD Stimulants Cost Compared 2026 (Adderall vs Vyvanse vs Concerta),,,,1,none,high,n,1,"goodrx-class-page,clincalc"
medicare-drug-negotiation-2026,Medicare Drug Price Negotiation Program: 10 Drugs With New 2026 Prices,,,,1,none,high,n,1,"cms-ira,kff,medicare-rights"
medicare-drug-negotiation-2027,Medicare Drug Price Negotiation 2027: 15 New Drugs Including Ozempic,,,,1,none,high,n,1,"cms-ira,kff,aarp"
ira-drug-price-negotiation-explained,Inflation Reduction Act Drug Price Negotiation Explained (2026),,,,1,none,medium,n,1,"cms-ira,kff"
medicare-part-d-2100-cap-2026,Medicare Part D $2100 Out-of-Pocket Cap 2026 Explained,,,,1,slight,medium,n,1,"cms,kff,medicare-rights"
medicare-glp1-bridge-program-2026,Medicare GLP-1 Bridge Program 2026: $50 Wegovy/Zepbound Copay Explained,,,,1,none,low,n,1,"cms,medicare-rights,paulbinsurance"
balance-model-medicare-glp1-2027,BALANCE Model 2027: Medicare's Permanent GLP-1 Coverage Program,,,,1,none,low,n,2,"cms,medicare-rights"
insulin-35-cap-explained,The $35 Insulin Cap 2026: What's Covered Under Medicare + Commercial,,,,1,slight,medium,n,1,"cms,kff,manufacturer-sites"
copay-accumulator-explained,Copay Accumulator Programs Explained: How Insurers Block Manufacturer Coupons (2026),,,,1,none,low,n,2,"kff,patient-advocate"
copay-maximizer-explained,Copay Maximizer Programs Explained 2026: Specialty Drug Cost Shifting,,,,1,none,low,n,2,"kff,patient-advocate"
specialty-drug-tier-explained,Specialty Drug Tier Costs in 2026: What 30-40% Coinsurance Means,,,,1,slight,medium,n,2,"kff,goodrx"
prior-authorization-drugs-explained,Prior Authorization for Prescription Drugs: How to Win the Appeal (2026),,,,1,slight,medium,n,1,"healthcare-gov,kff"
step-therapy-explained,Step Therapy for Prescription Drugs Explained (2026),,,,1,slight,medium,n,2,"healthcare-gov,kff"
medicare-extra-help-2026,Medicare Extra Help (LIS) 2026: Drug Subsidies for Low-Income Beneficiaries,,,,1,heavy,medium,n,3,"ssa,medicare-rights"
state-pharmaceutical-assistance-programs,State Pharmaceutical Assistance Programs (SPAPs) by State 2026,,,,1,none,low,y,2,"cms,state-spap-list"
340b-program-explained,340B Drug Pricing Program Explained: How Hospitals Get Discount Drugs (2026),,,,1,none,low,n,3,"hrsa,kff"
manufacturer-coupon-vs-goodrx,Manufacturer Coupon vs GoodRx: Which Saves More on Brand Drugs (2026),,,,1,slight,medium,n,1,"goodrx,manufacturer-sites"
mail-order-pharmacy-vs-retail,Mail-Order Pharmacy vs Retail: Cost Comparison for Maintenance Drugs (2026),,,,1,none,medium,n,2,"goodrx,medicare-gov"
canada-vs-us-drug-pricing,Canada vs US Drug Pricing 2026: Importation Rules + Legal Pathways,,,,1,none,low,n,3,"fda,kff"
mark-cuban-cost-plus-drugs,Mark Cuban Cost Plus Drugs 2026: What You Can Save vs Insurance,,,,1,none,medium,n,1,"costplusdrugs,goodrx"
amazon-pharmacy-cost,Amazon Pharmacy 2026: Prescription Pricing + Prime Member Discounts,,,,1,none,low,n,2,"amazon-pharmacy,goodrx"
costco-pharmacy-no-membership,Costco Pharmacy Without Membership 2026: Drug Pricing for Anyone,,,,1,none,low,n,2,"costco-pharmacy,goodrx"
walmart-4-dollar-drug-list,Walmart $4 Generic Drug List 2026 (Updated),,,,1,none,medium,n,2,"walmart,goodrx"
publix-free-medications,Publix Free Antibiotics + Diabetes Medications 2026 List,,,,1,none,low,n,3,"publix"
hy-vee-free-medications,Hy-Vee Free Medications Program 2026 List,,,,1,none,low,n,3,"hy-vee"
prescription-discount-cards-compared,Prescription Discount Cards Compared 2026 (GoodRx vs SingleCare vs RxSaver),,,,1,none,medium,n,1,"goodrx,singlecare"
goodrx-vs-singlecare,GoodRx vs SingleCare: Which Saves More on Generics 2026,,,,1,none,medium,n,2,"goodrx,singlecare"
brand-vs-generic-drug-cost,Brand vs Generic Drug Cost 2026: Bioequivalence + Savings Explained,,,,1,heavy,medium,n,2,"fda,goodrx"
biosimilar-vs-biologic-cost,Biosimilar vs Biologic Drug Cost 2026: Switching Rules + Savings,,,,1,none,medium,n,2,"fda,kff,goodrx"
humira-biosimilar-switch,Humira Biosimilar Switch 2026: 8 Approved Alternatives Compared,,,,1,none,medium,n,1,"fda,goodrx"
medication-bin-pcn-explained,What Are BIN and PCN Numbers on Prescription Drug Cards (2026 Guide),,,,1,none,low,n,3,"medicare-gov"
formulary-tier-1-vs-tier-2,Formulary Tier 1 vs Tier 2 vs Tier 3 vs Specialty Tier Explained (2026),,,,1,slight,medium,n,2,"medicare-gov,kff"
non-formulary-drug-coverage,Non-Formulary Drug Coverage: How to Get Insurance to Pay (2026),,,,1,slight,medium,n,2,"healthcare-gov,kff"
medicare-part-d-late-enrollment-penalty,Medicare Part D Late Enrollment Penalty 2026: How to Calculate + Avoid,,,,1,heavy,medium,n,3,"medicare-gov"
medicare-part-d-vs-medicare-advantage-drug,Medicare Part D vs Medicare Advantage Drug Coverage 2026,,,,1,slight,medium,n,2,"medicare-gov,kff"
how-to-get-prep-free,How to Get PrEP for Free in 2026 (Ready, Patient Assistance, ACA),,,,1,none,medium,n,1,"cdc,gilead"
free-narcan-by-state,How to Get Free Narcan by State 2026,,,,1,slight,low,y,2,"samhsa,state-programs"
glp1-without-insurance,How to Get GLP-1 Medications Without Insurance 2026 (Compounded + Direct),,,,1,none,high,n,1,"goodrx,manufacturer-direct"
ozempic-prior-auth-appeal,How to Appeal an Ozempic Prior Authorization Denial (2026),,,,1,none,medium,n,1,"goodrx,kff"
wegovy-prior-auth-appeal,How to Appeal a Wegovy Prior Authorization Denial (2026),,,,1,none,medium,n,2,"goodrx,kff"
diabetes-medications-cost-by-tier,Diabetes Medications Cost by Insurance Tier 2026,,,,1,none,medium,n,2,"goodrx-class-page,ada"
heart-failure-medications-cost,Heart Failure Medications Cost Compared 2026 (Entresto vs Generics),,,,1,none,low,n,2,"goodrx-class-page,aha"
asthma-inhalers-cost-comparison,Asthma Inhalers Cost Compared 2026 (Albuterol vs Advair vs Symbicort),,,,1,none,medium,n,2,"goodrx-class-page"
copd-inhalers-cost-comparison,COPD Inhalers Cost Compared 2026 (Trelegy vs Symbicort vs Breo),,,,1,none,medium,n,2,"goodrx-class-page"
adhd-medications-cost-by-age,ADHD Medications Cost by Age Group 2026 (Pediatric vs Adult Coverage),,,,1,none,medium,n,2,"goodrx"
specialty-pharmacy-vs-retail,Specialty Pharmacy vs Retail Pharmacy: When You're Forced to Use One (2026),,,,1,none,low,n,3,"goodrx,medicare-gov"
international-drug-importation-legal,Personal Drug Importation from Canada/Mexico 2026: Legal Rules + Risks,,,,1,none,low,n,3,"fda"
suboxone-cost,What Does Suboxone Cost in 2026? Buprenorphine-Naloxone Coverage,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
methadone-clinic-cost,Methadone Clinic Cost 2026: Insurance Coverage + Sliding Scale,,,,1,none,low,n,3,"samhsa"
naltrexone-vivitrol-cost,Naltrexone (Vivitrol) Cost 2026: Coverage for Alcohol/Opioid Use Disorder,,,,1,none,low,n,3,"goodrx,manufacturer-site"
adhd-medication-shortage-2026,ADHD Medication Shortage 2026: Adderall + Vyvanse Updates,,,,1,none,medium,n,1,"fda-drug-shortage-list,goodrx"
glp1-medicaid-coverage-by-state,GLP-1 Medicaid Coverage by State 2026 (Ozempic, Wegovy, Mounjaro),,,,1,slight,low,y,1,"kff,state-medicaid"
glp1-aca-marketplace-coverage,GLP-1 Coverage on ACA Marketplace Plans 2026,,,,1,none,medium,n,1,"healthcare-gov,kff"
hiv-medications-aca-coverage,HIV Medications Under the ACA 2026: PrEP + Treatment Coverage Rules,,,,1,none,medium,n,2,"healthcare-gov,cdc"
biologic-injection-home-vs-clinic,Biologic Injection Cost: Home Self-Inject vs Clinic Infusion (2026),,,,1,none,low,n,3,"medicare-gov,goodrx"
specialty-tier-coinsurance-2026,Specialty Tier Coinsurance 2026: How to Cap Out-of-Pocket Costs,,,,1,slight,medium,n,2,"kff,medicare-gov"
hepatitis-c-cure-cost,Hepatitis C Cure Cost 2026: 8-Week Mavyret + Generic Sovaldi Pricing,,,,1,none,low,n,2,"goodrx,cdc"
multiple-sclerosis-drug-cost,Multiple Sclerosis Drug Cost Compared 2026 (Ocrevus vs Tysabri vs Tecfidera),,,,1,none,low,n,2,"goodrx-class-page,nmss"
crohns-medication-cost,Crohn's Disease Medication Cost Compared 2026 (Stelara vs Skyrizi vs Entyvio),,,,1,none,low,n,2,"goodrx-class-page,ccfa"
ra-medication-cost-comparison,Rheumatoid Arthritis Medication Cost Compared 2026 (Humira vs Enbrel vs Rinvoq),,,,1,none,medium,n,2,"goodrx-class-page,arthritis-foundation"
ms-disease-modifying-therapy-cost,MS Disease-Modifying Therapy Cost 2026: Injection vs Oral vs Infusion,,,,1,none,low,n,3,"goodrx,nmss"
psoriasis-biologics-cost,Psoriasis Biologics Cost Compared 2026 (Humira vs Skyrizi vs Stelara vs Cosentyx),,,,1,none,medium,n,2,"goodrx-class-page,npf"
cosentyx-cost,What Does Cosentyx Cost in 2026? Novartis Psoriasis Biologic Coverage,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
otezla-cost,What Does Otezla Cost in 2026? Amgen Psoriasis Drug Pricing,,,,1,none,low,n,3,"goodrx,manufacturer-site"
entyvio-cost,What Does Entyvio Cost in 2026? Takeda IBD Drug Coverage,,,,1,none,low,n,2,"goodrx,manufacturer-site"
emgality-cost,What Does Emgality Cost in 2026? Eli Lilly CGRP Migraine Drug,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
victoza-cost,What Does Victoza Cost in 2026? Novo Nordisk GLP-1 Coverage,,,,1,none,medium,n,3,"goodrx,manufacturer-site"
saxenda-cost,What Does Saxenda Cost in 2026? Novo Nordisk Weight-Loss GLP-1,,,,1,none,medium,n,3,"goodrx,manufacturer-site"
rybelsus-cost,What Does Rybelsus Cost in 2026? Oral Semaglutide Pricing,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
foundayo-orforglipron-cost,What Does Foundayo (Orforglipron) Cost in 2026? Oral GLP-1 Launch Pricing,,,,1,none,low,n,2,"goodrx,manufacturer-site"
pradaxa-cost,What Does Pradaxa Cost in 2026? Boehringer DOAC Coverage,,,,1,none,low,n,3,"goodrx,manufacturer-site"
brilinta-cost,What Does Brilinta Cost in 2026? AstraZeneca Antiplatelet Coverage,,,,1,none,low,n,3,"goodrx,manufacturer-site"
repatha-cost,What Does Repatha Cost in 2026? Amgen PCSK9 Inhibitor Pricing,,,,1,none,low,n,3,"goodrx,manufacturer-site"
praluent-cost,What Does Praluent Cost in 2026? Regeneron PCSK9 Inhibitor Pricing,,,,1,none,low,n,3,"goodrx,manufacturer-site"
leqembi-cost,What Does Leqembi Cost in 2026? Biogen/Eisai Alzheimer's Drug Coverage,,,,1,none,low,n,2,"goodrx,manufacturer-site,medicare-gov"
kisunla-cost,What Does Kisunla Cost in 2026? Eli Lilly Alzheimer's Drug Coverage,,,,1,none,low,n,2,"goodrx,manufacturer-site,medicare-gov"
medicare-cover-leqembi,Does Medicare Cover Leqembi for Alzheimer's in 2026,,,,1,none,low,n,2,"medicare-gov,cms"
alzheimer-drug-coverage-2026,Alzheimer's Drug Coverage 2026 (Leqembi + Kisunla Medicare Rules),,,,1,none,low,n,2,"medicare-gov,alzheimer-org"
medicare-cover-ozempic-diabetes,Does Medicare Cover Ozempic for Diabetes in 2026 (Not Weight Loss),,,,1,none,high,n,1,"medicare-gov,kff"
medicaid-cover-wegovy-by-state,Does Medicaid Cover Wegovy by State 2026,,,,1,slight,low,y,1,"kff,state-medicaid"
