topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,subtype
does-medicaid-cover-ozempic-weight-loss,Does Medicaid Cover Ozempic for Weight Loss in 2026?,920,82,1300,2,none,low,n,1,"Bing-ozempic-related-100,FANOUT-4.3-cost-without-coverage-shape",qa-coverage
does-medicaid-cover-suboxone,Does Medicaid Cover Suboxone / MAT for Opioid Use Disorder in 2026?,520,45,820,3,none,low,n,3,"sibling-of-rehab-already-shipped,SAMHSA-MAT-coverage",qa-coverage
does-medicaid-cover-adhd-medication,Does Medicaid Cover ADHD Medication for Kids/Adults in 2026?,520,45,820,3,none,low,n,3,"Bing-medicaid-children-related,CMS-EPSDT-rule",qa-coverage
does-medicaid-cover-home-care,Does Medicaid Cover In-Home Care / HCBS Waivers in 2026?,820,72,1300,1,none,medium,n,1,"CMS-HCBS-waiver-tracker,competitor-landscape-3-long-tail",qa-coverage
does-medicaid-cover-nursing-home,Does Medicaid Cover Nursing Home Care in 2026? (Income/Asset Rules),1400,125,2200,1,none,medium,n,1,"Bing-nursing-home-medicaid-100-related,competitor-landscape-3-AARP",qa-coverage
does-aca-cover-preexisting,Does ACA / Marketplace Insurance Cover Pre-Existing Conditions in 2026?,820,72,1500,1,none,medium,n,1,"Bing-marketplace-8720k-broad,competitor-Healthcare.gov-canonical,FANOUT-4.3",qa-coverage
does-aca-cover-pregnancy,Does ACA / Marketplace Insurance Cover Pregnancy in 2026?,720,62,1100,1,none,medium,n,1,"Healthcare.gov-essential-health-benefit,Bing-marketplace-related",qa-coverage
does-aca-cover-mental-health,Does ACA Cover Mental Health and Substance Abuse in 2026?,620,52,900,1,none,medium,n,2,"MHPAEA-parity-rule,Healthcare.gov-EHB",qa-coverage
does-aca-cover-iud,Does ACA / Marketplace Cover Birth Control / IUDs in 2026?,520,45,820,2,none,low,n,2,"Womens-Preventive-Services-rule,Bing-related",qa-coverage
does-medicare-cover-vs-medicaid,Does Medicare or Medicaid Cover [Service]? Comparison Guide 2026,820,72,1400,1,none,medium,n,2,"FANOUT-4.3-original-vs-MA-comparison-shape-extension,competitor-landscape-3",qa-coverage
does-medicare-advantage-cover-dental,Does Medicare Advantage Cover Dental in 2026? (Bonus Benefit Breakdown),920,82,1500,1,none,medium,n,1,"Bing-medicare-advantage-100-related,FANOUT-4.3-MA-add-on-shape",qa-coverage
does-medicare-advantage-cover-vision,Does Medicare Advantage Cover Vision in 2026?,720,62,1200,1,none,medium,n,2,"sibling-of-MA-dental,FANOUT-4.3-MA-add-on-shape",qa-coverage
does-medicare-advantage-cover-hearing,Does Medicare Advantage Cover Hearing Aids in 2026?,820,72,1300,1,none,medium,n,1,"Bing-medicare-advantage-hearing-related,FANOUT-4.3-MA-add-on-shape",qa-coverage
does-medicare-advantage-cover-gym,Does Medicare Advantage Cover Gym Memberships (SilverSneakers) in 2026?,620,52,950,2,none,low,n,2,"SilverSneakers-MA-supplemental-benefit,Bing-related",qa-coverage
does-medicare-advantage-cover-meals,Does Medicare Advantage Cover Meal Delivery in 2026?,420,36,620,2,none,low,n,3,"CMS-MA-SSBCI-rule,Bing-related",qa-coverage
does-medicare-advantage-cover-transportation,Does Medicare Advantage Cover Transportation in 2026?,380,32,580,2,none,low,n,3,"CMS-MA-supplemental-benefit-tracker",qa-coverage
does-medicare-cover-flu-shot,Does Medicare Cover the Flu Shot in 2026?,720,62,1300,1,none,medium,n,2,"CMS-preventive-service-canonical,Bing-related",qa-coverage
does-medicare-cover-rsv-vaccine,Does Medicare Cover the RSV Vaccine in 2026?,420,36,680,2,none,low,n,3,"CMS-Part-D-IRA-vaccine,Bing-related",qa-coverage
does-medicare-cover-covid-shot,Does Medicare Cover the COVID Vaccine in 2026?,580,48,920,2,none,medium,n,2,"CMS-COVID-vaccine-coverage,Bing-related",qa-coverage
does-medicare-cover-eyeglasses-after-cataract,Does Medicare Cover Eyeglasses After Cataract Surgery in 2026?,420,36,620,2,none,low,n,3,"CMS-post-cataract-eyewear-benefit,sibling-of-cataract",qa-coverage
can-i-get-medicare-under-65,Can I Get Medicare Under 65 in 2026? (Disability / ESRD / ALS),920,82,1500,1,none,medium,n,1,"CMS-Medicare-disability-rule,SSA-SSDI-24-month-waiting-period,Bing-related",qa-coverage
can-i-have-both-medicare-and-medicaid,Can I Have Both Medicare and Medicaid in 2026? (Dual Eligibility),820,72,1400,1,none,medium,n,1,"CMS-dual-eligible-tracker,Bing-medicaid-medicare-related",qa-coverage
can-i-keep-medicaid-after-getting-job,Can I Keep Medicaid After Getting a Job in 2026?,520,45,820,2,slight,low,n,2,"BUSA-medicaid-working-overlap-app-intent,Bing-medicaid-working-related",qa-coverage
can-i-get-aca-subsidy-with-medicaid-offer,Can I Get an ACA Subsidy If I Qualify for Medicaid in 2026?,420,36,680,2,none,low,n,2,"Healthcare.gov-Medicaid-Marketplace-overlap-rule,Bing-related",qa-coverage
can-i-get-aca-subsidy-with-employer-offer,Can I Get an ACA Subsidy With an Affordable Employer Offer in 2026?,520,45,820,2,none,medium,n,2,"Healthcare.gov-affordability-rule-2026,family-glitch-fix",qa-coverage
can-i-add-spouse-to-medicare,Can I Add My Spouse to My Medicare in 2026? (No: Why)),420,36,720,2,none,low,n,3,"Medicare.gov-individual-only-rule,Bing-related",qa-coverage
can-i-keep-my-doctor-medicare-advantage,Can I Keep My Doctor If I Switch to Medicare Advantage in 2026?,620,52,950,1,none,medium,n,1,"FANOUT-4.3-MA-vs-Original-shape,competitor-landscape-3",qa-coverage
can-i-switch-from-medicare-advantage-to-original,Can I Switch From Medicare Advantage Back to Original Medicare in 2026?,720,62,1200,1,none,medium,n,1,"Medicare.gov-MOEP-rule,FANOUT-4.3-MA-vs-Original",qa-coverage
is-ozempic-covered-by-insurance,Is Ozempic Covered by Insurance in 2026? (Type 2 vs Weight Loss),1200,108,2200,1,none,medium,n,1,"Bing-ozempic-100-related-30k-volume,sibling-of-cost-page-already-shipped",qa-coverage
is-wegovy-covered-by-insurance,Is Wegovy Covered by Insurance in 2026?,920,82,1700,1,none,medium,n,1,"Bing-wegovy-100-related,FANOUT-4.3",qa-coverage
is-zepbound-covered-by-insurance,Is Zepbound Covered by Insurance in 2026?,720,62,1300,1,none,low,n,2,"GLP-1-class-extension,Bing-related-mounjaro-zepbound",qa-coverage
is-medicare-free,Is Medicare Free in 2026? (Premium Breakdown by Part),920,82,1600,1,none,medium,n,1,"Bing-what-is-medicare-part-b-7243-broad,competitor-landscape-3-Medicare.gov",qa-coverage
is-medicaid-free,Is Medicaid Free in 2026? (Premiums and Copays by State),620,52,1100,1,slight,low,y,2,"Bing-medicaid-related,scales-with-state-cost-sharing-rules",qa-coverage
is-aca-still-available,Is ACA / Obamacare Still Available in 2026? (Policy Changes),720,62,1200,1,none,medium,n,1,"Bing-obamacare-20909-broad,2025-OBBB-eligibility-changes",qa-coverage
who-qualifies-for-aca-subsidy,Who Qualifies for ACA Subsidies in 2026? (Income Cliff After 400% FPL),1100,98,1900,1,slight,medium,n,1,"BUSA-aca-eligibility-overlap-app-intent,2026-subsidy-cliff-restored",qa-coverage
who-qualifies-for-extra-help-medicare,Who Qualifies for Medicare Extra Help (LIS) in 2026?,820,72,1300,1,slight,low,n,1,"Bing-extra-help-21942-broad-1939-strict,Bing-medicare-extra-help-6989-broad,CU-120-overlap",qa-coverage
who-qualifies-for-msp,Who Qualifies for Medicare Savings Programs (QMB/SLMB/QI) in 2026?,920,82,1500,1,slight,low,n,1,"Bing-qmb-13183-broad,Bing-medicare-savings-program-7558-broad,CU-104-overlap",qa-coverage
what-counts-as-income-for-medicaid,What Counts as Income for Medicaid in 2026? (MAGI Rules),720,62,1300,1,slight,medium,n,1,"BUSA-magi-overlap-tax-intent,Bing-medicaid-related,FANOUT-4.4-income-source-includes-table",qa-coverage
what-counts-as-income-for-aca,What Counts as Income for ACA Subsidies in 2026?,620,52,1200,1,slight,medium,n,2,"BUSA-magi-aca-overlap,sibling-of-medicaid-income-MAGI",qa-coverage
how-to-keep-medicaid-when-income-increases,How to Keep Medicaid When Your Income Increases in 2026? (Transitional Medicaid),420,36,720,2,slight,low,n,3,"BUSA-medicaid-working-overlap-app-intent,sibling-of-can-i-keep-medicaid",qa-coverage
is-medicare-part-b-mandatory,Is Medicare Part B Mandatory in 2026? (Late Enrollment Penalty),620,52,1100,1,none,medium,n,1,"Bing-what-is-medicare-part-b-7243-broad,CMS-Part-B-LEP-rule",qa-coverage
is-medicare-supplement-worth-it,Is Medicare Supplement (Medigap) Worth It in 2026?,620,52,1100,1,none,high,n,2,"FANOUT-4.8-MA-vs-Medigap-shape,competitor-landscape-7-NerdWallet",qa-coverage
do-i-need-medicare-if-i-have-employer-insurance,Do I Need Medicare If I Have Employer Insurance in 2026?,720,62,1300,1,none,medium,n,1,"CMS-creditable-coverage-rule,Bing-related",qa-coverage
do-i-need-part-d-if-i-have-employer-drug-coverage,Do I Need Medicare Part D If I Have Employer Drug Coverage in 2026?,420,36,720,2,none,low,n,3,"CMS-Part-D-creditable-coverage-rule,sibling-of-employer-medicare-overlap",qa-coverage
what-happens-if-i-miss-medicare-enrollment,What Happens If I Miss My Medicare Enrollment Window in 2026?,580,48,950,1,none,medium,n,2,"CMS-IEP-GEP-rule,event-overlap-but-no-event-trigger",qa-coverage
how-much-can-you-make-and-still-get-medicaid,How Much Can You Make and Still Get Medicaid in 2026?,820,72,1600,1,heavy,medium,n,1,"Bing-medicaid-income-limits-10631-broad,BUSA-overlap-shopping-intent-split,sibling-of-state-income-limits",qa-coverage
