template,topic,title,busa_match_url,busa_match_title,overlap_severity,recommendation,notes
track-d,medicaid-eligibility-dc,Do I Qualify for DC Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/kansas-medicaid-eligibility-2026,"Kansas Medicaid Eligibility 2026: Income Limits, KanCare Rules, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-florida,Do I Qualify for Florida Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/kansas-medicaid-eligibility-2026,"Kansas Medicaid Eligibility 2026: Income Limits, KanCare Rules, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.40; state_specific=y
track-d,medicaid-eligibility-georgia,Do I Qualify for Georgia Medicaid (Pathways) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/georgia-medicaid-eligibility-2026,Georgia Medicaid Eligibility 2026: Income Limits,slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.46; state_specific=y
track-d,medicaid-eligibility-idaho,Do I Qualify for Idaho Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/idaho-medicaid-eligibility-2026,"Idaho Medicaid Eligibility 2026: Income Limits, Requirements, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-illinois,Do I Qualify for Illinois Medicaid (HFS) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/illinois-medicaid-eligibility-2026,Illinois Medicaid Eligibility 2026: Income Limits Guide,slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.46; state_specific=y
track-d,medicaid-eligibility-kansas,Do I Qualify for Kansas Medicaid (KanCare) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/kansas-medicaid-eligibility-2026,"Kansas Medicaid Eligibility 2026: Income Limits, KanCare Rules, and How to Apply",moderate,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.57; state_specific=y
track-d,medicaid-eligibility-kentucky,Do I Qualify for Kentucky Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/how-to-apply-for-medicaid-in-kentucky,"How to Apply for Medicaid in Kentucky: Income Limits, Steps, and Eligibility (2026)",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-louisiana,Do I Qualify for Louisiana Medicaid (Healthy Louisiana) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/louisiana-medicaid-eligibility-2026,"Louisiana Medicaid Eligibility 2026: Income Limits, Programs, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.40; state_specific=y
track-d,medicaid-eligibility-maine,Do I Qualify for MaineCare in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/maine-medicaid-eligibility-2026,"Maine Medicaid Eligibility 2026: MaineCare Income Limits, Requirements, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.47; state_specific=y
track-d,medicaid-eligibility-maryland,Do I Qualify for Maryland Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/maryland-medicaid-eligibility-2026,"Maryland Medicaid Eligibility 2026: Income Limits, How to Apply, and What You Need to Know",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-massachusetts,Do I Qualify for MassHealth in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/massachusetts-medicaid-eligibility-2026,'MassHealth Income Limits 2026: No Asset Test for Children',slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.44; state_specific=y
track-d,medicaid-eligibility-michigan,Do I Qualify for Michigan Medicaid (Healthy Michigan) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/michigan-medicaid-eligibility-2026,Michigan Medicaid Eligibility 2026: Income Limits,slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.46; state_specific=y
track-d,medicaid-eligibility-mississippi,Do I Qualify for Mississippi Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/mississippi-medicaid-eligibility-2026,"Mississippi Medicaid Eligibility 2026: Income Limits, How to Apply, and Who Qualifies",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-missouri,Do I Qualify for MO HealthNet (Missouri Medicaid) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/missouri-medicaid-eligibility-2026,"Missouri Medicaid Eligibility 2026: Income Limits, Requirements, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.40; state_specific=y
track-d,medicaid-eligibility-montana,Do I Qualify for Montana Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/montana-medicaid-eligibility-2026,"Montana Medicaid Eligibility 2026: Income Limits, How to Apply, and What You Need to Know",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-nevada,Do I Qualify for Nevada Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/nevada-medicaid-eligibility-2026,"Nevada Medicaid Eligibility 2026: Income Limits, How to Apply, and Who Qualifies",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-new-jersey,Do I Qualify for NJ FamilyCare (NJ Medicaid) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/new-jersey-medicaid-eligibility-2026,"New Jersey Medicaid Eligibility 2026: Income Limits, How to Apply, and What You Need to Know",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.40; state_specific=y
track-d,medicaid-eligibility-new-york,Do I Qualify for New York Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/kansas-medicaid-eligibility-2026,"Kansas Medicaid Eligibility 2026: Income Limits, KanCare Rules, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.40; state_specific=y
track-d,medicaid-eligibility-north-carolina,Do I Qualify for NC Medicaid (Expanded 2026) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/north-carolina-medicaid-eligibility-2026,"North Carolina Medicaid Eligibility 2026: Income Limits, Requirements, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.44; state_specific=y
track-d,medicaid-eligibility-north-dakota,Do I Qualify for North Dakota Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/north-dakota-medicaid-eligibility-2026,"North Dakota Medicaid Eligibility 2026: Income Limits, Requirements, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.47; state_specific=y
track-d,medicaid-eligibility-ohio,Do I Qualify for Ohio Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/ohio-medicaid-eligibility-2026,Ohio Medicaid Eligibility 2026: Income Limits Guide,slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.50; state_specific=y
track-d,medicaid-eligibility-oklahoma,Do I Qualify for SoonerCare (Oklahoma Medicaid) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/oklahoma-medicaid-eligibility-2026,"Oklahoma Medicaid Eligibility 2026: Income Limits, Application Steps, and SoonerCare Guide",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.47; state_specific=y
track-d,medicaid-eligibility-oregon,Do I Qualify for Oregon Health Plan (OHP) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/oregon-medicaid-eligibility-2026,"Oregon Medicaid Eligibility 2026: Income Limits, How to Apply, and What OHP Covers",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.41; state_specific=y
track-d,medicaid-eligibility-rhode-island,Do I Qualify for RIte Care (Rhode Island Medicaid) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/rhode-island-medicaid-eligibility-2026,"Rhode Island Medicaid Eligibility 2026: Income Limits, Programs, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.41; state_specific=y
track-d,medicaid-eligibility-south-carolina,Do I Qualify for Healthy Connections (SC Medicaid) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/south-carolina-medicaid-eligibility-2026,"South Carolina Medicaid Eligibility 2026: Income Limits, Programs, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.41; state_specific=y
track-d,medicaid-eligibility-south-dakota,Do I Qualify for South Dakota Medicaid (Expanded 2026) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/south-dakota-medicaid-eligibility-2026,"South Dakota Medicaid Eligibility 2026: Income Limits, Programs, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.44; state_specific=y
track-d,medicaid-eligibility-tennessee,Do I Qualify for TennCare (Tennessee Medicaid) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/tennessee-medicaid-eligibility-2026,"Tennessee Medicaid Eligibility 2026: TennCare Income Limits, Requirements, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.47; state_specific=y
track-d,medicaid-eligibility-texas,Do I Qualify for Texas Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/texas-medicaid-eligibility-2026,Texas Medicaid Eligibility 2026: Income Limits & Apply,slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.46; state_specific=y
track-d,medicaid-eligibility-utah,Do I Qualify for Utah Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/utah-medicaid-eligibility-2026,"Utah Medicaid Eligibility 2026: Income Limits, How to Apply, and What You Need to Know",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-washington,Do I Qualify for Apple Health (Washington Medicaid) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/washington-medicaid-eligibility-2026,Washington Medicaid Eligibility 2026: Apple Health Income Limits and How to Apply,slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.53; state_specific=y
track-d,medicaid-eligibility-west-virginia,Do I Qualify for West Virginia Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/west-virginia-medicaid-eligibility-2026,"West Virginia Medicaid Eligibility 2026: Income Limits, How to Apply, and What You Need to Know",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.47; state_specific=y
track-d,medicaid-eligibility-wisconsin,Do I Qualify for Wisconsin BadgerCare Plus in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/wisconsin-medicaid-eligibility-2026,"Wisconsin Medicaid Eligibility 2026: Income Limits, BadgerCare Plus, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.50; state_specific=y
track-d,medicaid-eligibility-wyoming,Do I Qualify for Wyoming Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/how-to-apply-for-medicaid-in-wyoming,"How to Apply for Medicaid in Wyoming: Eligibility, Income Limits, and Step-by-Step Guide (2026)",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
