topic,title_hint,priority_index,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,notes
pomalyst-cost,Pomalyst Cost in 2026: IRA Round 2 Anchor for 2027 Multiple Myeloma Pricing,180,N/A,1600,N/A,none,low,n,1,bing|cms|ira-2027|goodrx-catalog,n,n,IRA Round 2 — 2027 effective MFP forward anchor
ibrance-cost,Ibrance Cost in 2026: IRA Round 2 Anchor for 2027 CDK4/6 Breast Cancer Pricing,220,N/A,2900,N/A,none,low,n,1,bing|cms|ira-2027|goodrx-catalog,n,n,IRA Round 2 — Part B vs D framing
calquence-cost,Calquence Cost in 2026: IRA Round 2 Anchor for 2027 BTK Inhibitor Pricing,160,N/A,1300,N/A,none,low,n,1,bing|cms|ira-2027|goodrx-catalog,n,n,IRA Round 2 — CLL specialty
austedo-cost,Austedo Cost in 2026: IRA Round 2 Anchor for 2027 Tardive Dyskinesia Pricing,180,N/A,2400,N/A,none,low,n,1,bing|cms|ira-2027|goodrx-catalog,n,n,IRA Round 2 — Huntington / TD
janumet-cost,Janumet Cost in 2026: IRA Round 2 Anchor for 2027 Sitagliptin/Metformin Combo,220,N/A,3600,N/A,none,medium,n,1,bing|cms|ira-2027|goodrx-catalog,n,n,IRA Round 2 — pairs with Januvia
tradjenta-cost,Tradjenta Cost in 2026: IRA Round 2 Anchor for 2027 Linagliptin Pricing,140,N/A,1300,N/A,none,low,n,1,bing|cms|ira-2027|goodrx-catalog,n,n,IRA Round 2 — fixed spelling (was trajenta in A)
vraylar-cost,Vraylar Cost in 2026: IRA Round 2 Anchor for 2027 Cariprazine Pricing,140,N/A,1300,N/A,none,low,n,1,bing|cms|ira-2027|goodrx-catalog,n,n,IRA Round 2 — atypical antipsychotic
otezla-cost,Otezla Cost in 2026: IRA Round 2 Anchor for 2027 Apremilast Pricing,180,N/A,3600,N/A,none,medium,n,1,bing|cms|ira-2027|goodrx-catalog|manufacturer-site,n,n,IRA Round 2 — psoriasis oral
linzess-cost,Linzess Cost in 2026: IRA Round 2 Anchor for 2027 IBS-C Treatment Pricing,420,15,8100,N/A,none,medium,n,1,bing|clincalc|ira-2027|goodrx-catalog,n,n,IRA Round 2 — linaclotide
ofev-cost,Ofev Cost in 2026: IRA Round 2 Anchor for 2027 Nintedanib IPF Pricing,120,N/A,720,N/A,none,low,n,1,bing|ira-2027|goodrx-catalog,n,n,IRA Round 2 — IPF specialty
breo-ellipta-cost,Breo Ellipta Cost in 2026: IRA Round 2 Anchor for 2027 GSK Inhaler Pricing,140,N/A,3600,N/A,none,medium,n,1,bing|ira-2027|goodrx-catalog|manufacturer-site,n,n,IRA Round 2 — COPD/asthma
trelegy-ellipta-cost,"Trelegy Ellipta Cost in 2026: IRA Round 2 Anchor for 2027, Triple-Therapy Pricing",460,18,8100,N/A,none,medium,n,1,bing|ira-2027|goodrx-catalog|manufacturer-site,n,n,IRA Round 2 — promoted per critique adjudication (80k broad cost-intent)
trikafta-cost,"Trikafta Cost in 2026: Vertex CF Pricing, Patient Assistance, $300K List Price",180,N/A,2900,N/A,none,low,n,2,bing|manufacturer-site|goodrx-catalog,n,n,Vertex CF flagship — highest-cost specialty
factor-viii-cost,Factor VIII Cost in 2026: Hemophilia A Coverage and Patient Assistance,140,N/A,1600,N/A,none,low,n,3,bing|manufacturer-site|hemophilia-federation,n,n,Hemophilia factor — specialty cluster
factor-ix-cost,Factor IX Cost in 2026: Hemophilia B Coverage and Patient Assistance,120,N/A,880,N/A,none,low,n,3,bing|manufacturer-site|hemophilia-federation,n,n,Hemophilia factor — specialty cluster
hemgenix-cost,"Hemgenix Cost in 2026: $3.5M Hemophilia B Gene Therapy Coverage Rules",120,N/A,720,N/A,none,low,n,2,bing|cms|manufacturer-site,n,n,Gene therapy — broken out from B's generic gene-therapy-cost aggregator
cibinqo-cost,Cibinqo Cost in 2026: Pfizer Eczema Biologic Pricing and Patient Assistance,140,N/A,1300,N/A,none,low,n,2,bing|manufacturer-site|goodrx-catalog,n,n,Top biologic per critic spec — eczema oral JAK
cyclobenzaprine-cost,Cyclobenzaprine Cost in 2026: Generic Flexeril Muscle Relaxant Pricing,100,N/A,4400,28,none,low,n,2,bing|clincalc-top-30|goodrx-catalog,n,n,Top-30 ClinCalc — baseline volume
meloxicam-cost,Meloxicam Cost in 2026: Generic Mobic NSAID Pricing,110,N/A,3600,22,none,low,n,2,bing|clincalc-top-30|goodrx-catalog,n,n,Top-30 ClinCalc — baseline volume
trulicity-cost,Trulicity Cost in 2026: Lilly Cares Patient Assistance and Generic Status,520,23,12100,52,none,high,n,2,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Pre-IRA GLP-1
rybelsus-cost,Rybelsus Cost in 2026: Oral Semaglutide Without Insurance,490,55,8100,N/A,none,high,n,2,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Oral GLP-1 — 224k cost-intent broad volume
saxenda-cost,Saxenda Cost in 2026: Liraglutide Generic Status and Wegovy Alternatives,310,19,5400,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Older GLP-1 weight loss
victoza-cost,Victoza Cost in 2026: Liraglutide Generic Available,280,5,3600,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Generic liraglutide approved 2024
foundayo-orforglipron-cost,Foundayo (Orforglipron) Cost in 2026: Oral GLP-1 Launch Pricing,160,N/A,720,N/A,none,low,n,2,bing|manufacturer-site,n,n,New Lilly oral GLP-1
humira-cost,Humira Cost in 2026: AbbVie Assistance and Biosimilar Adalimumab Switch,640,26,18100,N/A,none,high,n,1,bing|clincalc|goodrx-catalog|manufacturer-site|kff,n,n,"Biosimilar wave (Cyltezo, Hyrimoz, Amjevita, Yuflyma)"
skyrizi-cost,Skyrizi Cost in 2026: AbbVie Copay Card and Patient Assistance,420,15,5400,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Stelara competitor — AbbVie franchise
rinvoq-cost,Rinvoq Cost in 2026: AbbVie Assistance and JAK Coverage,360,N/A,4400,N/A,none,medium,n,2,bing|manufacturer-site|goodrx-catalog,n,n,AbbVie JAK
tremfya-cost,Tremfya Cost in 2026: J&J Copay Card and Pricing,360,12,4400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Psoriasis biologic
cosentyx-cost,Cosentyx Cost in 2026: Novartis Pricing and Patient Assistance,320,10,5400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Psoriasis/AS biologic
entyvio-cost,Entyvio Cost in 2026: Takeda IBD Drug Coverage,260,N/A,2900,N/A,none,medium,n,2,bing|manufacturer-site|goodrx-catalog,n,n,IBD biologic
dupixent-cost,"Dupixent Cost in 2026: Copay Card, Patient Assistance, Step Therapy",580,99,12100,N/A,none,high,n,1,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Specialty — dupixent copay card broad=5.9k
biktarvy-cost,Biktarvy Cost in 2026: Gilead Advancing Access and Ready-Set-PrEP,290,11,8100,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,HIV combo therapy
repatha-cost,Repatha Cost in 2026: PCSK9 Inhibitor Without Insurance and Amgen Assistance,440,70,5400,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Specialty lipid
praluent-cost,Praluent Cost in 2026: PCSK9 Inhibitor Pricing and Coverage,180,4,1600,N/A,none,low,n,3,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Repatha competitor
vyvanse-cost,Vyvanse Cost in 2026: Generic Lisdexamfetamine and ADHD Coverage,580,80,33100,N/A,none,high,n,1,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Generic launched 2023
lyrica-cost,Lyrica Cost in 2026: Pregabalin Generic and Insurance Coverage,440,40,12100,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,n,n,Generic pregabalin
gabapentin-cost,Gabapentin Cost in 2026: Generic Pricing and Coverage Notes,180,36,12100,12,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Top-20 prescribed
prednisone-cost,Prednisone Cost in 2026: Generic Steroid Pricing,160,55,8100,16,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap generic
amlodipine-cost,Amlodipine Cost in 2026: Generic Blood Pressure Drug Pricing,120,33,4400,5,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Top-5 prescribed
losartan-cost,Losartan Cost in 2026: Generic ARB Pricing,110,23,3600,9,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap generic
lisinopril-cost,Lisinopril Cost in 2026: Generic ACE Inhibitor Pricing,110,20,4400,4,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Top-5 prescribed
atorvastatin-cost,Atorvastatin Cost in 2026: Generic Lipitor Pricing,90,19,4400,1,none,high,n,3,bing|clincalc|goodrx-catalog,n,n,#1 prescribed — A correct vs B (cheap generic locked by GoodRx)
rosuvastatin-cost,Rosuvastatin Cost in 2026: Generic Crestor Pricing,140,N/A,3600,N/A,none,high,n,3,bing|clincalc|goodrx-catalog,n,n,Generic statin
simvastatin-cost,Simvastatin Cost in 2026: Generic Zocor Pricing,80,N/A,1600,15,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap generic
levothyroxine-cost,Levothyroxine Cost in 2026: Generic Thyroid Drug Pricing,140,26,5400,3,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Top-5 prescribed — brand/generic substitution caveat
synthroid-cost,Synthroid Cost in 2026: Brand vs Generic Levothyroxine,120,N/A,2900,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Brand companion to levothyroxine
sertraline-cost,Sertraline Cost in 2026: Generic Zoloft Pricing,120,19,4400,11,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap SSRI
escitalopram-cost,Escitalopram Cost in 2026: Generic Lexapro Pricing,120,N/A,2900,14,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap SSRI
fluoxetine-cost,Fluoxetine Cost in 2026: Generic Prozac Pricing,130,N/A,3600,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap SSRI
citalopram-cost,Citalopram Cost in 2026: Generic Celexa Pricing,100,N/A,1900,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap SSRI
duloxetine-cost,Duloxetine Cost in 2026: Generic Cymbalta Pricing,150,N/A,4400,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,n,n,SNRI
venlafaxine-cost,Venlafaxine Cost in 2026: Generic Effexor Pricing,110,N/A,2400,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,SNRI
bupropion-cost,Bupropion Cost in 2026: Generic Wellbutrin Pricing,130,N/A,2900,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Atypical antidepressant
trazodone-cost,Trazodone Cost in 2026: Generic Sleep/Depression Pricing,90,N/A,2400,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap generic
buspirone-cost,Buspirone Cost in 2026: Generic BuSpar Anxiety Pricing,80,N/A,1300,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap anxiolytic
alprazolam-cost,Alprazolam Cost in 2026: Generic Xanax Pricing and DEA Limits,160,N/A,5400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Benzodiazepine
clonazepam-cost,Clonazepam Cost in 2026: Generic Klonopin Pricing,120,N/A,2400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Benzodiazepine
lorazepam-cost,Lorazepam Cost in 2026: Generic Ativan Pricing,100,N/A,1900,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Benzodiazepine
pregabalin-cost,Pregabalin Cost in 2026: Generic Lyrica Pricing,140,N/A,3600,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,n,n,Anti-epileptic / neuropathic
lamotrigine-cost,Lamotrigine Cost in 2026: Generic Lamictal Pricing,100,N/A,2400,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Anti-epileptic
levetiracetam-cost,Levetiracetam Cost in 2026: Generic Keppra Pricing,90,N/A,1600,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Anti-epileptic
topiramate-cost,Topiramate Cost in 2026: Generic Topamax Pricing,110,N/A,2400,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Anti-epileptic / migraine
omeprazole-cost,Omeprazole Cost in 2026: Generic Prilosec OTC vs Prescription,100,18,3600,8,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,OTC vs Rx pricing angle
pantoprazole-cost,Pantoprazole Cost in 2026: Generic Protonix Pricing,110,N/A,2400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,PPI
esomeprazole-cost,Esomeprazole Cost in 2026: Generic Nexium Pricing,120,N/A,2900,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,PPI
metoprolol-cost,Metoprolol Cost in 2026: Tartrate vs Succinate Generic Pricing,140,N/A,3600,7,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Top-10 prescribed beta blocker
carvedilol-cost,Carvedilol Cost in 2026: Generic Coreg Pricing,90,N/A,1300,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Beta blocker
hydrochlorothiazide-cost,Hydrochlorothiazide Cost in 2026: Generic Diuretic Pricing,90,N/A,1900,10,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Cheap generic
montelukast-cost,Montelukast Cost in 2026: Generic Singulair Pricing and Black Box Warning,160,N/A,3600,18,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Top-20 prescribed
tramadol-cost,Tramadol Cost in 2026: Generic Opioid Pricing and Schedule IV,90,N/A,2400,19,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Schedule IV
warfarin-cost,Warfarin Cost in 2026: Generic Coumadin and DOAC Comparison,100,N/A,2900,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Old anticoagulant
clopidogrel-cost,Clopidogrel Cost in 2026: Generic Plavix Pricing,110,N/A,2900,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Antiplatelet
albuterol-cost,Albuterol Inhaler Cost in 2026: Generic Status and Coverage,180,N/A,8100,13,none,medium,n,2,bing|clincalc|goodrx-catalog,n,n,Generic albuterol limited
advair-cost,Advair Diskus Cost in 2026: Generic Wixela Inhub Switching,210,25,8100,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,n,n,Generic Wixela available
symbicort-cost,Symbicort Cost in 2026: AirSupra Authorized Generic Pricing,180,16,5400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Authorized generic
spiriva-cost,Spiriva Handihaler Cost in 2026: Tiotropium Pricing and Generic Status,160,N/A,4400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,COPD inhaler
amoxicillin-cost,Amoxicillin Cost in 2026: Generic Antibiotic Pricing,90,N/A,2900,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Antibiotic
azithromycin-cost,Azithromycin Cost in 2026: Z-Pak Generic Pricing,100,N/A,3600,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Antibiotic
ciprofloxacin-cost,Ciprofloxacin Cost in 2026: Generic Cipro Pricing,80,N/A,1900,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,n,n,Antibiotic
doxycycline-cost,Doxycycline Cost in 2026: Generic Antibiotic Pricing,90,N/A,2400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Antibiotic
humalog-cost,Humalog Cost in 2026: Insulin Lispro Generic and $35 Manufacturer Cap,260,N/A,8100,N/A,none,medium,n,2,bing|clincalc|content-inventory|manufacturer-site,n,n,Re-flagged none per critique #4 — BUSA has no humalog article
lantus-cost,Lantus Cost in 2026: Insulin Glargine Biosimilar Semglee and Basaglar,290,N/A,8100,N/A,none,medium,n,1,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Re-flagged none per critique #4 — BUSA has no lantus article
basaglar-cost,Basaglar Cost in 2026: Insulin Glargine Biosimilar Coverage,140,N/A,1600,N/A,none,low,n,3,bing|manufacturer-site|goodrx-catalog,n,n,Lantus biosimilar
levemir-cost,Levemir Cost in 2026: Long-Acting Insulin and $35 Cap,180,N/A,2400,N/A,none,medium,n,2,bing|manufacturer-site|goodrx-catalog,n,n,Insulin detemir
tresiba-cost,Tresiba Cost in 2026: Insulin Degludec and $35 Manufacturer Cap,210,N/A,3600,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Long-acting insulin
admelog-cost,Admelog Cost in 2026: Sanofi Insulin Biosimilar Coverage,90,N/A,720,N/A,none,low,n,3,bing|manufacturer-site|goodrx-catalog,n,n,Insulin biosimilar
semglee-cost,Semglee Cost in 2026: Insulin Glargine Biosimilar Authorized Generic,180,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,Lantus biosimilar
adderall-cost,Adderall Cost in 2026: Generic Mixed Amphetamine Salts and 2026 Shortage,420,N/A,33100,N/A,none,high,n,1,bing|clincalc|goodrx-catalog|fda-drug-shortage-list,n,n,Shortage angle
adderall-xr-cost,Adderall XR Cost in 2026: Generic ADHD Pricing,260,N/A,8100,N/A,none,high,n,2,bing|clincalc|goodrx-catalog,n,n,Extended-release
concerta-cost,Concerta Cost in 2026: Methylphenidate ER Pricing,180,N/A,4400,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,n,n,Methylphenidate ER
ritalin-cost,Ritalin Cost in 2026: Methylphenidate Generic Pricing,150,N/A,2900,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Methylphenidate
strattera-cost,Strattera Cost in 2026: Atomoxetine Generic ADHD Pricing,140,N/A,2400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Non-stimulant ADHD
abilify-cost,Abilify Cost in 2026: Aripiprazole Generic and Long-Acting Pricing,180,N/A,5400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,n,n,Atypical antipsychotic
caplyta-cost,Caplyta Cost in 2026: Lumateperone Bipolar Depression Pricing,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Atypical antipsychotic
rexulti-cost,Rexulti Cost in 2026: Brexpiprazole and Alzheimer's Agitation Indication,140,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Newer Alzheimer's agitation use
trintellix-cost,Trintellix Cost in 2026: Vortioxetine Depression Pricing,160,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Newer SSRI
latuda-cost,Latuda Cost in 2026: Lurasidone Generic Pricing,120,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Generic available
seroquel-cost,Seroquel Cost in 2026: Quetiapine Generic Pricing,100,N/A,2900,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Cheap generic
risperdal-cost,Risperdal Cost in 2026: Risperidone Generic Pricing,90,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Cheap generic
auvelity-cost,Auvelity Cost in 2026: Dextromethorphan Bupropion Depression Pricing,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,n,n,New antidepressant
spravato-cost,Spravato Cost in 2026: Esketamine Treatment-Resistant Depression Pricing,160,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,n,n,REMS in-office
buprenorphine-cost,Buprenorphine Suboxone Cost in 2026: MAT Coverage and Generic Pricing,260,N/A,4400,N/A,slight,medium,n,2,bing|samhsa,n,n,OUD treatment — BUSA has SSI/addiction slight
suboxone-cost,Suboxone Cost in 2026: Buprenorphine-Naloxone Coverage and Assistance,220,N/A,3600,N/A,none,medium,n,2,bing|samhsa|manufacturer-site,n,n,OUD MAT
naltrexone-cost,Naltrexone Vivitrol Cost in 2026: Oral and Injectable Pricing,180,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,OUD/AUD
methadone-cost,Methadone Cost in 2026: OTP Coverage and Medicare Part B Bundled Payment,200,N/A,2900,N/A,none,low,n,3,bing|samhsa,n,n,Opioid treatment program
narcan-cost,Narcan Cost in 2026: OTC Naloxone Pricing and Free Programs,290,N/A,8100,N/A,none,medium,n,2,bing|fda|manufacturer-site,n,n,OTC Narcan launched 2023
hiv-prep-cost,"HIV PrEP Cost in 2026: Descovy, Truvada, Apretude and Ready-Set-PrEP",320,N/A,5400,N/A,none,medium,n,2,bing|cdc|ready-set-prep,n,n,Federal Ready-Set-PrEP
descovy-cost,Descovy Cost in 2026: PrEP Pricing and Patient Assistance,140,N/A,1900,N/A,none,medium,n,3,bing|goodrx-catalog|manufacturer-site,n,n,PrEP option
apretude-cost,Apretude Cost in 2026: Long-Acting Injectable PrEP Pricing,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,n,n,LAI PrEP
truvada-cost,Truvada Cost in 2026: Generic PrEP and Patient Assistance,180,N/A,2900,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,Generic PrEP
hepc-treatment-cost,"Hep C Treatment Cost in 2026: Mavyret, Epclusa, Harvoni Pricing and Coverage",280,N/A,4400,N/A,none,medium,n,2,bing|cdc|hhs-hepc-elimination,n,n,Federal Hep C plan
mavyret-cost,Mavyret Cost in 2026: Glecaprevir Pibrentasvir Hep C Pricing,180,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog|manufacturer-site,n,n,Hep C drug
epclusa-cost,Epclusa Cost in 2026: Sofosbuvir Velpatasvir Hep C Pricing,160,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Hep C drug
harvoni-cost,Harvoni Cost in 2026: Generic Authorized Sofosbuvir Ledipasvir Pricing,150,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Hep C — authorized generic
keytruda-cost,Keytruda Cost in 2026: Pembrolizumab Pricing and Patient Assistance,360,N/A,5400,N/A,none,medium,n,2,bing|goodrx-catalog|manufacturer-site,n,n,Cancer immunotherapy
opdivo-cost,Opdivo Cost in 2026: Nivolumab Pricing and Patient Assistance,280,N/A,2900,N/A,none,medium,n,3,bing|goodrx-catalog|manufacturer-site,n,n,Keytruda competitor
tagrisso-cost,Tagrisso Cost in 2026: AstraZeneca Access 360 Program,160,N/A,1600,N/A,none,low,n,3,bing|manufacturer-site,n,n,EGFR NSCLC
trodelvy-cost,Trodelvy Cost in 2026: Triple-Negative Breast Cancer Treatment Pricing,140,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,n,n,Oncology specialty
ocrevus-cost,Ocrevus Cost in 2026: Genentech MS Drug Assistance,180,N/A,2900,N/A,none,low,n,2,bing|manufacturer-site|goodrx-catalog,n,n,MS infused biologic
tysabri-cost,Tysabri Cost in 2026: Biogen MS Patient Support,140,N/A,1300,N/A,none,low,n,3,bing|manufacturer-site,n,n,MS biologic
tecfidera-cost,Tecfidera Cost in 2026: Generic Dimethyl Fumarate MS Coverage,140,N/A,1600,N/A,none,low,n,3,bing|goodrx-catalog,n,n,MS oral
veozah-cost,Veozah Cost in 2026: Fezolinetant Menopause Hot Flash Treatment Pricing,160,N/A,2900,N/A,none,medium,n,2,bing|goodrx-catalog|manufacturer-site,n,n,New menopause drug
shingrix-cost,Shingrix Cost in 2026: Shingles Vaccine Medicare Coverage,260,N/A,4400,N/A,slight,medium,n,2,bing|cdc|cms,n,n,IRA $0 adult vaccines
