ID,Keyword,Title,State,Program,Type,Intent,Volume,CPC,Competition,RevenueScore,Priority,Status,Notes,URL,Created,Source,Target
CU-053,how to apply for medicaid in arizona,How to Apply for Medicaid in Arizona (2026),AZ,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,AI,
CU-054,arizona aca marketplace plans 2026,"Arizona ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",AZ,ACA Marketplace,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-055,free health insurance arizona 2026,Free Health Insurance in Arizona 2026: Medicaid and CHIP Options,AZ,Medicaid,state-specific,informational,,,,8,3,Ready,,,2026-05-11,AI,
CU-056,arizona chip eligibility 2026,Arizona CHIP Eligibility 2026: Income Limits and How to Enroll,AZ,CHIP,state-specific,informational,,,,6,3,Ready,,,2026-05-11,Google,
CU-057,nevada medicaid income limits 2026,Nevada Medicaid Income Limits 2026: Full Eligibility Guide,NV,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,AI,
CU-058,how to apply for medicaid in nevada,How to Apply for Medicaid in Nevada (2026),NV,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-059,nevada aca marketplace plans 2026,"Nevada ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",NV,ACA Marketplace,state-specific,informational,,,,9,3,Ready,,,2026-05-11,AI,
CU-060,free health insurance nevada 2026,Free Health Insurance in Nevada 2026: Medicaid and CHIP Options,NV,Medicaid,state-specific,informational,,,,8,3,Ready,,,2026-05-11,Google,
CU-061,nevada chip eligibility 2026,Nevada CHIP Eligibility 2026: Income Limits and How to Enroll,NV,CHIP,state-specific,informational,,,,6,3,Ready,,,2026-05-11,AI,
CU-062,ohio medicaid income limits 2026,Ohio Medicaid Income Limits 2026: Full Eligibility Guide,OH,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,Google,
CU-063,how to apply for medicaid in ohio,How to Apply for Medicaid in Ohio (2026),OH,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,AI,
CU-064,ohio aca marketplace plans 2026,"Ohio ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",OH,ACA Marketplace,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-065,free health insurance ohio 2026,Free Health Insurance in Ohio 2026: Medicaid and CHIP Options,OH,Medicaid,state-specific,informational,,,,8,3,Ready,,,2026-05-11,AI,
CU-066,ohio chip eligibility 2026,Ohio CHIP Eligibility 2026: Income Limits and How to Enroll,OH,CHIP,state-specific,informational,,,,6,3,Ready,,,2026-05-11,Google,
CU-067,pennsylvania medicaid income limits 2026,Pennsylvania Medicaid Income Limits 2026: Full Eligibility Guide,PA,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,AI,
CU-068,how to apply for medicaid in pennsylvania,How to Apply for Medicaid in Pennsylvania (2026),PA,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-069,pennsylvania aca marketplace plans 2026,"Pennsylvania ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",PA,ACA Marketplace,state-specific,informational,,,,9,3,Ready,,,2026-05-11,AI,
CU-070,free health insurance pennsylvania 2026,Free Health Insurance in Pennsylvania 2026: Medicaid and CHIP Options,PA,Medicaid,state-specific,informational,,,,8,3,Ready,,,2026-05-11,Google,
CU-071,pennsylvania chip eligibility 2026,Pennsylvania CHIP Eligibility 2026: Income Limits and How to Enroll,PA,CHIP,state-specific,informational,,,,6,3,Ready,,,2026-05-11,AI,
CU-072,new york medicaid income limits 2026,New York Medicaid Income Limits 2026: Full Eligibility Guide,NY,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,Google,
CU-073,how to apply for medicaid in new york,How to Apply for Medicaid in New York (2026),NY,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,AI,
CU-074,new york aca marketplace plans 2026,"New York ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",NY,ACA Marketplace,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-075,free health insurance new york 2026,Free Health Insurance in New York 2026: Medicaid and CHIP Options,NY,Medicaid,state-specific,informational,,,,8,3,Ready,,,2026-05-11,AI,
CU-076,new york chip eligibility 2026,New York CHIP Eligibility 2026: Income Limits and How to Enroll,NY,CHIP,state-specific,informational,,,,6,3,Ready,,,2026-05-11,Google,
CU-077,illinois medicaid income limits 2026,Illinois Medicaid Income Limits 2026: Full Eligibility Guide,IL,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,AI,
CU-078,how to apply for medicaid in illinois,How to Apply for Medicaid in Illinois (2026),IL,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-079,new jersey medicaid income limits 2026,New Jersey Medicaid Income Limits 2026: Full Eligibility Guide,NJ,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,AI,
CU-080,how to apply for medicaid in new jersey,How to Apply for Medicaid in New Jersey (2026),NJ,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-081,virginia medicaid income limits 2026,Virginia Medicaid Income Limits 2026: Full Eligibility Guide,VA,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,AI,
CU-082,how to apply for medicaid in virginia,How to Apply for Medicaid in Virginia (2026),VA,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-083,washington medicaid income limits 2026,Washington Medicaid Income Limits 2026: Full Eligibility Guide,WA,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,AI,
CU-084,how to apply for medicaid in washington,How to Apply for Medicaid in Washington (2026),WA,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-085,colorado medicaid income limits 2026,Colorado Medicaid Income Limits 2026: Full Eligibility Guide,CO,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,AI,
CU-086,how to apply for medicaid in colorado,How to Apply for Medicaid in Colorado (2026),CO,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-087,medicaid vs medicare,Medicaid vs Medicare: What Is the Difference in 2026?,,Dual,comparison,informational,,,,10,1,Written,,/blog/medicaid-vs-medicare-difference-2026,2026-05-12,AI,
CU-088,what is magi for medicaid,What Is MAGI? How Modified Adjusted Gross Income Affects Your Healthcare,,Medicaid,explainer,informational,,,,10,3,Low Priority,,,2026-05-11,AI,
CU-089,aca income limits 2026,2026 ACA Income Limits: Who Qualifies for Marketplace Subsidies,,ACA,guide,informational,,,,10,1,Written,,/blog/aca-income-limits-2026,2026-05-12,AI,
CU-090,aca subsidy cliff 2026,The 2026 ACA Subsidy Cliff: What It Means and How to Avoid It,,ACA,guide,informational,,,,10,1,Written,,/blog/aca-subsidy-cliff-2026,2026-05-12,AI,
CU-091,free health insurance low income,Free Health Insurance for Low-Income Americans in 2026,,ACA,guide,transactional,,,,10,1,Duplicate,,,2026-05-11,Google,
CU-092,how to apply for medicaid online,How to Apply for Medicaid Online in 2026 (Step by Step),,Medicaid,guide,transactional,,,,10,3,Low Priority,,,2026-05-11,Google,
CU-093,what is the federal poverty level 2026,2026 Federal Poverty Level Guidelines by Household Size,,ACA,reference,informational,,,,9,1,Written,,/blog/federal-poverty-level-2026-guidelines,2026-05-12,AI,
CU-094,health insurance if you cant afford it,What to Do If You Cannot Afford Health Insurance in 2026,,ACA,guide,transactional,,,,10,1,Written,,/blog/health-insurance-if-you-cant-afford-it,2026-05-12,Google,
CU-095,medicaid income limits 2026,2026 Medicaid Income Limits by State: Complete Guide,,Medicaid,reference,informational,,,,10,2,Ready,,,2026-05-11,AI,
CU-096,medicare savings programs 2026,"2026 Medicare Savings Programs: QMB, SLMB, and QI Explained",,Medicare,guide,informational,,,,10,1,Written,,/blog/medicare-savings-programs-2026,2026-05-12,AI,
CU-097,does medicaid count my boyfriend income,Does Medicaid Count My Boyfriend's Income If We Live Together?,,Medicaid,scenario,informational,,,,8,3,Low Priority,,,2026-05-11,AI,
CU-098,medicaid for gig workers 2026,How Gig Workers and Freelancers Qualify for Medicaid in 2026,,Medicaid,guide,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-099,kicked off medicaid what to do,Lost Your Medicaid? What to Do Next to Avoid a Coverage Gap,,Medicaid,guide,transactional,,,,10,1,Written,,/blog/kicked-off-medicaid-what-to-do,2026-05-12,Google,
CU-100,turning 26 health insurance options,Turning 26? Your Health Insurance Options After Aging Off Parents' Plan,,ACA,guide,transactional,,,,9,1,Written,,/blog/turning-26-health-insurance-options,2026-05-13,Google,
CU-101,lost job health insurance options,Lost Your Job? How to Get Health Insurance After Losing Employer Coverage,,ACA,guide,transactional,,,,10,1,Written,,/blog/lost-job-health-insurance-options,2026-05-13,Google,
CU-102,medicaid work requirements 2026,2026 Medicaid Work Requirements: Who Must Comply and How,,Medicaid,guide,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-103,pregnant and no health insurance,Pregnant With No Insurance? Free and Low-Cost Options in 2026,,Medicaid,guide,transactional,,,,10,1,Written,,/blog/pregnant-no-health-insurance,2026-05-13,Google,
CU-104,self employed health insurance options,Health Insurance for Self-Employed Workers: Best Options in 2026,,ACA,guide,transactional,,,,10,1,Duplicate,,,2026-05-11,Google,
CU-105,can i get aca and medicaid,Can You Have Both Medicaid and ACA Insurance at the Same Time?,,Dual,scenario,informational,,,,8,1,Written,,/blog/can-i-get-aca-and-medicaid,2026-05-13,AI,
CU-106,medicaid asset limits 2026,Medicaid Asset Limits 2026: Which States Still Test Assets?,,Medicaid,reference,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-107,texas medicaid income limits 2026,2026 Texas Medicaid Income Limits and Eligibility Guide,TX,Medicaid,state-specific,informational,,,,10,2,Duplicate,,,2026-05-11,AI,
CU-108,florida medicaid eligibility 2026,"Florida Medicaid Eligibility 2026: Limits for Adults, Children, and Seniors",FL,Medicaid,state-specific,informational,,,,10,2,Ready,,,2026-05-11,AI,
CU-109,california medi-cal income limits 2026,2026 California Medi-Cal Income Limits and New Asset Rules,CA,Medicaid,state-specific,informational,,,,10,2,Ready,,,2026-05-11,AI,
CU-110,georgia medicaid work requirements,Georgia Pathways to Coverage 2026: 80-Hour Work Rules Explained,GA,Medicaid,state-specific,informational,,,,10,2,Ready,,,2026-05-11,AI,
CU-111,north carolina medicaid expansion 2026,2026 North Carolina Medicaid Expansion: Do You Now Qualify?,NC,Medicaid,state-specific,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-112,no health insurance texas options,No Health Insurance in Texas? Your Options in 2026,TX,ACA,state-specific,transactional,,,,10,2,Ready,,,2026-05-11,Google,
CU-113,florida aca plans 2026,Best ACA Health Insurance Plans in Florida for 2026,FL,ACA,state-specific,transactional,,,,10,2,Ready,,,2026-05-11,Google,
CU-114,coverage gap texas florida,The Medicaid Coverage Gap: Why Millions in Texas and Florida Have No Options,TX,Medicaid,explainer,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-115,arizona ahcccs income limits,2026 Arizona AHCCCS (Medicaid) Income Limits and How to Apply,AZ,Medicaid,state-specific,informational,,,,9,3,Ready,,,2026-05-11,Google,
CU-116,new york essential plan 2026,"New York Essential Plan 2026: Free Coverage If You Earn Under ,000",NY,ACA,state-specific,informational,,,,9,3,Ready,,,2026-05-11,AI,
CU-117,medicare part b late penalty,Medicare Part B Late Enrollment Penalty: How Much It Costs and How to Avoid It,,Medicare,guide,informational,,,,9,1,Written,,/blog/medicare-part-b-late-enrollment-penalty,2026-05-13,AI,
CU-118,medicare advantage vs medigap 2026,Medicare Advantage vs Medigap in 2026: Which Is Right for You?,,Medicare,comparison,informational,,,,10,1,Writing,,,2026-05-11,AI,
CU-119,how to apply for medicare part b,How to Apply for Medicare Part B When You Retire (Step by Step),,Medicare,guide,transactional,,,,9,1,Writing,,,2026-05-11,Google,
CU-120,medicare part d extra help 2026,Medicare Part D Extra Help (LIS) 2026: Income Limits and How to Apply,,Medicare,guide,informational,,,,9,1,Writing,,,2026-05-11,AI,
CU-121,ssdi to medicare transition,SSDI to Medicare: When Does It Start and What Are the Costs?,,Medicare,guide,informational,,,,8,1,Writing,,,2026-05-11,AI,
CU-122,chip income limits by state 2026,2026 CHIP Income Limits by State: Does Your Child Qualify?,,CHIP,reference,informational,,,,10,3,Low Priority,,,2026-05-11,AI,
CU-123,chip vs medicaid for children,CHIP vs Medicaid: Which Does Your Child Qualify For?,,CHIP,comparison,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-124,chip application mixed immigration status,Can Mixed-Status Families Apply for CHIP Without Risk?,,CHIP,scenario,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-125,chip joint custody which parent applies,CHIP and Joint Custody: Which Parent Should Apply?,,CHIP,scenario,informational,,,,8,3,Low Priority,,,2026-05-11,Google,
CU-126,va healthcare eligibility 2026,VA Healthcare Eligibility 2026: Who Qualifies and How to Enroll,,VA,guide,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-127,pact act va healthcare 2026,2026 PACT Act Expansion: Which Veterans Are Now Eligible for VA Care?,,VA,guide,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-128,va healthcare rating comparison,VA Healthcare Benefits by Disability Rating: 0% to 100% Compared,,VA,reference,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-129,va healthcare and medicare together,Can You Have VA Healthcare and Medicare at the Same Time?,,VA,scenario,informational,,,,8,3,Low Priority,,,2026-05-11,AI,
CU-130,va healthcare for spouse,Does VA Healthcare Cover Your Spouse and Dependents?,,VA,scenario,informational,,,,8,3,Low Priority,,,2026-05-11,Google,
CU-131,how to lower magi for aca subsidies,How to Lower Your MAGI to Qualify for ACA Subsidies in 2026,,ACA,guide,informational,,,,10,1,Writing,,,2026-05-11,AI,
CU-132,medicaid spend down explained,Medicaid Spend-Down: How the Medically Needy Qualify,,Medicaid,guide,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-133,miller trust medicaid 2026,What Is a Miller Trust? How to Qualify for Nursing Home Medicaid Over the Income Limit,,Medicaid,explainer,informational,,,,8,3,Low Priority,,,2026-05-11,AI,
CU-134,aca special enrollment period 2026,ACA Special Enrollment Period 2026: Who Qualifies and How to Apply,,ACA,guide,transactional,,,,10,1,Held,GATE A: slug contains year 2026,/blog/aca-special-enrollment-period-2026,2026-05-15,Google,
CU-135,medicaid estate recovery,Will Medicaid Take My House? Estate Recovery Rules Explained,,Medicaid,scenario,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-136,catastrophic health insurance over 30,Can You Buy a Catastrophic ACA Plan If You Are Over 30?,,ACA,scenario,informational,,,,8,1,Written,,/blog/catastrophic-health-insurance-over-30,2026-05-15,Google,
CU-137,medicaid gross or net income,Does Medicaid Use Gross or Net Income? MAGI Calculation Explained,,Medicaid,explainer,informational,,,,9,3,Low Priority,,,2026-05-11,AI,
CU-138,health insurance for college students,Health Insurance Options for College Students in 2026,,ACA,guide,transactional,,,,9,1,Duplicate,,,2026-05-11,Google,
CU-139,how to appeal medicaid denial,How to Appeal a Medicaid Denial (Step-by-Step Guide),,Medicaid,guide,transactional,,,,9,1,Written,,/blog/how-to-appeal-medicaid-denial,2026-05-15,Google,
CU-140,cheapest health insurance 2026,The Cheapest Health Insurance Options in 2026 (With and Without Subsidies),,ACA,guide,transactional,,,,10,1,Duplicate,,,2026-05-11,Google,
CU-142,does medicaid cover dental,Does Medicaid Cover Dental Care? What You Need to Know in 2026,,Medicaid,explainer,informational,,,,9,1,Held,GATE A: slug contains year 2026,/blog/does-medicaid-cover-dental-2026,2026-05-15,Google,
CU-143,does medicaid cover vision,Does Medicaid Cover Eye Exams and Glasses in 2026?,,Medicaid,explainer,informational,,,,9,3,Low Priority,,,2026-05-11,Google,
CU-144,does medicaid cover mental health,Does Medicaid Cover Therapy and Mental Health Services?,,Medicaid,explainer,informational,,,,9,3,Low Priority,,,2026-05-11,Google,
CU-145,does medicaid cover prescriptions,Does Medicaid Cover Prescription Drugs? A Complete Guide,,Medicaid,explainer,informational,,,,9,3,Low Priority,,,2026-05-11,Google,
CU-146,does medicaid cover surgery,Does Medicaid Cover Surgery? What Procedures Are Included,,Medicaid,explainer,informational,,,,8,3,Low Priority,,,2026-05-11,Google,
CU-147,how much does health insurance cost per month,How Much Does Health Insurance Cost Per Month in 2026?,,ACA,reference,informational,,,,10,3,Low Priority,,,2026-05-11,Google,
CU-148,what does health insurance cover,What Does Health Insurance Actually Cover? The 10 Essential Benefits,,ACA,explainer,informational,,,,10,1,Written,,/blog/what-does-health-insurance-cover,2026-05-15,AI,
CU-149,copay vs deductible vs coinsurance,Copay vs Deductible vs Coinsurance: Health Insurance Terms Explained Simply,,ACA,explainer,informational,,,,9,1,Ready,,,2026-05-11,AI,
CU-150,what is cobra insurance how much,What Is COBRA Insurance? How Much It Costs and When to Use It,,ACA,explainer,informational,,,,10,1,Ready,,,2026-05-11,Google,
CU-151,bronze vs silver vs gold health plans,Bronze vs Silver vs Gold Health Plans: Which ACA Plan Level Is Right for You?,,ACA,comparison,informational,,,,10,1,Ready,,,2026-05-11,AI,
CU-152,what happens if you dont have health insurance,What Happens If You Do Not Have Health Insurance in 2026?,,ACA,explainer,informational,,,,10,1,Ready,,,2026-05-11,Google,
CU-153,can i buy health insurance anytime,Can You Buy Health Insurance Outside of Open Enrollment?,,ACA,scenario,informational,,,,10,1,Ready,,,2026-05-11,Google,
CU-154,short term health insurance pros and cons,Short-Term Health Insurance: Is It Worth It in 2026?,,ACA,comparison,informational,,,,9,1,Ready,,,2026-05-11,Google,
CU-155,health insurance for immigrants 2026,Health Insurance Options for Immigrants in the US (2026 Guide),,ACA,guide,informational,,,,10,1,Ready,,,2026-05-11,AI,
CU-156,health insurance for doordash uber drivers,Health Insurance for DoorDash and Uber Drivers: Your Best Options in 2026,,ACA,guide,transactional,,,,10,1,Ready,,,2026-05-11,Google,
CU-157,how to negotiate hospital bills,How to Negotiate Hospital Bills and Reduce Medical Debt,,ACA,guide,transactional,,,,9,1,Written,,/blog/how-to-negotiate-hospital-bills,2026-05-12,Google,analyzer
CU-158,how to get cheaper prescription drugs,How to Get Cheaper Prescription Drugs in 2026 (With or Without Insurance),,ACA,guide,transactional,,,,9,3,Low Priority,,,2026-05-11,Google,
CU-159,what is open enrollment health insurance,What Is Open Enrollment? Health Insurance Dates and Deadlines for 2026,,ACA,explainer,informational,,,,10,3,Low Priority,,,2026-05-11,AI,
