topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,subtype,notes
does-medicare-cover-glasses,Does Medicare Cover Glasses or Contacts in 2026?,820,72,1200,1,none,high,n,2,"medicare.gov/coverage/eyeglasses-contact-lenses,aarp",n,n,qa-coverage,"Demoted from P1 — head term per critique §7."
does-medicare-cover-cataract-surgery,Does Medicare Cover Cataract Surgery in 2026?,1100,98,1500,1,none,high,n,1,"medicare.gov/coverage/cataract-surgery,aarp,allaboutvision",n,n,qa-coverage,
does-medicare-cover-lasik,Does Medicare Cover LASIK Eye Surgery in 2026?,500,45,820,2,none,medium,n,2,"medicare.gov,aarp,allaboutvision",n,n,qa-coverage,
does-medicare-cover-eyeglasses-after-cataract,Does Medicare Cover Eyeglasses After Cataract Surgery in 2026?,420,36,620,2,none,low,n,3,"CMS-post-cataract-eyewear-benefit,sibling-of-cataract",n,n,qa-coverage,
does-medicare-cover-mental-health,Does Medicare Cover Mental Health Care in 2026?,1400,125,2200,1,none,high,n,1,"Bing-therapy-insurance-related,medicare.gov/coverage/mental-health-care,aarp,kff",n,n,qa-coverage,
does-medicare-cover-therapy,Does Medicare Cover Therapy and Counseling in 2026?,1100,98,1600,1,none,high,n,1,"medicare.gov,aarp,psychologytoday",n,n,qa-coverage,
does-medicare-cover-psychiatrists,Does Medicare Cover Psychiatrist Visits in 2026?,520,45,820,2,none,medium,n,2,"medicare.gov,aarp",n,n,qa-coverage,
does-medicare-cover-addiction-rehab,Does Medicare Cover Drug and Alcohol Rehab in 2026?,820,72,1200,1,none,medium,n,1,"medicare.gov,samhsa,aarp",n,n,qa-coverage,
does-medicare-cover-physical-therapy,Does Medicare Cover Physical Therapy in 2026?,1200,108,1800,1,none,high,n,2,"medicare.gov,aarp,apta",n,n,qa-coverage,"Demoted P1→P2 per critique §7 — head term."
does-medicare-cover-occupational-therapy,Does Medicare Cover Occupational Therapy in 2026?,520,45,820,2,none,medium,n,2,"medicare.gov,aota,aarp",n,n,qa-coverage,
does-medicare-cover-speech-therapy,Does Medicare Cover Speech Therapy in 2026?,420,36,720,2,none,medium,n,2,"medicare.gov,asha,aarp",n,n,qa-coverage,
does-medicare-cover-chiropractor,Does Medicare Cover Chiropractor Visits in 2026?,950,85,1400,1,none,high,n,2,"medicare.gov/coverage/chiropractic-services,aarp",n,n,qa-coverage,
does-medicare-cover-acupuncture,Does Medicare Cover Acupuncture for Back Pain in 2026?,720,62,1100,2,none,medium,n,2,"medicare.gov,aarp,CMS-acupuncture-LBP-rule-2020",n,n,qa-coverage,
does-medicare-cover-cgm,Does Medicare Cover Continuous Glucose Monitors (Dexcom/Libre) in 2026?,820,72,1300,2,none,low,n,2,"CMS-CGM-Type1-Type2-eligibility-2023,medicare.gov",n,n,qa-coverage,
does-medicare-cover-diabetic-supplies,Does Medicare Cover Diabetic Supplies in 2026?,720,62,1100,2,none,medium,n,2,"medicare.gov,aarp,beyond-type-1",n,n,qa-coverage,
does-medicare-cover-insulin,Does Medicare Cover Insulin in 2026? ($35 Cap),920,82,1500,1,none,medium,n,1,"medicare.gov,cms,kff,IRA-Part-D-insulin-cap",n,n,qa-coverage,
does-medicare-cover-shingles-vaccine,Does Medicare Cover the Shingles Vaccine in 2026? (Part D),680,58,950,2,none,medium,n,2,"IRA-Part-D-vaccine-rule,medicare.gov,cms,aarp",n,n,qa-coverage,
does-medicare-cover-shingrix,Does Medicare Cover Shingrix in 2026?,420,36,620,3,none,low,n,3,"IRA-Part-D-zero-copay,sibling-of-shingles-vaccine",n,n,qa-coverage,
does-medicare-cover-rsv-vaccine,Does Medicare Cover the RSV Vaccine in 2026?,420,36,680,2,none,low,n,3,"CMS-Part-D-IRA-vaccine,Bing-related",n,n,qa-coverage,
does-medicare-cover-covid-vaccine,Does Medicare Cover the COVID Vaccine in 2026?,580,48,920,2,none,medium,n,2,"medicare.gov,cdc,cms",n,n,qa-coverage,
does-medicare-cover-flu-shot,Does Medicare Cover the Flu Shot in 2026?,720,62,1300,1,none,medium,n,2,"medicare.gov/coverage/flu-shots,aarp,cdc",n,n,qa-coverage,"Demoted P1→P2 per critique §7."
does-medicare-cover-cologuard,Does Medicare Cover Cologuard (At-Home Colon Screening) in 2026?,820,72,1200,2,none,low,n,1,"medicare.gov,cologuard,critique-§2-missing-add",n,n,qa-coverage,"NEW per critique §2. Every-3-years for average-risk."
does-medicare-cover-colonoscopy,Does Medicare Cover Colonoscopy Screening in 2026?,920,82,1500,1,none,high,n,1,"medicare.gov/coverage/colonoscopies,aarp,cancer.org",n,n,qa-coverage,
does-medicare-cover-mammograms,Does Medicare Cover Mammograms in 2026?,820,72,1300,1,none,high,n,1,"medicare.gov/coverage/mammograms,aarp,komen",n,n,qa-coverage,
does-medicare-cover-pap-smear,Does Medicare Cover Pap Smears in 2026?,620,52,920,2,none,low,n,1,"medicare.gov,critique-§2-missing-add",n,n,qa-coverage,"NEW per critique §2."
does-medicare-cover-hpv-test,Does Medicare Cover the HPV Test in 2026?,420,36,680,2,none,low,n,1,"medicare.gov,acog,critique-§2-missing-add",n,n,qa-coverage,"NEW per critique §2."
does-medicare-cover-psa-test,Does Medicare Cover PSA Tests in 2026?,580,48,920,2,none,low,n,1,"medicare.gov,zerocancer,critique-§2-missing-add",n,n,qa-coverage,"NEW per critique §2."
does-medicare-cover-prostate-screening,Does Medicare Cover Prostate Cancer Screening in 2026?,520,45,820,2,none,medium,n,2,"medicare.gov,zerocancer,aarp",n,n,qa-coverage,
does-medicare-cover-lung-ct-screening,Does Medicare Cover Lung CT (LDCT) Screening in 2026?,520,45,820,2,none,low,n,1,"medicare.gov,lung.org,cms,critique-§2-missing-add",n,n,qa-coverage,"NEW per critique §2. Eligibility-age expansion 2022."
does-medicare-second-opinion-coverage,Does Medicare Cover a Second Opinion in 2026?,520,45,820,2,none,low,n,1,"medicare.gov,critique-§2-missing-add",n,n,qa-coverage,"NEW per critique §2."
does-medicare-cover-nursing-home,Does Medicare Cover Nursing Home Care in 2026? (100-Day Cap),1300,115,2200,1,none,high,n,1,"medicare.gov/coverage/long-term-care,aarp,ncoa,kff",n,n,qa-coverage,
does-medicare-cover-assisted-living,Does Medicare Cover Assisted Living in 2026?,820,72,1300,2,none,medium,n,2,"aarp,ncoa,medicareadvocacy",n,n,qa-coverage,
does-medicare-cover-home-health,Does Medicare Cover Home Health Care in 2026?,920,82,1400,1,none,high,n,1,"medicare.gov/coverage/home-health-services,aarp,ncoa",n,n,qa-coverage,
does-medicare-cover-in-home-care,Does Medicare Cover In-Home Caregivers in 2026?,620,52,950,2,none,medium,n,2,"aarp,ncoa,medicare.gov",n,n,qa-coverage,
does-medicare-cover-hospice,Does Medicare Cover Hospice Care in 2026?,720,62,1100,1,none,medium,n,1,"medicare.gov,nhpco,aarp",n,n,qa-coverage,
does-medicare-cover-palliative-care,Does Medicare Cover Palliative Care in 2026?,380,32,580,2,none,low,n,2,"medicare.gov,capc,aarp",n,n,qa-coverage,
does-medicare-cover-skilled-nursing,Does Medicare Cover Skilled Nursing Facility Stays in 2026?,720,62,1200,1,none,medium,n,1,"medicare.gov,aarp,kff",n,n,qa-coverage,
does-medicare-cover-dental-implants,Does Medicare Cover Dental Implants in 2026?,720,62,1100,2,none,medium,n,2,"sibling-of-existing-dental,Bing-dental-related-long-tail,aarp,delta-dental",n,n,qa-coverage,
does-medicare-cover-dentures,Does Medicare Cover Dentures in 2026?,580,48,900,2,none,medium,n,2,"aarp,medicareadvocacy.org,humana",n,n,qa-coverage,
does-medicare-cover-root-canals,Does Medicare Cover Root Canals in 2026?,380,32,580,2,none,low,n,2,"medicare.gov,aarp,deltadental",n,n,qa-coverage,
does-medicare-cover-crowns,Does Medicare Cover Dental Crowns in 2026?,320,28,480,2,none,low,n,2,"aarp,humana,deltadental",n,n,qa-coverage,
does-medicare-cover-cpap,Does Medicare Cover CPAP Machines in 2026?,720,62,1100,2,none,medium,n,2,"medicare.gov,aarp,resmed",n,n,qa-coverage,
does-medicare-cover-oxygen,Does Medicare Cover Home Oxygen Therapy in 2026?,420,36,680,2,none,low,n,2,"medicare.gov,aarp,inogen",n,n,qa-coverage,
does-medicare-cover-wheelchairs,Does Medicare Cover Wheelchairs and Power Chairs in 2026?,520,45,820,2,none,medium,n,2,"medicare.gov,aarp",n,n,qa-coverage,
does-medicare-cover-walkers,Does Medicare Cover Walkers and Canes in 2026?,320,28,480,3,none,low,n,3,"medicare.gov,aarp",n,n,qa-coverage,
does-medicare-cover-joint-injections,Does Medicare Cover Knee and Joint Injections in 2026?,420,36,680,3,none,low,n,3,"medicare.gov,aarp",n,n,qa-coverage,
does-medicare-cover-bariatric-surgery,Does Medicare Cover Bariatric Surgery in 2026?,520,45,820,2,none,medium,n,2,"medicare.gov,obesityaction,aarp,CMS-bariatric-NCD",n,n,qa-coverage,
does-medicare-cover-prescription-drugs,Does Original Medicare Cover Prescription Drugs in 2026?,820,72,1300,1,none,medium,n,1,"medicare.gov,aarp,kff",n,n,qa-coverage,
does-medicare-cover-telehealth,Does Medicare Cover Telehealth Visits in 2026?,720,62,1100,1,none,medium,n,1,"medicare.gov,kff,cms,2026-extension-rule",n,n,qa-coverage,
does-medicare-cover-urgent-care,Does Medicare Cover Urgent Care Visits in 2026?,520,45,820,2,none,medium,n,2,"medicare.gov,aarp",n,n,qa-coverage,
does-medicare-cover-er-visits,Does Medicare Cover Emergency Room Visits in 2026?,720,62,1200,1,none,high,n,2,"medicare.gov,aarp",n,n,qa-coverage,"Demoted P1→P2 per critique §7 — head term."
does-medicare-cover-ambulance,Does Medicare Cover Ambulance Rides in 2026?,520,45,820,2,none,medium,n,2,"medicare.gov/coverage/ambulance-services,aarp",n,n,qa-coverage,
does-medicare-cover-transportation,Does Medicare Cover Transportation to Doctor Appointments in 2026?,380,32,580,2,none,low,n,3,"medicare.gov,aarp,modivcare",n,n,qa-coverage,
does-medicare-cover-pre-existing-conditions,Does Medicare Cover Pre-Existing Conditions in 2026?,580,48,920,2,none,medium,n,2,"medicare.gov,kff,aarp",n,n,qa-coverage,
does-medicare-advantage-cover-dental,Does Medicare Advantage Cover Dental in 2026? (Bonus Benefit Breakdown),920,82,1500,1,none,medium,n,1,"Bing-medicare-advantage-100-related,FANOUT-4.3-MA-add-on-shape,critique-§7-long-tail-promote",n,n,qa-coverage,"Promoted per critique §7 — year+MA-fork long-tail."
does-medicare-advantage-cover-vision,Does Medicare Advantage Cover Vision in 2026?,720,62,1200,1,none,medium,n,2,"sibling-of-MA-dental,FANOUT-4.3-MA-add-on-shape",n,n,qa-coverage,
does-medicare-advantage-cover-hearing,Does Medicare Advantage Cover Hearing Aids in 2026?,820,72,1300,1,none,medium,n,1,"Bing-medicare-advantage-hearing-related,FANOUT-4.3-MA-add-on-shape",n,n,qa-coverage,
does-medicare-advantage-cover-gym,Does Medicare Advantage Cover Gym Memberships (SilverSneakers) in 2026?,620,52,950,2,none,medium,n,2,"SilverSneakers-MA-supplemental-benefit,Bing-related,aarp",n,n,qa-coverage,
does-medicare-advantage-cover-meals,Does Medicare Advantage Cover Meal Delivery in 2026?,420,36,620,2,none,low,n,3,"CMS-MA-SSBCI-rule,aarp,humana",n,n,qa-coverage,
does-medicare-advantage-cover-transportation,Does Medicare Advantage Cover Transportation in 2026?,380,32,580,2,none,low,n,3,"CMS-MA-supplemental-benefit-tracker,aarp",n,n,qa-coverage,
does-medicare-advantage-cover-otc,Does Medicare Advantage Cover OTC Benefits in 2026?,420,36,620,2,none,low,n,3,"aarp,humana,uhc",n,n,qa-coverage,
does-medicaid-cover-dental-adults,Does Medicaid Cover Dental for Adults in 2026? (State-by-State),1300,115,1900,2,slight,high,y,1,"CMS-state-Medicaid-dental-tracker,medicaid.gov,kff,critique-§5-busa-overlap-corrected",n,n,qa-coverage,"BUSA overlap corrected none→slight per critique §5. Scales 51x."
does-medicaid-cover-vision,Does Medicaid Cover Vision and Eye Exams in 2026? (State-by-State),720,62,1100,2,slight,medium,y,2,"medicaid.gov,kff,aoa",n,n,qa-coverage,
does-medicaid-cover-hearing-aids,Does Medicaid Cover Hearing Aids for Adults in 2026?,520,45,820,2,slight,medium,y,2,"medicaid.gov,kff,hearingloss.org",n,n,qa-coverage,
does-medicaid-cover-glasses,Does Medicaid Cover Eyeglasses for Adults in 2026?,420,36,620,2,slight,low,y,2,"medicaid.gov,kff",n,n,qa-coverage,
does-medicaid-cover-braces,Does Medicaid Cover Braces / Orthodontics for Kids in 2026?,820,72,1400,2,none,low,n,2,"medicaid.gov,kff,CHIP-EPSDT-rule",n,n,qa-coverage,
does-medicaid-cover-mental-health,Does Medicaid Cover Mental Health Care in 2026?,920,82,1400,1,none,high,n,1,"medicaid.gov,kff,samhsa",n,n,qa-coverage,
does-medicaid-cover-therapy,Does Medicaid Cover Therapy and Counseling in 2026?,820,72,1200,1,none,medium,n,1,"medicaid.gov,nami,samhsa",n,n,qa-coverage,
does-medicaid-cover-autism-aba-therapy,Does Medicaid Cover ABA Therapy for Autism in 2026?,720,62,1100,1,slight,medium,y,1,"medicaid.gov,autismspeaks,cms",n,n,qa-coverage,
does-medicaid-cover-pregnancy,Does Medicaid Cover Pregnancy and Maternity Care in 2026?,820,72,1300,1,none,high,n,1,"medicaid.gov,cms,kff,march-of-dimes",n,n,qa-coverage,
does-medicaid-cover-abortion,Does Medicaid Cover Abortion in 2026? (State-by-State),720,62,1100,1,slight,medium,y,1,"kff,guttmacher,medicaid.gov",n,n,qa-coverage,"State-fork — politically hot 2026 angle."
does-medicaid-cover-birth-control,Does Medicaid Cover Birth Control in 2026?,520,45,820,2,none,medium,n,2,"medicaid.gov,plannedparenthood,kff",n,n,qa-coverage,
does-medicaid-cover-ivf,Does Medicaid Cover IVF / Fertility Treatment in 2026? (State-by-State),580,48,900,2,slight,low,y,2,"medicaid.gov,resolve.org,kff,State-IVF-mandate-tracker",n,n,qa-coverage,"Priority adjudication: B's P2 wins over A's P3 per critique §6.1."
does-medicaid-cover-gender-affirming-care,Does Medicaid Cover Gender-Affirming Care in 2026? (State-by-State),720,62,1100,1,slight,medium,y,1,"medicaid.gov,kff,hrc,movementadvancement",n,n,qa-coverage,"Priority adjudication: B's P1 wins over A's P3 per critique §6.3."
does-medicaid-cover-top-surgery,Does Medicaid Cover Top Surgery in 2026?,420,36,620,2,slight,low,y,2,"medicaid.gov,hrc",n,n,qa-coverage,
does-medicaid-cover-hormone-therapy,Does Medicaid Cover Hormone Replacement Therapy (HRT) in 2026?,420,36,620,2,slight,low,y,2,"medicaid.gov,hrc,planned-parenthood",n,n,qa-coverage,
does-medicaid-cover-weight-loss-surgery,Does Medicaid Cover Bariatric Surgery in 2026?,720,62,1100,2,none,medium,n,2,"medicaid.gov,obesityaction,CMS-bariatric-NCD",n,n,qa-coverage,
does-medicaid-cover-home-care,Does Medicaid Cover In-Home Care (HCBS Waivers) in 2026?,820,72,1300,1,slight,medium,y,1,"medicaid.gov,kff,ncoa,CMS-HCBS-waiver-tracker",n,n,qa-coverage,
does-medicaid-cover-nursing-home,Does Medicaid Cover Nursing Home Care in 2026? (Income/Asset Rules),1400,125,2200,1,slight,medium,y,1,"medicaid.gov,kff,ncoa",n,n,qa-coverage,
does-medicaid-cover-transportation,Does Medicaid Cover Transportation to Medical Appointments (NEMT) in 2026?,420,36,680,2,none,medium,n,2,"medicaid.gov,cms",n,n,qa-coverage,
does-medicaid-cover-prescription-drugs,Does Medicaid Cover Prescription Drugs in 2026?,520,45,820,2,none,medium,n,1,"medicaid.gov,kff,goodrx",n,n,qa-coverage,
does-medicaid-cover-physical-therapy,Does Medicaid Cover Physical Therapy in 2026?,420,36,620,2,slight,low,y,2,"medicaid.gov,apta",n,n,qa-coverage,
does-medicaid-cover-suboxone,Does Medicaid Cover Suboxone / MAT for Opioid Use Disorder in 2026?,520,45,820,3,slight,low,n,3,"medicaid.gov,samhsa-MAT-coverage,sibling-of-rehab",n,n,qa-coverage,
does-medicaid-cover-adhd-medication,Does Medicaid Cover ADHD Medication for Kids/Adults in 2026?,520,45,820,3,none,low,n,3,"medicaid.gov,CMS-EPSDT-rule",n,n,qa-coverage,
does-medicaid-cover-emergency-room,Does Medicaid Cover Emergency Room Visits in 2026?,520,45,820,2,none,medium,n,2,"medicaid.gov,kff",n,n,qa-coverage,
does-medicaid-cover-undocumented-immigrants,Does Medicaid Cover Undocumented Immigrants in 2026? (State Expansion Map),720,62,1100,1,slight,medium,y,1,"kff,medicaid.gov,nilc",n,n,qa-coverage,"State-fork — CA/NY/IL/OR/WA full expansion is 2026 hot button."
does-aca-cover-preexisting,Does ACA Marketplace Insurance Cover Pre-Existing Conditions in 2026?,820,72,1500,1,none,high,n,1,"healthcare.gov,cms,kff",n,n,qa-coverage,
does-aca-cover-pregnancy,Does ACA Marketplace Insurance Cover Pregnancy in 2026?,720,62,1100,1,none,high,n,1,"healthcare.gov,kff,march-of-dimes",n,n,qa-coverage,
does-aca-cover-mental-health,Does ACA Cover Mental Health and Substance Abuse in 2026?,620,52,920,1,none,medium,n,1,"healthcare.gov,kff,samhsa,MHPAEA-parity-rule",n,n,qa-coverage,
does-aca-cover-birth-control,Does ACA Insurance Cover Birth Control / IUDs in 2026?,520,45,820,2,none,medium,n,2,"healthcare.gov,kff,plannedparenthood,Womens-Preventive-Services-rule",n,n,qa-coverage,
does-aca-cover-breast-pumps,Does ACA Insurance Cover Breast Pumps in 2026?,420,36,620,2,none,medium,n,2,"healthcare.gov,kelly-mom,acog",n,n,qa-coverage,
does-aca-cover-lactation-support,Does ACA Insurance Cover Lactation Consultants in 2026?,280,24,420,3,none,low,n,3,"healthcare.gov,kelly-mom",n,n,qa-coverage,
does-aca-cover-preventive-care,Does ACA Insurance Cover Preventive Care 100% in 2026?,720,62,1200,1,none,medium,n,2,"healthcare.gov,cms,kff",n,n,qa-coverage,"Demoted P1→P2 per critique §7 — head term."
does-aca-cover-essential-health-benefits,What Are the 10 ACA Essential Health Benefits in 2026?,520,45,820,1,none,medium,n,2,"healthcare.gov/glossary/essential-health-benefits,kff",n,n,qa-coverage,"Demoted P1→P2 per critique §7 — head term, no policy news."
does-aca-cover-vaccines,Does ACA Insurance Cover Vaccines for Free in 2026?,380,32,580,2,none,low,n,2,"healthcare.gov,cdc",n,n,qa-coverage,
does-aca-cover-dental,Does ACA Marketplace Insurance Cover Dental in 2026?,520,45,820,2,none,medium,n,2,"healthcare.gov,kff,delta-dental",n,n,qa-coverage,
does-aca-cover-vision,Does ACA Marketplace Insurance Cover Vision in 2026?,420,36,620,2,none,medium,n,2,"healthcare.gov,kff",n,n,qa-coverage,
does-aca-cover-acupuncture-2026,Does ACA / Obamacare Cover Acupuncture in 2026? (State-by-State EHB),520,45,820,2,none,low,y,1,"healthcare.gov,state-EHB-benchmark,critique-§2-missing-add",n,n,qa-coverage,"NEW per critique §2. State-fork — EHB varies by state benchmark."
does-aca-cover-chiropractic-2026,Does ACA / Obamacare Cover Chiropractic Care in 2026? (State-by-State EHB),520,45,820,2,none,low,y,1,"healthcare.gov,state-EHB-benchmark,critique-§2-missing-add",n,n,qa-coverage,"NEW per critique §2. State-fork — EHB varies by state benchmark."
medicare-vs-medicaid-coverage,Medicare vs Medicaid: What's the Difference in Coverage in 2026?,1400,125,1900,1,slight,high,n,1,"medicare.gov,medicaid.gov,kff,aarp",n,n,qa-coverage,
medicare-advantage-vs-original-medicare,Medicare Advantage vs Original Medicare: Coverage Differences in 2026,920,82,1500,1,none,high,n,1,"medicare.gov,kff,aarp",n,n,qa-coverage,
medigap-vs-medicare-advantage,Medigap vs Medicare Advantage: Which Covers More in 2026?,820,72,1300,1,none,high,n,1,"medicare.gov,aarp,kff",n,n,qa-coverage,
is-medicare-supplement-worth-it,Is Medicare Supplement (Medigap) Worth It in 2026?,620,52,1100,1,slight,high,n,2,"FANOUT-4.8-MA-vs-Medigap-shape,competitor-landscape-7-NerdWallet,critique-§5-busa-corrected-slight",n,n,qa-coverage,"BUSA overlap corrected none→slight per critique §5."
is-medicare-free,Is Medicare Free in 2026? (Premium Breakdown by Part),920,82,1600,1,none,medium,n,1,"Bing-what-is-medicare-part-b-7243-broad,medicare.gov,critique-§6.10",n,n,qa-coverage,"A wins (B missing). Basic premium-by-Part Q&A is real demand."
is-medicaid-free,Is Medicaid Free in 2026? (Premiums and Copays by State),620,52,1100,1,slight,low,y,2,"medicaid.gov,Bing-medicaid-related",n,n,qa-coverage,
obamacare-still-available-2026,Is ACA / Obamacare Still Available in 2026? (Post-OBBB Changes),2000,178,3200,1,none,medium,n,1,"Bing-obamacare-20909-broad,2025-OBBB-eligibility-changes,critique-§4-bump-to-P1",n,n,qa-coverage,"Demand bumped from 720 to 2000 per critique §4 — OBBB policy news angle."
is-ozempic-covered-by-insurance,Is Ozempic Covered by Insurance in 2026? (Type 2 vs Weight Loss),1200,108,2200,1,none,high,n,1,"Bing-ozempic-100-related-30k-volume,goodrx,kff",n,n,qa-coverage,
is-wegovy-covered-by-insurance,Is Wegovy Covered by Insurance in 2026?,920,82,1700,1,none,medium,n,1,"Bing-wegovy-100-related,kff,goodrx",n,n,qa-coverage,
is-zepbound-covered-by-insurance,Is Zepbound Covered by Insurance in 2026?,720,62,1300,1,none,low,n,2,"GLP-1-class-extension,Bing-related-mounjaro-zepbound",n,n,qa-coverage,
can-i-get-medicare-under-65,Can I Get Medicare Under 65 in 2026? (Disability / ESRD / ALS),920,82,1500,1,none,medium,n,1,"CMS-Medicare-disability-rule,SSA-SSDI-24-month-waiting-period",n,n,qa-coverage,
can-i-have-both-medicare-and-medicaid,Can I Have Both Medicare and Medicaid in 2026? (Dual Eligibility),820,72,1400,1,slight,medium,n,1,"CMS-dual-eligible-tracker,Bing-medicaid-medicare-related,critique-§5-overlap-corrected-slight",n,n,qa-coverage,"BUSA overlap corrected none→slight per critique §5."
can-i-have-medicaid-and-aca,Can You Have Both ACA and Medicaid in 2026?,420,36,680,2,slight,low,n,2,"healthcare.gov,medicaid.gov,critique-§5-corrected-slight",n,n,qa-coverage,"BUSA overlap corrected heavy→slight per critique §5."
can-i-keep-medicaid-after-getting-job,Can I Keep Medicaid After Getting a Job in 2026?,620,52,820,2,heavy,medium,n,2,"BUSA-medicaid-working-overlap-app-intent,Bing-medicaid-working-related",n,y,qa-coverage,"Already-queued in BUSA universe per B (y)."
can-i-get-aca-subsidy-with-medicaid-offer,Can I Get an ACA Subsidy If I Qualify for Medicaid in 2026?,420,36,680,2,none,low,n,2,"Healthcare.gov-Medicaid-Marketplace-overlap-rule",n,n,qa-coverage,
can-i-get-aca-subsidy-with-employer-offer,Can I Get an ACA Subsidy With an Affordable Employer Offer in 2026?,520,45,820,2,none,medium,n,2,"Healthcare.gov-affordability-rule-2026,family-glitch-fix",n,n,qa-coverage,
can-i-buy-aca-outside-open-enrollment,Can You Buy ACA Insurance Outside Open Enrollment in 2026?,720,62,1100,1,heavy,medium,n,1,"healthcare.gov,kff",n,y,qa-coverage,"Already-queued in BUSA universe per B (y)."
can-i-add-spouse-to-medicare,Can I Add My Spouse to Medicare in 2026? (Spoiler: No),420,36,720,2,none,low,n,3,"Medicare.gov-individual-only-rule",n,n,qa-coverage,
can-i-keep-my-doctor-medicare-advantage,Can I Keep My Doctor If I Switch to Medicare Advantage in 2026?,620,52,950,1,none,medium,n,1,"FANOUT-4.3-MA-vs-Original-shape,medicare.gov",n,n,qa-coverage,
can-i-switch-from-medicare-advantage-to-original,Can I Switch From Medicare Advantage Back to Original Medicare in 2026?,720,62,1200,1,none,medium,n,1,"Medicare.gov-MOEP-rule,FANOUT-4.3-MA-vs-Original",n,n,qa-coverage,
can-i-use-goodrx-with-medicare,Can You Use GoodRx With Medicare in 2026?,520,45,820,2,heavy,medium,n,2,"goodrx,medicare.gov",n,y,qa-coverage,"Already-queued in BUSA universe per B (y)."
who-qualifies-for-aca-subsidy,Who Qualifies for ACA Subsidies in 2026? (Income Cliff After 400% FPL),1100,98,1900,1,heavy,medium,n,1,"BUSA-aca-eligibility-overlap-heavy,2026-subsidy-cliff-restored,critique-§5-corrected-heavy",n,n,qa-coverage,"BUSA overlap corrected slight→heavy per critique §5. Skip state forks (BUSA owns those)."
what-counts-as-income-for-medicaid,What Counts as Income for Medicaid in 2026? (MAGI Rules),720,62,1300,1,slight,medium,n,1,"BUSA-magi-overlap-tax-intent,FANOUT-4.4-income-source-includes-table",n,n,qa-coverage,
