topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources
international-digital-nomads,Health Insurance for US Citizens Living Abroad: 2026 Expat + Nomad Guide,,,,,none,medium,n,2,"SafetyWing,CignaGlobal,IMGGlobal,AllianzCare"
contract-workers,Health Insurance for Contract Workers: 2026 W2 vs 1099 Decision Guide,,,,,slight,medium,n,1,"HealthCare.gov,GoodRx,AzHealthInsurance"
part-time-workers,Health Insurance for Part-Time Workers: 2026 Coverage Options When Employer Doesn't Offer,,,,,slight,medium,n,1,"NerdWallet,eHealth,HealthCare.gov"
seasonal-workers,Health Insurance for Seasonal Workers: 2026 Short-Term + ACA Options,,,,,none,low,n,2,"HealthCare.gov,GoodRx"
temp-workers,Health Insurance for Temp Workers and Staffing Agency Employees: 2026 Guide,,,,,none,low,n,3,"HealthCare.gov,NerdWallet"
gig-workers-state,Health Insurance for Gig Workers in [State]: 2026 State Stipend + ACA Options,,,,,slight,medium,y,1,"Stride,CoveredCA(Prop22),HealthCare.gov"
uber-lyft-drivers,Health Insurance for Uber and Lyft Drivers: 2026 Rideshare Coverage Guide,,,,,slight,high,y,1,"Stride,HealthInsurance.org,SoloCovered,CoveredCA,RideshareGuy"
doordash-drivers,Health Insurance for DoorDash Drivers: 2026 Dasher Coverage Guide,,,,,slight,high,y,1,"Stride,DasherCentral,SoloCovered,UnitedNational"
instacart-shoppers,Health Insurance for Instacart Shoppers: 2026 Coverage Options,,,,,slight,medium,y,2,"Stride,SoloCovered"
amazon-flex-drivers,Health Insurance for Amazon Flex Drivers: 2026 Coverage Guide,,,,,none,medium,y,2,"Stride,UnitedNational,SoloCovered"
grubhub-drivers,Health Insurance for Grubhub Drivers: 2026 Coverage Guide,,,,,none,low,y,2,"Stride,SoloCovered"
shipt-shoppers,Health Insurance for Shipt Shoppers: 2026 Coverage Guide,,,,,none,low,y,3,"Stride,SoloCovered"
postmates-drivers,Health Insurance for Postmates Drivers: 2026 Coverage Guide,,,,,none,low,y,3,"Stride,SoloCovered"
taskrabbit-taskers,Health Insurance for TaskRabbit Taskers: 2026 Coverage Guide,,,,,none,low,n,3,"Stride,SoloCovered"
etsy-sellers,Health Insurance for Etsy Sellers: 2026 Self-Employed Seller Guide,,,,,none,low,n,2,"Catch,HSAforAmerica,FreelancersUnion"
upwork-freelancers,Health Insurance for Upwork Freelancers: 2026 Coverage Guide,,,,,none,low,n,2,"Catch,FreelancersUnion,Worksuite"
fiverr-freelancers,Health Insurance for Fiverr Freelancers: 2026 Coverage Guide,,,,,none,low,n,2,"Catch,FreelancersUnion"
airbnb-hosts,Health Insurance for Airbnb Hosts and Short-Term Rental Operators: 2026 Guide,,,,,none,low,n,2,"HSAforAmerica,Stride"
twitch-streamers,Health Insurance for Twitch Streamers and Content Creators: 2026 Guide,,,,,none,low,n,2,"HealthBasedHealthcare,SoloCovered"
youtube-creators,Health Insurance for YouTube Creators: 2026 Content Creator Coverage Guide,,,,,none,low,n,2,"HealthBasedHealthcare,SoloCovered"
onlyfans-creators,Health Insurance for OnlyFans Creators: 2026 Self-Employed Adult Creator Guide,,,,,none,low,n,2,"HealthBasedHealthcare,SoloCovered"
influencers-content-creators,Health Insurance for Influencers and Content Creators: 2026 PPO + Marketplace Guide,,,,,none,medium,n,1,"HealthBasedHealthcare,SoloCovered,Catch"
podcasters,Health Insurance for Independent Podcasters: 2026 Coverage Guide,,,,,none,low,n,3,"SoloCovered,Catch"
realtors,Health Insurance for Real Estate Agents and Realtors: 2026 1099 Broker Guide,,,,,none,medium,y,1,"RKAInsurance,HSAforAmerica,NARRPVB"
truckers,Health Insurance for Independent Truckers: 2026 Owner-Operator Coverage Guide,,,,,none,medium,y,1,"TruckersHealthcare,TruckersNetwork,Stride"
farmers,Health Insurance for Farmers: 2026 ACA + Farm Bureau Plans Guide,,,,,none,medium,y,1,"KFFHealthNews,USDA-ERS,FarmBureau,NPR,HealthInsurance.org"
ranchers,Health Insurance for Ranchers: 2026 Self-Employed Agricultural Worker Guide,,,,,none,low,y,2,"FarmBureau,HealthInsurance.org,USDA"
construction-workers,Health Insurance for Self-Employed Construction Workers: 2026 Guide,,,,,none,low,n,2,"SmartandSimple,HSAforAmerica"
electricians-plumbers-carpenters,Health Insurance for Electricians Plumbers and Carpenters (Self-Employed Trades): 2026 Guide,,,,,none,low,n,2,"SmartandSimple,Remarcable"
musicians,Health Insurance for Musicians: 2026 Independent Artist Coverage Guide,,,,,none,low,n,2,"EntertainmentCommunityFund,SoloCovered,SmartandSimple,SpotlightAdvisory"
actors,Health Insurance for Actors: 2026 SAG-AFTRA + Marketplace Coverage Guide,,,,,none,low,n,2,"EntertainmentCommunityFund,SAG-AFTRA,HollywoodReporter"
artists,Health Insurance for Independent Artists: 2026 Coverage Guide,,,,,none,medium,n,2,"EntertainmentCommunityFund,AmericansForTheArts,SpotlightAdvisory,VLAA"
writers-authors,Health Insurance for Writers and Authors: 2026 Independent Writer Guide,,,,,none,low,n,2,"EntertainmentCommunityFund,FreelancersUnion,WGA"
dancers,Health Insurance for Independent Dancers: 2026 Coverage Guide,,,,,none,low,n,3,"EntertainmentCommunityFund"
traveling-nurses,Health Insurance for Traveling Nurses: 2026 Multi-State Coverage Guide,,,,,none,low,y,2,"SmartandSimple,HSAforAmerica"
traveling-healthcare-workers,Health Insurance for Traveling Healthcare Workers: 2026 Guide,,,,,none,low,y,3,"SmartandSimple"
missionaries,Health Insurance for Missionaries: 2026 International + US Coverage Guide,,,,,none,low,n,3,"SamaritanMinistries,Medi-Share,IMGGlobal"
clergy-pastors,Health Insurance for Clergy and Pastors: 2026 Self-Employed Minister Guide,,,,,none,low,n,3,"HealthInsurance.org,SamaritanMinistries"
fishermen,Health Insurance for Commercial Fishermen: 2026 Self-Employed Coverage Guide,,,,,none,low,y,3,"HealthInsurance.org,USDA"
truckdrivers-otr,Health Insurance for OTR Truck Drivers: 2026 Long-Haul Coverage Options,,,,,none,low,y,3,"TruckersNetwork,TruckersHealthcare"
college-students,Health Insurance for College Students: 2026 Student Plan vs Parents Plan Guide,,,,,slight,medium,n,1,"HealthCare.gov,NerdWallet,UHCStudentResources,BUSA(slight-SNAP-angle)"
grad-students,Health Insurance for Graduate Students: 2026 University + Marketplace Coverage Guide,,,,,slight,low,n,2,"HealthCare.gov,NerdWallet,GradResources,BUSA(slight)"
recent-grads,Health Insurance for Recent College Grads: 2026 Aging Off Parents Plan Guide,,,,,none,medium,n,1,"HealthCare.gov,NerdWallet,eHealth"
twentysomethings,Health Insurance for People in Their 20s: 2026 Catastrophic + Bronze Plan Guide,,,,,none,medium,n,2,"HealthCare.gov,GoodRx,NerdWallet"
thirtysomethings,Health Insurance for People in Their 30s: 2026 ACA Plan Strategy Guide,,,,,none,low,n,3,"NerdWallet,HealthCare.gov"
fortysomethings,Health Insurance for People in Their 40s: 2026 Plan + HSA Strategy Guide,,,,,none,low,n,3,"NerdWallet,HSAforAmerica"
fiftysomethings,Health Insurance for People in Their 50s: 2026 Pre-Medicare Coverage Guide,,,,,none,medium,n,2,"NerdWallet,MoneyGeek,HSAforAmerica"
sixtysomethings-pre-medicare,Health Insurance for People in Their Early 60s (Pre-65): 2026 Bridge to Medicare Guide,,,,,none,medium,n,1,"MoneyGeek,NerdWallet,HSAforAmerica"
early-retirees,Health Insurance for Early Retirees: 2026 Pre-Medicare Coverage Bridge Guide,,,,,none,high,n,1,"MoneyGeek,NerdWallet,HSAforAmerica,FireMovementBlogs"
retirees-medicare-age,Health Insurance for Retirees at Medicare Age: 2026 Part B + Supplement Guide,,,,,slight,high,n,2,"Medicare.gov,NerdWallet,KFF"
seniors-over-65,Health Insurance for Seniors Over 65: 2026 Medicare + Medigap Decision Guide,,,,,slight,high,n,2,"Medicare.gov,NerdWallet,KFF"
teenagers,Health Insurance for Teenagers: 2026 Parent Plan + CHIP Eligibility Guide,,,,,slight,low,n,2,"HealthCare.gov,KFF,BUSA(slight-CHIP-angle)"
parents-of-young-kids,Health Insurance for Parents of Young Children: 2026 Family Plan Guide,,,,,none,medium,n,1,"HealthCare.gov,KFF,eHealth"
single-parents,Health Insurance for Single Parents: 2026 Coverage + CHIP Eligibility Guide,,,,,slight,medium,n,1,"WealthySingleMommy,eHealth,Anthem,Lively,BUSA(slight)"
single-moms,Health Insurance for Single Moms: 2026 Subsidy + Medicaid Eligibility Guide,,,,,slight,high,n,1,"WealthySingleMommy,SingleMomsSociety,Apollo,Anthem"
single-dads,Health Insurance for Single Dads: 2026 Coverage Guide,,,,,none,low,n,2,"WealthySingleMommy(repurposed),eHealth"
newly-married,Health Insurance for Newly Married Couples: 2026 Joint Plan + SEP Guide,,,,,none,medium,n,1,"HSAforAmerica,HealthCare.gov,eHealth"
married-couples,Health Insurance for Married Couples: 2026 Joint vs Separate Plan Decision,,,,,none,medium,n,2,"HSAforAmerica,Anthem,HealthCare.gov"
families-of-4-plus,Health Insurance for Families of 4 or More: 2026 Family Plan Cost Guide,,,,,slight,medium,n,1,"HSAforAmerica,Venteur,KFF,BUSA(slight-large-family)"
blended-families,Health Insurance for Blended Families: 2026 Step-Parent + Custody Coverage Guide,,,,,none,low,n,2,"eHealth,HealthInsurance.org"
divorced,Health Insurance After Divorce: 2026 COBRA + Marketplace SEP Guide,,,,,slight,medium,n,1,"HealthCare.gov,HealthInsurance.org,BUSA(slight)"
unemployed,Health Insurance When Unemployed: 2026 COBRA vs Marketplace vs Medicaid Guide,,,,,slight,high,n,1,"HealthCare.gov,NerdWallet,KFF,BUSA(slight)"
between-jobs,Health Insurance Between Jobs: 2026 COBRA + Short-Term + Marketplace Decision Guide,,,,,slight,high,n,1,"HealthCare.gov,NerdWallet,eHealth"
just-laid-off,Health Insurance After Being Laid Off: 2026 60-Day SEP + COBRA Guide,,,,,slight,high,n,1,"HealthCare.gov,DOL,NerdWallet"
fired-from-job,Health Insurance After Being Fired: 2026 Coverage Continuation Guide,,,,,none,medium,n,2,"HealthCare.gov,DOL"
veterans,Health Insurance for Veterans: 2026 VA + TRICARE + ACA Coverage Guide,,,,,slight,high,n,1,"VA.gov,Military.com,AmericanDiabetes,AmericanCancerSociety,BUSA(slight)"
military-spouses,Health Insurance for Military Spouses: 2026 TRICARE + ACA Options,,,,,slight,medium,n,2,"VA.gov,TRICARE,Military.com,BUSA(slight)"
active-military,Health Insurance for Active Duty Military: 2026 TRICARE Coverage Guide,,,,,slight,low,n,3,"TRICARE,Military.com"
national-guard-reservists,Health Insurance for National Guard and Reservists: 2026 TRICARE Reserve Select Guide,,,,,none,low,n,3,"TRICARE,Military.com"
disabled-ssdi,Health Insurance for SSDI Recipients: 2026 Medicare 24-Month Wait + Marketplace Guide,,,,,slight,medium,n,1,"SSA.gov,Medicare.gov,KFF,BUSA(slight)"
disabled-ssi,Health Insurance for SSI Recipients: 2026 Medicaid Automatic Enrollment Guide,,,,,slight,medium,n,1,"SSA.gov,Medicaid.gov,KFF,BUSA(slight)"
people-with-disabilities,Health Insurance for People with Disabilities: 2026 ACA Pre-Existing Condition Protections,,,,,slight,medium,n,1,"KFF,HealthCare.gov,DisabilityRights"
chronic-disease-patients,Health Insurance for People with Chronic Conditions: 2026 Plan Selection Guide,,,,,none,medium,n,1,"GoodRx,NerdWallet,KFF"
diabetes-patients,Health Insurance for People with Diabetes: 2026 Plan + Rx Coverage Guide,,,,,none,medium,n,1,"AmericanDiabetes,GoodRx,HealthInsurance.org"
heart-disease-patients,Health Insurance for People with Heart Disease: 2026 Plan Selection Guide,,,,,none,low,n,2,"AmericanHeartAssoc,GoodRx"
cancer-survivors,Health Insurance for Cancer Survivors: 2026 ACA Protections + Plan Selection,,,,,none,low,n,2,"AmericanCancerSociety,KFF"
breast-cancer-survivors,Health Insurance for Breast Cancer Survivors: 2026 Coverage Guide,,,,,none,low,n,3,"AmericanCancerSociety,KomenFoundation"
ms-patients,Health Insurance for People with Multiple Sclerosis: 2026 Coverage Guide,,,,,none,low,n,3,"NationalMSSociety,KFF"
crohns-ibd-patients,Health Insurance for People with Crohn's Disease and IBD: 2026 Coverage Guide,,,,,none,low,n,3,"CrohnsColitisFoundation,KFF"
mental-health-patients,Health Insurance for People with Mental Health Conditions: 2026 Parity Act + Coverage Guide,,,,,none,medium,n,2,"NAMI,KFF,HealthCare.gov"
addiction-recovery,Health Insurance for People in Addiction Recovery: 2026 SUD Coverage Guide,,,,,none,low,n,2,"SAMHSA,KFF"
low-income-workers,Health Insurance for Low-Income Workers: 2026 Medicaid + Subsidy Eligibility Guide,,,,,heavy,medium,n,2,"KFF,HealthCare.gov,BUSA(heavy)"
immigrants-green-card,Health Insurance for Lawfully Present Immigrants: 2026 Marketplace + Medicaid Guide,,,,,slight,medium,n,1,"HealthCare.gov,CommonwealthFund,KFF,NILC"
daca-recipients,Health Insurance for DACA Recipients: 2026 State-by-State Coverage Guide,,,,,none,medium,y,1,"CoverHealthCA,CommonwealthFund,NILC"
undocumented-immigrants,Health Insurance Options for Undocumented Immigrants: 2026 State-by-State Guide,,,,,slight,medium,y,1,"HealthInsurance.org,DHCS,NILC,CommonwealthFund"
refugees-asylees,Health Insurance for Refugees and Asylees: 2026 Marketplace Eligibility Guide,,,,,none,low,n,2,"HealthCare.gov,NILC,Commonwealth"
mixed-status-families,Health Insurance for Mixed-Status Families: 2026 Coverage Guide,,,,,none,low,n,2,"NILC,HealthCare.gov,KFF"
lgbtq,Health Insurance for LGBTQ+ Individuals: 2026 Coverage + Gender-Affirming Care Guide,,,,,none,medium,n,1,"HRC,OutCare,KFF"
trans-non-binary,Health Insurance for Trans and Non-Binary Individuals: 2026 Gender-Affirming Coverage Guide,,,,,none,medium,n,1,"HRC,OutCare,KFF,TransEquality"
pregnant,Health Insurance for Pregnant Women: 2026 Marketplace SEP + Medicaid Pregnancy Coverage,,,,,slight,medium,n,1,"HealthCare.gov,Medicaid.gov,KFF,BUSA(slight)"
new-parents,Health Insurance for New Parents: 2026 Newborn Coverage + SEP Guide,,,,,slight,medium,n,1,"HealthCare.gov,KFF,eHealth"
adopting-parents,Health Insurance for Adoptive Parents: 2026 Newborn + Adoption SEP Guide,,,,,none,low,n,2,"HealthCare.gov,AdoptionNetwork"
foster-parents,Health Insurance for Foster Parents and Foster Youth: 2026 Coverage Guide,,,,,none,low,n,2,"HealthCare.gov,KFF,ChildWelfare"
foster-youth-aging-out,Health Insurance for Foster Youth Aging Out: 2026 Medicaid to Age 26 Guide,,,,,none,low,n,2,"Medicaid.gov,Casey,JimCaseyYouth"
stay-at-home-parents,Health Insurance for Stay-at-Home Parents: 2026 Spouse Plan vs Marketplace Guide,,,,,none,low,n,2,"SingleMomsSociety,Anthem,HealthCare.gov"
caregivers,Health Insurance for Family Caregivers: 2026 Coverage Guide,,,,,slight,low,n,2,"AARP,Caregiving.org,KFF,BUSA(slight)"
people-with-pre-existing-conditions,Health Insurance for People with Pre-Existing Conditions: 2026 ACA Guarantee Guide,,,,,none,medium,n,1,"HealthCare.gov,KFF,CMS"
incarcerated-reentry,Health Insurance for People Reentering Society After Incarceration: 2026 Medicaid Reentry Guide,,,,,none,low,y,2,"KFF,Medicaid.gov,VeraInstitute"
homeless,Health Insurance for People Experiencing Homelessness: 2026 Medicaid + Marketplace Guide,,,,,slight,low,n,2,"HRSA,NationalCoalitionHomeless,KFF"
domestic-violence-survivors,Health Insurance for Domestic Violence Survivors: 2026 SEP + Coverage Guide,,,,,none,low,n,2,"HealthCare.gov,NCADV"
widows-widowers,Health Insurance for Widows and Widowers: 2026 Survivor Coverage + SEP Guide,,,,,none,low,n,2,"HealthCare.gov,SSA.gov"
native-americans,Health Insurance for Native Americans and Alaska Natives: 2026 IHS + Marketplace Guide,,,,,none,low,n,1,"IHS.gov,HealthCare.gov,KFF"
rural-residents,Health Insurance for Rural Residents: 2026 Plan Availability + Cost Guide,,,,,none,low,y,2,"KFF,RuralHealthInfo,HealthCare.gov"
urban-low-income,Health Insurance for Urban Low-Income Workers: 2026 Subsidy + Medicaid Guide,,,,,heavy,low,n,3,"KFF,HealthCare.gov,BUSA(heavy)"
working-poor,Health Insurance for the Working Poor: 2026 Subsidy + Medicaid Gap Guide,,,,,heavy,low,n,3,"KFF,HealthCare.gov,BUSA(heavy)"
medicaid-gap-residents,Health Insurance for People in the Medicaid Coverage Gap: 2026 State-by-State Guide,,,,,slight,medium,y,1,"KFF,HealthCare.gov,CBPP"
abp-aboveallcoverage-cliff,Health Insurance Above the Subsidy Cliff (400% FPL+): 2026 Post-ARPA Strategy,,,,,none,low,n,1,"KFF,HealthInsurance.org,HSAforAmerica"
small-business-1-50-employees,Health Insurance for Small Businesses (1-50 Employees): 2026 SHOP + Individual Coverage HRA Guide,,,,,slight,medium,n,2,"SHRM,HSAforAmerica,HealthCare.gov"
small-business-under-25-employees,Health Insurance for Businesses Under 25 Employees: 2026 Tax Credit + SHOP Guide,,,,,none,low,n,2,"HealthCare.gov,SHRM,IRS"
nonprofit-employees,Health Insurance for Nonprofit Employees: 2026 Coverage Guide,,,,,none,low,n,3,"NCN,SHRM"
church-employees,Health Insurance for Church Employees and Clergy: 2026 Coverage Guide,,,,,none,low,n,3,"GuideStone,Concordia"
gig-workers-uber-lyft-california,Health Insurance for Uber and Lyft Drivers in California: 2026 Prop 22 Stipend Guide,,,,,slight,medium,y,1,"CoveredCA,Stride,RideshareGuy,CDInsurance"
gig-workers-uber-lyft-newyork,Health Insurance for Rideshare Drivers in New York: 2026 NY State of Health Guide,,,,,none,low,y,2,"NYStateofHealth,Stride"
realtors-state-license,Health Insurance for Real Estate Agents in [State]: 2026 NAR + Brokerage Plan Guide,,,,,none,low,y,2,"NAR,RKAInsurance,HSAforAmerica"
truckers-state-dot,Health Insurance for Truckers Based in [State]: 2026 Multi-State Coverage Guide,,,,,none,low,y,3,"TruckersHealthcare,TruckersNetwork"
farmers-state-bureau,Health Insurance for Farmers in [State]: 2026 Farm Bureau + ACA Plans,,,,,none,low,y,2,"FarmBureau,USDA-ERS,KFFHealthNews"
miscarriage-pregnancy-loss,Health Insurance After Miscarriage or Pregnancy Loss: 2026 Mental Health + Coverage Guide,,,,,none,low,n,3,"HealthCare.gov,March of Dimes"
pcos-endometriosis,Health Insurance for People with PCOS or Endometriosis: 2026 Coverage Guide,,,,,none,low,n,3,"PCOSAwareness,EndometriosisFoundation,KFF"
autoimmune-conditions,Health Insurance for People with Autoimmune Conditions: 2026 Specialty Drug Coverage Guide,,,,,none,low,n,3,"AutoimmuneAssoc,GoodRx,KFF"
hiv-positive,Health Insurance for People Living with HIV: 2026 ADAP + Marketplace Guide,,,,,none,low,n,2,"HIV.gov,KFF,HRSA"
hepatitis-c-patients,Health Insurance for People with Hepatitis C: 2026 Treatment Coverage Guide,,,,,none,low,n,3,"CDC,HepatitisC.net,KFF"
seniors-on-fixed-income,Health Insurance for Seniors on Fixed Income: 2026 Medicare + Extra Help Guide,,,,,slight,medium,n,2,"Medicare.gov,SSA.gov,KFF,BUSA(slight)"
dual-eligibles,Health Insurance for Dual-Eligible (Medicare + Medicaid) Beneficiaries: 2026 D-SNP Guide,,,,,slight,medium,n,1,"CMS,KFF,SNAPlan,BUSA(slight)"
new-immigrants-five-year-bar,Health Insurance for New Immigrants Under the 5-Year Bar: 2026 Coverage Options Guide,,,,,none,low,n,2,"HealthCare.gov,NILC,KFF"
veterans-100-percent-disabled,Health Insurance for 100% Disabled Veterans and Spouses: 2026 CHAMPVA Guide,,,,,slight,low,n,2,"VA.gov,HillAndPonton,CHAMPVA"
veterans-non-service-connected,Health Insurance for Non-Service-Connected Veterans: 2026 VA Priority Group Guide,,,,,none,low,n,2,"VA.gov,Military.com"
job-changers-cobra,Health Insurance When Changing Jobs: 2026 COBRA vs Marketplace Decision Guide,,,,,slight,medium,n,1,"HealthCare.gov,DOL,NerdWallet"
returning-to-work,Health Insurance When Returning to Work After Leave: 2026 Coverage Resumption Guide,,,,,none,low,n,3,"HealthCare.gov,DOL"
teachers-summer-coverage,Health Insurance for Teachers During Summer: 2026 Continuation Guide,,,,,none,low,n,3,"NEA,AFT"
adjunct-faculty,Health Insurance for Adjunct Faculty and Contingent Academic Workers: 2026 Guide,,,,,none,low,n,3,"AAUP,NEA"
travel-bloggers-vanlife,Health Insurance for Van-Lifers and Full-Time Travelers (US Based): 2026 Multi-State Guide,,,,,none,low,y,3,"SafetyWing,HealthPlusLife"
expats-returning-us,Health Insurance for Americans Returning from Abroad: 2026 Re-enrollment Guide,,,,,none,low,n,3,"HealthCare.gov,SafetyWing"
multi-state-workers,Health Insurance for People Working in Multiple States: 2026 Network + Plan Selection Guide,,,,,none,low,y,2,"Cigna,Anthem,HealthCare.gov"
