topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,subtype,notes
state-allkids-income-limits,Illinois AllKids Income Limits 2026 (state-brand variant for kids),420,35,260,3,none,low,y,3,"FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/illinois (kids variant)."
state-chp-plus-income-limits,Colorado CHP+ Income Limits 2026 (CHIP variant),380,32,240,3,none,low,y,3,"FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute consideration: CHIP brand. May belong under separate /chip-income-limits/[state] factory (Jacob decision); deferred."
state-ohp-income-limits,Oregon Health Plan (OHP) Income Limits 2026 (state-brand variant),520,42,320,2,slight,low,y,2,"FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/oregon."
state-hip-income-limits,Indiana HIP (Healthy Indiana Plan) Income Limits 2026,560,46,360,2,slight,low,y,2,"Bing-indiana-medicaid-37102-broad,FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/indiana."
state-nj-familycare-income-limits,New Jersey FamilyCare Income Limits 2026 (state-brand variant),480,40,300,2,slight,low,y,2,"FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/new-jersey."
state-medicaid-family-of-4,[State] Medicaid Income Limit for a Family of 4 in 2026 (scales 51x),1800,160,1600,1,slight,low,y,1,"Bing-FANOUT-real-Bing-ohio-medicaid-income-limit-for-a-family-of-4,FANOUT-4.4-household-size",n,n,qa-state-eligibility,"Reroute to Track D. Family-of-4 is a household-size facet of the income-limits factory page (per FANOUT §4.4)."
medicaid-eligibility-alabama,Do I Qualify for Alabama Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"medicaid.alabama.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/alabama."
medicaid-eligibility-alaska,Do I Qualify for Alaska Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"alaska.gov/dhss,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/alaska."
medicaid-eligibility-arizona,Do I Qualify for Arizona AHCCCS Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"azahcccs.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/arizona. AHCCCS brand variant."
medicaid-eligibility-arkansas,Do I Qualify for Arkansas Medicaid (ARHOME) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"humanservices.arkansas.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/arkansas. ARHOME brand variant."
medicaid-eligibility-california,Do I Qualify for Medi-Cal in 2026? Income Limits & Rules,,,,,heavy,high,y,1,"dhcs.ca.gov,coveredca,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/california. Medi-Cal brand variant."
medicaid-eligibility-colorado,Do I Qualify for Health First Colorado Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"hcpf.colorado.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/colorado."
medicaid-eligibility-connecticut,Do I Qualify for HUSKY Health (CT Medicaid) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"portal.ct.gov/dss,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/connecticut. HUSKY brand variant."
medicaid-eligibility-delaware,Do I Qualify for Delaware Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"dhss.delaware.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/delaware."
medicaid-eligibility-dc,Do I Qualify for DC Medicaid in 2026? Income Limits & Rules,,,,,slight,low,y,1,"dhcf.dc.gov,kff",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/dc. 51st jurisdiction."
medicaid-eligibility-florida,Do I Qualify for Florida Medicaid in 2026? Income Limits & Rules,,,,,heavy,high,y,1,"ahca.myflorida.com,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/florida."
medicaid-eligibility-georgia,Do I Qualify for Georgia Medicaid (Pathways) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"medicaid.georgia.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/georgia. Pathways brand variant."
medicaid-eligibility-hawaii,Do I Qualify for Hawaii Med-QUEST Medicaid in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"medquest.hawaii.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/hawaii. Med-QUEST brand variant."
medicaid-eligibility-idaho,Do I Qualify for Idaho Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"healthandwelfare.idaho.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/idaho."
medicaid-eligibility-illinois,Do I Qualify for Illinois Medicaid (HFS) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"hfs.illinois.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/illinois."
medicaid-eligibility-indiana,Do I Qualify for Indiana Medicaid (HIP/Healthy Indiana Plan) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"in.gov/fssa,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/indiana. HIP brand variant."
medicaid-eligibility-iowa,Do I Qualify for Iowa Medicaid (IA Health Link) in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"hhs.iowa.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/iowa."
medicaid-eligibility-kansas,Do I Qualify for Kansas Medicaid (KanCare) in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"kancare.ks.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/kansas. KanCare brand variant."
medicaid-eligibility-kentucky,Do I Qualify for Kentucky Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"chfs.ky.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/kentucky."
medicaid-eligibility-louisiana,Do I Qualify for Louisiana Medicaid (Healthy Louisiana) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"ldh.la.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/louisiana."
medicaid-eligibility-maine,Do I Qualify for MaineCare in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"maine.gov/dhhs,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/maine. MaineCare brand variant."
medicaid-eligibility-maryland,Do I Qualify for Maryland Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"health.maryland.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/maryland."
medicaid-eligibility-massachusetts,Do I Qualify for MassHealth in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"mass.gov/masshealth,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/massachusetts. MassHealth brand variant."
medicaid-eligibility-michigan,Do I Qualify for Michigan Medicaid (Healthy Michigan) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"michigan.gov/mdhhs,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/michigan."
medicaid-eligibility-minnesota,Do I Qualify for Minnesota Medical Assistance in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"mn.gov/dhs,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/minnesota."
medicaid-eligibility-mississippi,Do I Qualify for Mississippi Medicaid in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"medicaid.ms.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/mississippi."
medicaid-eligibility-missouri,Do I Qualify for MO HealthNet (Missouri Medicaid) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"dss.mo.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/missouri. MO HealthNet brand variant."
medicaid-eligibility-montana,Do I Qualify for Montana Medicaid in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"dphhs.mt.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/montana."
medicaid-eligibility-nebraska,Do I Qualify for Nebraska Medicaid (Heritage Health) in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"dhhs.ne.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/nebraska."
medicaid-eligibility-nevada,Do I Qualify for Nevada Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"dhcfp.nv.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/nevada."
medicaid-eligibility-new-hampshire,Do I Qualify for New Hampshire Medicaid (Granite Advantage) in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"dhhs.nh.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/new-hampshire."
medicaid-eligibility-new-jersey,Do I Qualify for NJ FamilyCare (NJ Medicaid) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"njfamilycare.org,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/new-jersey. NJ FamilyCare brand variant."
medicaid-eligibility-new-mexico,Do I Qualify for New Mexico Medicaid (Centennial Care) in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"hsd.state.nm.us,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/new-mexico."
medicaid-eligibility-new-york,Do I Qualify for New York Medicaid in 2026? Income Limits & Rules,,,,,heavy,high,y,1,"health.ny.gov,nystateofhealth,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/new-york."
medicaid-eligibility-north-carolina,Do I Qualify for NC Medicaid (Expanded 2026) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"medicaid.ncdhhs.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/north-carolina. NC expansion is 2026 news angle."
medicaid-eligibility-north-dakota,Do I Qualify for North Dakota Medicaid in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"hhs.nd.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/north-dakota."
medicaid-eligibility-ohio,Do I Qualify for Ohio Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"medicaid.ohio.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/ohio."
medicaid-eligibility-oklahoma,Do I Qualify for SoonerCare (Oklahoma Medicaid) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"oklahoma.gov/ohca,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/oklahoma. SoonerCare brand variant."
medicaid-eligibility-oregon,Do I Qualify for Oregon Health Plan (OHP) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"oregon.gov/oha,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/oregon. OHP brand variant."
medicaid-eligibility-pennsylvania,Do I Qualify for Pennsylvania Medical Assistance in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"dhs.pa.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/pennsylvania."
medicaid-eligibility-rhode-island,Do I Qualify for RIte Care (Rhode Island Medicaid) in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"eohhs.ri.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/rhode-island. RIte Care brand variant."
medicaid-eligibility-south-carolina,Do I Qualify for Healthy Connections (SC Medicaid) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"scdhhs.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/south-carolina."
medicaid-eligibility-south-dakota,Do I Qualify for South Dakota Medicaid (Expanded 2026) in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"dss.sd.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/south-dakota. SD expansion is 2026 news angle."
medicaid-eligibility-tennessee,Do I Qualify for TennCare (Tennessee Medicaid) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"tn.gov/tenncare,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/tennessee. TennCare brand variant."
medicaid-eligibility-texas,Do I Qualify for Texas Medicaid in 2026? Income Limits & Rules,,,,,heavy,high,y,1,"hhs.texas.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/texas."
medicaid-eligibility-utah,Do I Qualify for Utah Medicaid in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"medicaid.utah.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/utah."
medicaid-eligibility-vermont,Do I Qualify for Vermont Medicaid (Green Mountain Care) in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"dvha.vermont.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/vermont."
medicaid-eligibility-virginia,Do I Qualify for Virginia Medicaid (Cardinal Care) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"dmas.virginia.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/virginia. Cardinal Care brand variant."
medicaid-eligibility-washington,Do I Qualify for Apple Health (Washington Medicaid) in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"hca.wa.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/washington. Apple Health brand variant."
medicaid-eligibility-west-virginia,Do I Qualify for West Virginia Medicaid in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"dhhr.wv.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/west-virginia."
medicaid-eligibility-wisconsin,Do I Qualify for Wisconsin BadgerCare Plus in 2026? Income Limits & Rules,,,,,heavy,medium,y,1,"dhs.wisconsin.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/wisconsin. BadgerCare brand variant."
medicaid-eligibility-wyoming,Do I Qualify for Wyoming Medicaid in 2026? Income Limits & Rules,,,,,heavy,low,y,1,"health.wyo.gov,kff",n,y,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/wyoming."
