topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,notes
rybelsus-cost,Rybelsus Cost in 2026: Oral Semaglutide Without Insurance,490,55,8100,N/A,none,high,n,2,bing|clincalc|goodrx-catalog,Oral GLP-1; rybelsus has 224k cost-intent broad volume across related queries
saxenda-cost,Saxenda Cost in 2026: Liraglutide Generic Status and Wegovy Alternatives,310,19,5400,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,Older GLP-1 for weight loss; ceding to Wegovy/Zepbound — still real demand
victoza-cost,Victoza Cost in 2026: Liraglutide Generic Available,280,5,3600,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,Generic liraglutide approved 2024; Victoza-as-generic angle
humira-cost,Humira Cost in 2026: Biosimilars Adalimumab and How to Switch,640,26,18100,N/A,none,high,n,2,bing|clincalc|goodrx-catalog,"Biosimilar wave (Cyltezo, Hyrimoz, Amjevita, Yuflyma) — switching guide angle"
enbrel-cost,Enbrel Cost in 2026: Etanercept Biosimilar Timeline,420,24,8100,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,Biosimilars delayed by patent litigation
dupixent-cost,"Dupixent Cost in 2026: Copay Card, Patient Assistance, Step Therapy",580,99,12100,N/A,none,high,n,2,bing|clincalc|goodrx-catalog,Specialty drug; dupixent copay card broad=5.9k
skyrizi-cost,Skyrizi Cost in 2026: AbbVie Copay Card and Patient Assistance,420,15,5400,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,Stelara competitor; AbbVie psoriasis franchise
tremfya-cost,Tremfya Cost in 2026: J&J Copay Card and Pricing,360,12,4400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,Psoriasis biologic
cosentyx-cost,Cosentyx Cost in 2026: Novartis Pricing and Patient Assistance,320,10,5400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,Psoriasis/AS biologic
biktarvy-cost,Biktarvy Cost in 2026: HIV Treatment Copay Card and Ready-Set-PrEP,290,11,8100,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,HIV combo therapy; Ready-Set-PrEP federal program angle
trelegy-cost,Trelegy Ellipta Cost in 2026: COPD and Asthma Triple Therapy Pricing,460,18,8100,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,Top COPD inhaler; 80k cost-intent broad volume across related
repatha-cost,Repatha Cost in 2026: PCSK9 Inhibitor Without Insurance and Amgen Assistance,440,70,5400,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,Specialty lipid drug; price-drop strategy 2018 lowered list-price
praluent-cost,Praluent Cost in 2026: PCSK9 Inhibitor Pricing and Coverage,180,4,1600,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,Repatha competitor; weaker brand pull
vyvanse-cost,Vyvanse Cost in 2026: Generic Lisdexamfetamine and ADHD Coverage,580,80,33100,N/A,none,high,n,2,bing|clincalc|goodrx-catalog,Generic launched 2023; vyvanse generic broad=12k
lyrica-cost,Lyrica Cost in 2026: Pregabalin Generic and Insurance Coverage,440,40,12100,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,Generic pregabalin widely available — coverage focus
linzess-cost,Linzess Cost in 2026: IBS-C Treatment Cost and Copay Card,420,15,8100,N/A,none,medium,n,2,bing|clincalc|goodrx-catalog,Linzess generic broad=5.7k
gabapentin-cost,Gabapentin Cost in 2026: Generic Pricing and Coverage Notes,180,36,12100,12,none,medium,n,3,bing|clincalc|goodrx-catalog,Top-20 prescribed; mostly cheap generic — coverage-side article
prednisone-cost,Prednisone Cost in 2026: Generic Steroid Pricing,160,55,8100,16,none,low,n,3,bing|clincalc|goodrx-catalog,Cheap generic — short article justified
amlodipine-cost,Amlodipine Cost in 2026: Generic Blood Pressure Drug Pricing,120,33,4400,5,none,low,n,3,bing|clincalc|goodrx-catalog,Top-5 prescribed
losartan-cost,Losartan Cost in 2026: Generic ARB Pricing,110,23,3600,9,none,low,n,3,bing|clincalc|goodrx-catalog,Cheap generic
lisinopril-cost,Lisinopril Cost in 2026: Generic ACE Inhibitor Pricing,110,20,4400,4,none,low,n,3,bing|clincalc|goodrx-catalog,Top-5 prescribed; sub-$10 generic
atorvastatin-cost,Atorvastatin Cost in 2026: Generic Lipitor Pricing,90,19,4400,1,none,low,n,3,bing|clincalc|goodrx-catalog,#1 prescribed in US; cheap generic — informational coverage
levothyroxine-cost,Levothyroxine Cost in 2026: Generic Thyroid Drug Pricing,140,26,5400,3,none,low,n,3,bing|clincalc|goodrx-catalog,Top-5 prescribed; brand vs generic substitution caveat
sertraline-cost,Sertraline Cost in 2026: Generic Zoloft Pricing,120,19,4400,11,none,low,n,3,bing|clincalc|goodrx-catalog,Cheap generic
omeprazole-cost,Omeprazole Cost in 2026: Generic Prilosec OTC vs Prescription,100,18,3600,8,none,low,n,3,bing|clincalc|goodrx-catalog,OTC vs Rx pricing angle
albuterol-cost,Albuterol Inhaler Cost in 2026: Generic Status and Coverage,180,N/A,8100,13,none,medium,n,3,bing|clincalc|goodrx-catalog,Generic albuterol limited; ProAir/Ventolin pricing
advair-cost,Advair Diskus Cost in 2026: Generic Wixela Inhub and Cost Differences,210,25,8100,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,Generic Wixela available; switching guide
symbicort-cost,Symbicort Cost in 2026: AirSupra Authorized Generic Pricing,180,16,5400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,Authorized generic launched 2022
breo-cost,Breo Ellipta Cost in 2026: COPD and Asthma Inhaler Pricing,140,N/A,3600,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,Trelegy alternative
spiriva-cost,Spiriva Handihaler Cost in 2026: Tiotropium Pricing and Generic Status,160,N/A,4400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,COPD daily inhaler; generic available
humalog-cost,Humalog Cost in 2026: Insulin Lispro Generic and Manufacturer Cap,260,N/A,8100,N/A,already_queued,medium,n,2,bing|clincalc|content-inventory,Already queued as 'insulin uninsured' adjacent — flag for dedup
lantus-cost,Lantus Cost in 2026: Insulin Glargine Generic Semglee Pricing,290,N/A,8100,N/A,already_queued,medium,n,2,bing|clincalc|goodrx-catalog,Semglee biosimilar; insulin price cap angle — overlaps queued
tresiba-cost,Tresiba Cost in 2026: Insulin Degludec Without Insurance,210,N/A,3600,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,Long-acting insulin
novolog-cost,NovoLog Cost in 2026: IRA Negotiated Insulin Aspart Pricing,230,N/A,4400,75,none,medium,n,2,bing|clincalc|ira-2026,IRA negotiated (grouped with Fiasp)
adderall-cost,Adderall Cost in 2026: Generic Mixed Amphetamine Salts Pricing,420,N/A,33100,N/A,none,high,n,3,bing|clincalc|goodrx-catalog,Shortage angle; cheap generic but supply-driven price spikes
abilify-cost,Abilify Cost in 2026: Aripiprazole Generic Pricing and Long-Acting,180,N/A,5400,N/A,none,medium,n,3,bing|clincalc|goodrx-catalog,Generic available; LAI angle
cymbalta-cost,Cymbalta Cost in 2026: Duloxetine Generic Pricing,150,N/A,4400,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,Cheap generic
prozac-cost,Prozac Cost in 2026: Fluoxetine Generic Pricing,130,N/A,3600,N/A,none,low,n,3,bing|clincalc|goodrx-catalog,Cheap generic
ozempic-without-insurance,"Ozempic Without Insurance in 2026: Pricing, Generic Status, and Alternatives",720,64,18100,17,none,high,n,SHIPPED-ADJACENT,bing|clincalc|goodrx-catalog,Adjacent slug — covered by ozempic-cost; do not dup
wegovy-without-insurance,Wegovy Without Insurance in 2026: Self-Pay and NovoCare Pricing,680,147,12100,71,none,high,n,1,bing|clincalc|goodrx-catalog,Distinct slug from wegovy-cost; high without-insurance intent
mounjaro-without-insurance,Mounjaro Without Insurance in 2026: LillyDirect Self-Pay Pricing,540,37,8100,84,none,high,n,1,bing|clincalc|goodrx-catalog,LillyDirect self-pay angle
zepbound-without-insurance,Zepbound Without Insurance in 2026: LillyDirect Vial Self-Pay,580,N/A,12100,142,none,medium,n,1,bing|clincalc|goodrx-catalog,LillyDirect vial pricing is the unique cite
medicare-extra-help-2026,Medicare Extra Help (LIS) in 2026: Who Qualifies and How to Apply,720,599,12100,N/A,slight,medium,n,1,bing|cms|content-inventory,LIS limits 2026 — strong demand; BUSA has Medicare Spend-Down article (slight)
medicare-part-d-cap-2026,Medicare Part D $2100 Out-of-Pocket Cap 2026: How the New Limit Works,520,N/A,8100,N/A,slight,medium,n,1,bing|cms|ira-2026,IRA-driven; BUSA has CU-204 'Part D Plans 2026' — slight overlap different angle
medicare-drug-negotiation-2026,Medicare Drug Negotiation Maximum Fair Price 2026: 10 Drugs Explained,480,N/A,4400,N/A,none,medium,n,1,bing|cms|ira-2026,Roundup article on the 10 IRA-2026 negotiated drugs — pillar page
medicare-drug-negotiation-2027,"Medicare Drug Negotiation 2027 Round-2 List: Wegovy, Ozempic and Others",440,N/A,N/A,N/A,none,low,n,2,bing|cms|ira-2027,2027 list incl Ozempic Rybelsus Wegovy Trelegy Xtandi Pomalyst etc
generic-vs-brand-drug-cost,Generic vs Brand-Name Drug Cost in 2026: When the Switch Saves Money,420,N/A,9900,N/A,already_queued,medium,n,SKIP,bing|content-inventory,Already in queue (CU-161) — dedup
how-to-get-insulin-uninsured,How to Get Insulin When Uninsured in 2026,360,N/A,5400,21,already_queued,medium,n,SKIP,bing|content-inventory,Already queued (CU-135)
tier-exceptions-medicare-part-d,Tier Exceptions and Step Therapy Appeals in Medicare Part D 2026,380,40,3600,N/A,already_queued,low,n,SKIP,bing|content-inventory,Already queued — dedup
step-therapy-medicare-2026,Step Therapy in Medicare Part D 2026: How to Get the Drug Your Doctor Wants,340,143,4400,N/A,slight,low,n,1,bing|cms,Strong demand signal (broad=143/week); BUSA Medicare Part D appeal article slight overlap
prior-authorization-drug-2026,Prior Authorization for Prescription Drugs in 2026: How to Win an Appeal,320,N/A,5400,N/A,slight,low,n,2,bing|cms,Process page; BUSA has Part D denial appeal — slight
copay-card-vs-coupon-2026,Drug Manufacturer Copay Cards vs GoodRx Coupons in 2026,420,N/A,N/A,N/A,slight,medium,n,1,bing|goodrx-catalog,High-leverage explainer; BUSA Part D vs GoodRx article — slight overlap different angle
patient-assistance-programs-2026,Drug Manufacturer Patient Assistance Programs 2026: How to Apply,360,N/A,4400,N/A,slight,medium,n,1,bing|cms,Pillar PAP article; pillar for individual drug pages to link to
glp1-cost-comparison-2026,GLP-1 Cost Comparison 2026: Ozempic vs Wegovy vs Mounjaro vs Zepbound,580,57,12100,N/A,none,medium,n,1,bing|goodrx-catalog,Class-level comparison — wide-open at class level
sglt2-cost-comparison-2026,SGLT2 Inhibitor Cost Comparison 2026: Jardiance vs Farxiga vs Invokana,360,N/A,3600,N/A,none,low,n,2,bing|goodrx-catalog,Class-level cardiometabolic comparison
doac-cost-comparison-2026,DOAC Cost Comparison 2026: Eliquis vs Xarelto vs Pradaxa,340,N/A,2900,N/A,none,low,n,2,bing|goodrx-catalog,DOAC class — both Eliquis Xarelto IRA-negotiated 2026
biosimilar-switching-guide-2026,"Biosimilar Switching Guide 2026: Humira, Stelara, Enbrel Biosimilars",320,N/A,4400,N/A,none,low,n,1,bing|fda-purple-book,Pillar page covering biosimilar landscape — high explanatory value
ozempic-for-weight-loss-coverage-2026,Ozempic for Weight Loss Insurance Coverage in 2026,640,N/A,18100,17,none,high,n,1,bing|goodrx-catalog|cms,Most-asked Ozempic-related question — coverage angle
wegovy-medicare-coverage-2026,Wegovy Medicare Coverage in 2026: When Medicare Pays for Weight Loss Drugs,540,26,12100,71,none,medium,n,1,bing|cms,CMS rules around weight-loss exclusion + cardiac indication
mounjaro-for-weight-loss-coverage-2026,Mounjaro for Weight Loss Coverage in 2026,440,N/A,9900,84,none,medium,n,1,bing|goodrx-catalog,Off-label weight loss angle — Zepbound is on-label
zepbound-medicare-coverage-2026,Zepbound Medicare Coverage in 2026,420,N/A,5400,142,none,medium,n,2,bing|cms,New on-label weight loss + sleep apnea indication 2024
ozempic-medicare-coverage-2026,Ozempic Medicare Coverage in 2026: T2D Only or Off-Label Weight Loss,460,N/A,12100,17,none,high,n,1,bing|cms,Coverage rules — distinct from cost page
eliquis-medicare-2026,Eliquis Medicare Coverage in 2026: $35 IRA Maximum Fair Price Explained,420,N/A,8100,30,none,medium,n,1,bing|cms|ira-2026,IRA $35/month MFP — year-anchored news
jardiance-medicare-2026,Jardiance Medicare Coverage in 2026: IRA Maximum Fair Price,360,N/A,5400,43,none,medium,n,1,bing|cms|ira-2026,IRA negotiated coverage
goodrx-vs-insurance-2026,GoodRx vs Insurance in 2026: When the Coupon Beats the Copay,280,N/A,4400,N/A,heavy,medium,n,SKIP,bing,BUSA has 'Medicare Part D vs GoodRx' article — heavy overlap; skip
lilly-direct-self-pay-pricing-2026,"LillyDirect Self-Pay Pricing in 2026: Zepbound, Mounjaro Direct-to-Consumer",360,N/A,3600,N/A,none,low,n,1,bing|lilly-press,Direct-to-consumer Rx pharmacy model — emerging news
novocare-direct-self-pay-2026,"NovoCare Direct Self-Pay Pricing 2026: Wegovy, Ozempic Direct-to-Consumer",320,N/A,2900,N/A,none,low,n,1,bing|novocare-press,Novo's response to LillyDirect
ozempic-shortage-2026,Ozempic Shortage in 2026: Why You Can't Get It and What to Try,420,N/A,8100,17,none,medium,n,2,bing|fda,FDA resolved shortage Oct 2024 but knockout compounder rules ongoing
compounded-glp1-cost-2026,Compounded GLP-1 Cost in 2026: Why Compounders Are Shutting Down,380,N/A,5400,N/A,none,low,n,2,bing|fda,FDA enforcement against 503A compounders post-shortage
drug-coupon-stacking-rules-2026,Drug Coupon and Copay Card Stacking Rules in 2026,260,N/A,1900,N/A,slight,low,n,2,bing,Niche power-user content — BUSA has GoodRx article slight
medicaid-drug-formulary-2026,Medicaid Prescription Drug Coverage and Formulary in 2026,320,N/A,2400,N/A,slight,medium,n,2,bing|medicaid-gov,Distinct from Medicare; state-by-state formulary variance
chip-prescription-coverage-2026,CHIP Prescription Drug Coverage for Kids in 2026,180,N/A,1300,N/A,none,low,n,3,bing|chip-program,CHIP-specific Rx coverage
copay-accumulator-vs-maximizer-2026,Copay Accumulator vs Copay Maximizer in 2026: How They Affect Your Drug Costs,240,N/A,2400,N/A,none,low,n,2,bing,Niche insurer-policy concept — distinct from coupon stacking
specialty-pharmacy-cost-2026,Specialty Pharmacy Drug Costs in 2026: Why Some Drugs Aren't at Walgreens,280,N/A,2900,N/A,none,low,n,2,bing,Specialty pharmacy distribution model
mail-order-pharmacy-cost-2026,Mail-Order Pharmacy Cost Savings in 2026: 90-Day Supply Math,260,N/A,3600,N/A,slight,low,n,2,bing,Money-saving tactic — BUSA has free-meds article slight
canada-vs-us-drug-prices-2026,Canada vs US Prescription Drug Prices in 2026: Why The Gap and Importation Rules,290,N/A,4400,N/A,none,low,n,3,bing|fda,FDA Florida importation 2024 — policy angle
mark-cuban-cost-plus-drugs-2026,Mark Cuban Cost Plus Drug Company in 2026: Which Drugs and Real Savings,420,N/A,12100,N/A,slight,medium,n,1,bing|costplusdrugs,Branded Rx pharmacy model — strong news cycle; BUSA mentions slight
amazon-pharmacy-cost-2026,Amazon Pharmacy Prescription Cost in 2026: Prime Rx Savings,280,N/A,4400,N/A,none,low,n,2,bing|amazon-pharmacy,Direct-to-consumer competitor
hsa-prescription-drugs-2026,Using HSA for Prescription Drugs in 2026: Eligibility and Reimbursement,260,N/A,3600,N/A,slight,medium,n,2,bing|irs,HSA-eligible drugs list; BUSA has HSA articles slight
fsa-prescription-drugs-2026,Using FSA for Prescription Drugs in 2026: Eligibility and Use-It-Or-Lose-It,240,N/A,2900,N/A,slight,medium,n,2,bing|irs,FSA-eligible drugs list
prescription-drug-tax-deduction-2026,Are Prescription Drugs Tax-Deductible in 2026?,220,N/A,3600,N/A,slight,low,n,2,bing|irs,Medical expense deduction 7.5% AGI threshold
clinical-trial-drug-cost-2026,Clinical Trial Drugs in 2026: When Free Drugs Are Real and How to Apply,180,N/A,1900,N/A,none,low,n,3,bing|clinicaltrials-gov,Clinical trial enrollment as cost workaround
expanded-access-compassionate-use-2026,Expanded Access and Compassionate Use Programs in 2026: Free Investigational Drugs,160,N/A,1300,N/A,none,low,n,3,bing|fda,FDA expanded access program — niche but high-stakes
biosimilar-substitution-laws-state-2026,Biosimilar Substitution Laws by State in 2026,140,N/A,720,N/A,none,low,n,3,bing|fda,State pharmacist substitution rules — wide variation
340b-drug-pricing-explained-2026,340B Drug Pricing Program in 2026: How Some Hospitals Get Drugs Cheaper,120,N/A,1300,N/A,none,low,n,3,bing|hrsa,Hospital outpatient drug pricing program
trodelvy-cost-2026,Trodelvy Cost in 2026: Triple-Negative Breast Cancer Treatment Pricing,140,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,Oncology specialty drug
keytruda-cost-2026,Keytruda Cost in 2026: Pembrolizumab Pricing and Patient Assistance,360,N/A,5400,N/A,none,medium,n,2,bing|goodrx-catalog,Cancer immunotherapy; high-cost specialty
opdivo-cost-2026,Opdivo Cost in 2026: Nivolumab Pricing and Patient Assistance,280,N/A,2900,N/A,none,medium,n,3,bing|goodrx-catalog,Keytruda competitor
ozempic-vs-rybelsus-cost-2026,Ozempic vs Rybelsus Cost in 2026: Injection vs Oral Semaglutide,260,N/A,3600,N/A,none,low,n,2,bing|goodrx-catalog,Same molecule different delivery — pricing differs
victoza-vs-saxenda-cost-2026,Victoza vs Saxenda Cost in 2026: Same Liraglutide Different Indication,140,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,Same active ingredient different label
buprenorphine-cost-2026,Buprenorphine Suboxone Cost in 2026: MAT Coverage and Generic Pricing,260,N/A,4400,N/A,slight,medium,n,2,bing|samhsa,OUD treatment — Medicare/Medicaid coverage; BUSA has SSI/addiction article slight
naltrexone-cost-2026,Naltrexone Cost in 2026: Vivitrol vs Oral Naltrexone Pricing,180,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog,OUD/AUD treatment
methadone-cost-2026,Methadone Cost in 2026: OTP Coverage and Medicare Part B Bundled Payment,200,N/A,2900,N/A,none,low,n,3,bing|samhsa,Opioid treatment program bundled Part B rate
narcan-cost-2026,Narcan Cost in 2026: OTC Naloxone Pricing and Insurance Coverage,290,N/A,8100,N/A,none,medium,n,2,bing|fda,OTC Narcan launched 2023; coverage rules evolving
hiv-prep-cost-2026,"HIV PrEP Cost in 2026: Descovy, Truvada, Apretude and Ready-Set-PrEP",320,N/A,5400,N/A,none,medium,n,2,bing|cdc|ready-set-prep,Federal Ready-Set-PrEP program; generic Truvada now $0 for many
descovy-cost-2026,Descovy Cost in 2026: PrEP Pricing and Patient Assistance,140,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog,PrEP option
apretude-cost-2026,Apretude Cost in 2026: Long-Acting Injectable PrEP Pricing,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,Newer LAI PrEP
hepc-treatment-cost-2026,"Hep C Treatment Cost in 2026: Mavyret, Epclusa, Harvoni Pricing and Coverage",280,N/A,4400,N/A,none,medium,n,2,bing|cdc|hhs-hepc-elimination,Federal Hep C elimination plan + state Medicaid coverage variance
mavyret-cost-2026,Mavyret Cost in 2026: Glecaprevir Pibrentasvir Hep C Pricing,180,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog,Hep C drug
epclusa-cost-2026,Epclusa Cost in 2026: Sofosbuvir Velpatasvir Hep C Pricing,160,N/A,1900,N/A,none,low,n,3,bing|goodrx-catalog,Hep C drug
harvoni-cost-2026,Harvoni Cost in 2026: Generic Authorized Sofosbuvir Ledipasvir Pricing,150,N/A,1300,N/A,none,low,n,3,bing|goodrx-catalog,Hep C drug; authorized generic
truvada-cost-2026,Truvada Cost in 2026: Generic PrEP and Patient Assistance,180,N/A,2900,N/A,none,low,n,3,bing|goodrx-catalog,Generic available
revcovi-cost-2026,Revcovi Cost in 2026: Specialty Drug Pricing for ADA-SCID,80,N/A,210,N/A,none,low,n,3,bing|goodrx-catalog,Ultra-rare specialty drug; high-margin SEO play
sovaldi-cost-2026,Sovaldi Cost in 2026: Sofosbuvir Pricing,80,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,Hep C drug — older
shingrix-cost-2026,Shingrix Cost in 2026: Shingles Vaccine Medicare Coverage,260,N/A,4400,N/A,slight,medium,n,2,bing|cdc|cms,IRA made adult vaccines $0 in Medicare Part D 2023; BUSA has Medicare vaccine article slight
flu-vaccine-cost-2026,Flu Vaccine Cost in 2026: Where to Get It Free,180,N/A,8100,N/A,slight,medium,n,2,bing|cdc,Cost angle on flu shots; BUSA has free immunization article slight
rsv-vaccine-cost-2026,"RSV Vaccine Cost in 2026: Abrysvo, Arexvy and mRESVIA Coverage",220,N/A,3600,N/A,none,medium,n,2,bing|cdc|cms,Adult vaccines $0 Medicare Part D; commercial coverage varies
covid-vaccine-cost-2026,COVID Vaccine Cost in 2026: Commercialization Pricing and Coverage,240,N/A,5400,N/A,slight,medium,n,2,bing|cdc,Post-PHE commercialization; bridge program ended
botox-cost-2026,Botox Cost in 2026: Medical vs Cosmetic and Insurance Coverage,260,N/A,12100,N/A,none,medium,n,2,bing|goodrx-catalog,Medical (migraine spasticity) vs cosmetic — coverage rules
adipex-cost-2026,Adipex Phentermine Cost in 2026: Weight Loss Generic Pricing,140,N/A,2400,N/A,none,low,n,3,bing|goodrx-catalog,Old-school weight loss generic
nexlizet-cost-2026,Nexlizet Cost in 2026: Bempedoic Acid Ezetimibe Combo Pricing,80,N/A,210,N/A,none,low,n,3,bing|goodrx-catalog,Statin-alternative lipid drug
nexletol-cost-2026,Nexletol Cost in 2026: Bempedoic Acid Pricing and Coverage,90,N/A,260,N/A,none,low,n,3,bing|goodrx-catalog,Statin-alternative
lebronox-cost-2026,Leqembi Cost in 2026: Alzheimer's Disease Treatment Pricing,160,N/A,1300,N/A,none,low,n,3,bing|cms,Medicare Part B coverage with CED registry — niche but news-heavy
kisunla-cost-2026,Kisunla Cost in 2026: Donanemab Alzheimer's Pricing,140,N/A,720,N/A,none,low,n,3,bing|cms,Newer Alzheimer's drug; CED registry
ofev-cost-2026,Ofev Cost in 2026: Nintedanib IPF Pricing and Patient Assistance,120,N/A,720,N/A,none,low,n,3,bing|goodrx-catalog,IPF specialty drug
esbriet-cost-2026,Esbriet Cost in 2026: Pirfenidone Generic IPF Pricing,80,N/A,210,N/A,none,low,n,3,bing|goodrx-catalog,Generic available
estradiol-cost-2026,Estradiol Cost in 2026: HRT Pricing and Patch vs Pill,180,N/A,3600,N/A,none,low,n,3,bing|goodrx-catalog,HRT — generic widely available
testosterone-replacement-cost-2026,Testosterone Replacement Therapy Cost in 2026: Coverage and Self-Pay,260,N/A,8100,N/A,none,medium,n,2,bing|goodrx-catalog,TRT cost — high commercial intent
finasteride-cost-2026,Finasteride Cost in 2026: Generic Propecia Hair Loss Pricing,180,N/A,4400,N/A,none,medium,n,2,bing|goodrx-catalog,Hims/Roman direct-to-consumer alt
sildenafil-cost-2026,Sildenafil Cost in 2026: Generic Viagra Pricing,260,N/A,9900,N/A,none,high,n,3,bing|goodrx-catalog,Generic Viagra — head-term territory but cost angle
tadalafil-cost-2026,Tadalafil Cost in 2026: Generic Cialis Pricing,220,N/A,8100,N/A,none,high,n,3,bing|goodrx-catalog,Generic Cialis
metoprolol-cost-2026,Metoprolol Cost in 2026: Tartrate vs Succinate Generic Pricing,140,N/A,3600,7,none,low,n,3,bing|clincalc|goodrx-catalog,Top-10 prescribed beta blocker
montelukast-cost-2026,Montelukast Cost in 2026: Generic Singulair Pricing and Black Box Warning,160,N/A,3600,18,none,low,n,3,bing|clincalc|goodrx-catalog,Top-20 prescribed; cheap generic
hydrochlorothiazide-cost-2026,Hydrochlorothiazide Cost in 2026: Generic Diuretic Pricing,90,N/A,1900,10,none,low,n,3,bing|clincalc|goodrx-catalog,Cheap generic
simvastatin-cost-2026,Simvastatin Cost in 2026: Generic Zocor Pricing,80,N/A,1600,15,none,low,n,3,bing|clincalc|goodrx-catalog,Cheap generic
escitalopram-cost-2026,Escitalopram Cost in 2026: Generic Lexapro Pricing,120,N/A,2900,14,none,low,n,3,bing|clincalc|goodrx-catalog,Cheap generic SSRI
