topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources
lab-test-cost,"Lab Test Cost Without Insurance in 2026: Quest, LabCorp & Hospital Pricing Guide",30,0,0,1,none,medium,n,3,"clincalc"
physical-exam-cost,"Physical Exam Cost Without Insurance in 2026: National Pricing Guide",30,0,0,1,none,medium,n,3,"clincalc"
doctor-visit-cost,"Doctor Visit Cost Without Insurance in 2026: Primary Care Pricing Guide",30,0,0,1,none,medium,n,3,"clincalc"
hospital-stay-cost,"Hospital Stay Cost Per Day in 2026: Inpatient Pricing by State & Service",30,0,0,1,none,medium,n,3,"clincalc"
er-visit-cost,"ER Visit Cost Without Insurance in 2026: CPT 99284 & 99285 Pricing Guide",29,0,0,2,none,medium,n,3,"clincalc,already_queued"
x-ray-cost,"X-Ray Cost Without Insurance in 2026: National Pricing Guide",29,0,0,3,none,medium,n,3,"clincalc"
c-section-cost,"C-Section Cost Without Insurance in 2026: National Pricing Guide",28,0,0,8,none,medium,n,3,"clincalc,already_queued"
ekg-cost,"EKG Cost Without Insurance in 2026: Electrocardiogram Pricing Guide",28,0,0,6,none,medium,n,3,"clincalc"
hospital-birth-cost,"Hospital Birth Cost Without Insurance in 2026: Vaginal & C-Section Combined Pricing Guide",28,0,0,8,none,medium,n,3,"clincalc"
vaginal-delivery-cost,"Vaginal Delivery Cost Without Insurance in 2026: Hospital Birth Pricing Guide",27,0,0,11,none,medium,n,3,"clincalc,already_queued"
physical-therapy-cost,"Physical Therapy Cost Per Session in 2026: National Pricing Guide",26,0,0,13,none,medium,n,3,"clincalc,already_queued"
stitches-cost,"Stitches Cost Without Insurance in 2026: ER & Urgent Care Pricing Guide",25,0,0,16,none,medium,n,3,"clincalc"
epidural-cost,"Epidural Cost in Labor Without Insurance in 2026: National Pricing Guide",24,0,0,21,none,medium,n,3,"clincalc"
dialysis-cost,"Dialysis Cost Without Insurance in 2026: Per-Session & Monthly Pricing Guide",24,0,0,19,none,medium,n,3,"clincalc"
telehealth-visit-cost,"Telehealth Visit Cost Without Insurance in 2026: National Pricing Guide",24,0,0,20,none,medium,n,3,"clincalc"
gallbladder-surgery-cost,"Gallbladder Surgery Cost Without Insurance in 2026: Laparoscopic Cholecystectomy Pricing Guide",23,0,0,25,none,medium,n,3,"clincalc,already_queued"
upper-endoscopy-cost,"Upper Endoscopy (EGD) Cost Without Insurance in 2026: National Pricing Guide",23,0,0,22,none,medium,n,3,"clincalc,already_queued"
iud-cost,"IUD Cost Without Insurance in 2026: Mirena, Paragard & Kyleena Pricing Guide",23,0,0,24,none,medium,n,3,"clincalc"
covid-test-cost,"COVID Test Cost Without Insurance in 2026: PCR & Rapid Pricing Guide",23,0,0,25,none,medium,n,3,"clincalc"
specialist-visit-cost,"Specialist Visit Cost Without Insurance in 2026: National Pricing Guide",23,0,0,25,none,medium,n,3,"clincalc"
biopsy-cost,"Biopsy Cost Without Insurance in 2026: National Pricing Guide",22,0,0,27,none,medium,n,3,"clincalc"
appendectomy-cost,"Appendectomy Cost Without Insurance in 2026: National Pricing Guide",20,0,0,35,none,medium,n,3,"clincalc,already_queued"
radiation-therapy-cost,"Radiation Therapy Cost Without Insurance in 2026: Per-Treatment Pricing Guide",20,0,0,33,none,medium,n,3,"clincalc"
allergy-test-cost,"Allergy Test Cost Without Insurance in 2026: National Pricing Guide",20,0,0,34,none,medium,n,3,"clincalc"
therapy-session-cost,"Therapy Session Cost Without Insurance in 2026: Outpatient Mental Health Pricing Guide",20,0,0,35,none,medium,n,3,"clincalc"
icu-stay-cost,"ICU Cost Per Day in 2026: Intensive Care Unit Pricing Guide",20,0,0,35,none,medium,n,3,"clincalc"
cardiac-stress-test-cost,"Cardiac Stress Test Cost Without Insurance in 2026: National Pricing Guide",19,0,0,38,none,medium,n,3,"clincalc"
circumcision-cost,"Circumcision Cost Without Insurance in 2026: National Pricing Guide",18,0,0,40,none,medium,n,3,"clincalc"
concussion-treatment-cost,"Concussion Treatment Cost Without Insurance in 2026: National Pricing Guide",18,0,0,41,none,medium,n,3,"clincalc"
urinalysis-cost,"Urinalysis Cost Without Insurance in 2026: National Pricing Guide",18,0,0,39,none,medium,n,3,"clincalc"
cardiac-cath-cost,"Cardiac Catheterization Cost Without Insurance in 2026: National Pricing Guide",17,0,0,42,none,medium,n,3,"clincalc"
angiogram-cost,"Angiogram Cost Without Insurance in 2026: National Pricing Guide",16,0,0,48,none,medium,n,3,"clincalc"
strep-test-cost,"Strep Test Cost Without Insurance in 2026: National Pricing Guide",16,0,0,47,none,medium,n,3,"clincalc"
psychiatrist-visit-cost,"Psychiatrist Visit Cost Without Insurance in 2026: National Pricing Guide",16,0,0,47,none,medium,n,3,"clincalc"
epipen-cost,"EpiPen Cost Without Insurance in 2026: National Pricing Guide",16,0,0,48,none,medium,n,3,"clincalc"
skin-biopsy-cost,"Skin Biopsy Cost Without Insurance in 2026: National Pricing Guide",15,0,0,50,none,medium,n,3,"clincalc"
d-and-c-cost,"D&C Procedure Cost Without Insurance in 2026: Dilation & Curettage Pricing Guide",15,0,0,51,none,low,n,3,"clincalc"
mastectomy-cost,"Mastectomy Cost Without Insurance in 2026: National Pricing Guide",14,0,0,55,none,medium,n,3,"clincalc"
broken-arm-cost,"Broken Arm Cost Without Insurance in 2026: Treatment & Cast Pricing Guide",14,0,0,52,none,medium,n,3,"clincalc"
broken-leg-cost,"Broken Leg Cost Without Insurance in 2026: Treatment & Cast Pricing Guide",14,0,0,53,none,medium,n,3,"clincalc"
breast-biopsy-cost,"Breast Biopsy Cost Without Insurance in 2026: National Pricing Guide",13,0,0,56,none,medium,n,3,"clincalc"
tonsillectomy-cost,"Tonsillectomy Cost Without Insurance in 2026: National Pricing Guide",12,0,0,60,none,medium,n,3,"clincalc"
gastric-sleeve-cost,"Gastric Sleeve Cost Without Insurance in 2026: Bariatric Surgery Pricing Guide",12,0,0,60,none,medium,n,3,"clincalc"
allergy-shots-cost,"Allergy Shots Cost Without Insurance in 2026: Immunotherapy Pricing Guide",12,0,0,61,none,medium,n,3,"clincalc"
lumpectomy-cost,"Lumpectomy Cost Without Insurance in 2026: National Pricing Guide",11,0,0,65,none,medium,n,3,"clincalc"
holter-monitor-cost,"Holter Monitor Cost Without Insurance in 2026: 24-Hour ECG Pricing Guide",11,0,0,65,none,medium,n,3,"clincalc"
prostate-biopsy-cost,"Prostate Biopsy Cost Without Insurance in 2026: National Pricing Guide",11,0,0,62,none,medium,n,3,"clincalc"
nicu-stay-cost,"NICU Cost Per Day in 2026: Neonatal ICU Hospital Pricing Guide",10,0,0,68,none,medium,n,3,"clincalc,already_queued"
emg-cost,"EMG Cost Without Insurance in 2026: Electromyography & Nerve Conduction Pricing Guide",10,0,0,68,none,low,n,3,"clincalc"
thyroid-surgery-cost,"Thyroid Surgery Cost Without Insurance in 2026: Thyroidectomy Pricing Guide",10,0,0,67,none,medium,n,3,"clincalc"
gastric-bypass-cost,"Gastric Bypass Cost Without Insurance in 2026: Bariatric Surgery Pricing Guide",9,0,0,70,none,medium,n,3,"clincalc"
skin-tag-removal-cost,"Skin Tag Removal Cost Without Insurance in 2026: National Pricing Guide",9,0,0,71,none,medium,n,3,"clincalc"
sigmoidoscopy-cost,"Sigmoidoscopy Cost Without Insurance in 2026: National Pricing Guide",8,0,0,75,none,medium,n,3,"clincalc"
tubal-ligation-cost,"Tubal Ligation Cost Without Insurance in 2026: National Pricing Guide",8,0,0,72,none,medium,n,3,"clincalc"
cystoscopy-cost,"Cystoscopy Cost Without Insurance in 2026: National Pricing Guide",8,0,0,73,none,low,n,3,"clincalc"
heart-bypass-cost,"Heart Bypass Surgery (CABG) Cost Without Insurance in 2026: National Pricing Guide",7,0,0,78,none,medium,n,3,"clincalc"
inpatient-rehab-cost,"Inpatient Drug Rehab Cost Without Insurance in 2026: 30/60/90 Day Pricing Guide",7,0,0,78,none,medium,n,3,"clincalc"
colposcopy-cost,"Colposcopy Cost Without Insurance in 2026: National Pricing Guide",7,0,0,76,none,low,n,3,"clincalc"
ear-tubes-cost,"Ear Tubes Surgery Cost Without Insurance in 2026: Tympanostomy Pricing Guide",7,0,0,77,none,medium,n,3,"clincalc"
rotator-cuff-surgery-cost,"Rotator Cuff Surgery Cost Without Insurance in 2026: National Pricing Guide",6,0,0,80,none,medium,n,3,"clincalc"
adenoidectomy-cost,"Adenoidectomy Cost Without Insurance in 2026: National Pricing Guide",6,0,0,79,none,low,n,3,"clincalc"
endometrial-ablation-cost,"Endometrial Ablation Cost Without Insurance in 2026: National Pricing Guide",6,0,0,81,none,low,n,3,"clincalc"
acl-surgery-cost,"ACL Surgery Cost Without Insurance in 2026: National Pricing Guide",5,0,0,85,none,medium,n,3,"clincalc"
spinal-tap-cost,"Spinal Tap (Lumbar Puncture) Cost Without Insurance in 2026: National Pricing Guide",5,0,0,82,none,low,n,3,"clincalc"
septoplasty-cost,"Septoplasty Cost Without Insurance in 2026: Deviated Septum Surgery Pricing Guide",5,0,0,84,none,medium,n,3,"clincalc"
meniscus-surgery-cost,"Meniscus Surgery Cost Without Insurance in 2026: National Pricing Guide",4,0,0,88,none,medium,n,3,"clincalc"
spinal-fusion-cost,"Spinal Fusion Surgery Cost Without Insurance in 2026: National Pricing Guide",3,0,0,90,none,medium,n,3,"clincalc"
pacemaker-cost,"Pacemaker Cost Without Insurance in 2026: National Pricing Guide",2,0,0,92,none,medium,n,3,"clincalc"
