topic,title_hint,subtype,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,state_fork,priority,already_queued,sources,competitor_enumeration_source,manual_brainstorm_score
does-medicare-cover-home-health-care,Does Medicare Cover Home Health Care? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov/coverage/home-health-services,aarp,ncoa",medicare.gov+aarp,10
does-medicare-cover-hospice,Does Medicare Cover Hospice Care? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,nhpco,aarp",medicare.gov+nhpco,9
does-medicare-cover-palliative-care,Does Medicare Cover Palliative Care? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"medicare.gov,capc,aarp",medicare.gov+capc,6
does-medicare-cover-nursing-home,Does Medicare Cover Nursing Home Care? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov/coverage/long-term-care,aarp,ncoa,kff",medicare.gov+kff,10
does-medicare-cover-assisted-living,Does Medicare Cover Assisted Living? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"aarp,ncoa,medicareadvocacy",aarp+ncoa,9
does-medicare-cover-in-home-care,Does Medicare Cover In-Home Caregivers? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"aarp,ncoa,medicare.gov",aarp+ncoa,8
does-medicare-cover-cpap,Does Medicare Cover CPAP Machines? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,aarp,resmed",medicare.gov+aarp,7
does-medicare-cover-oxygen,Does Medicare Cover Home Oxygen Therapy? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"medicare.gov,aarp,inogen",medicare.gov+aarp,6
does-medicare-cover-wheelchairs,Does Medicare Cover Wheelchairs and Power Chairs? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,aarp",medicare.gov+aarp,7
does-medicare-cover-walkers,Does Medicare Cover Walkers and Canes? (2026 Answer),qa-coverage,,,,,none,low,n,n,3,n,"medicare.gov,aarp",medicare.gov+aarp,5
does-medicare-cover-diabetic-supplies,Does Medicare Cover Diabetic Supplies and CGMs? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,aarp,beyond-type-1",medicare.gov+aarp,8
does-medicare-cover-colonoscopy,Does Medicare Cover Colonoscopy Screening? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov/coverage/colonoscopies,aarp,cancer.org",medicare.gov+aarp,9
does-medicare-cover-mammograms,Does Medicare Cover Mammograms? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov/coverage/mammograms,aarp,komen",medicare.gov+aarp,9
does-medicare-cover-prostate-screening,Does Medicare Cover Prostate Cancer Screening? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,zerocancer,aarp",medicare.gov+aarp,7
does-medicare-cover-lung-cancer-screening,Does Medicare Cover Lung Cancer Screening (LDCT)? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"medicare.gov,lung.org,cms",medicare.gov+lung,6
does-medicare-cover-flu-shot,Does Medicare Cover the Flu Shot? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov/coverage/flu-shots,aarp,cdc",medicare.gov+cdc,7
does-medicare-cover-shingles-vaccine,Does Medicare Cover the Shingles Vaccine? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,cms,aarp",medicare.gov+aarp,8
does-medicare-cover-covid-vaccine,Does Medicare Cover COVID Vaccines and Boosters? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,cdc",medicare.gov+cdc,7
does-medicare-cover-telehealth,Does Medicare Cover Telehealth Visits? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,kff,cms",medicare.gov+kff,8
does-medicare-cover-urgent-care,Does Medicare Cover Urgent Care Visits? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,aarp",medicare.gov+aarp,7
does-medicare-cover-er-visits,Does Medicare Cover Emergency Room Visits? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,aarp",medicare.gov+aarp,9
does-medicare-cover-ambulance,Does Medicare Cover Ambulance Rides? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov/coverage/ambulance-services,aarp",medicare.gov+aarp,7
does-medicare-cover-transportation,Does Medicare Cover Transportation to Doctor Appointments? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"medicare.gov,aarp,modivcare",medicare.gov+aarp,6
does-medicare-cover-insulin,Does Medicare Cover Insulin? (2026 Answer — $35 cap),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,cms,kff",medicare.gov+kff,9
does-medicare-cover-prescription-drugs,Does Original Medicare Cover Prescription Drugs? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,aarp,kff",medicare.gov+kff,9
does-medicare-cover-silver-sneakers,Does Medicare Cover Silver Sneakers Gym Memberships? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"silversneakers.com,aarp",aarp+silversneakers,7
does-medicare-cover-meal-delivery,Does Medicare Advantage Cover Meal Delivery? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"aarp,humana,cms",aarp+humana,6
does-medicare-cover-otc-benefits,Does Medicare Advantage Cover OTC Benefits? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"aarp,humana,uhc",aarp+uhc,6
does-medicare-cover-joint-injections,Does Medicare Cover Knee and Joint Injections? (2026 Answer),qa-coverage,,,,,none,low,n,n,3,n,"medicare.gov,aarp",medicare.gov+aarp,5
does-medicare-cover-skilled-nursing,Does Medicare Cover Skilled Nursing Facility Stays? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,aarp,kff",medicare.gov+kff,8
does-medicare-cover-pre-existing-conditions,Does Medicare Cover Pre-Existing Conditions? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,kff,aarp",medicare.gov+kff,7
does-medicaid-cover-dental,Does Medicaid Cover Dental for Adults? (2026 Answer),qa-coverage,,,,,slight,high,n,y,1,n,"medicaid.gov,cms,kff,ncoa",medicaid.gov+kff,10
does-medicaid-cover-vision,Does Medicaid Cover Vision and Eye Exams? (2026 Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"medicaid.gov,kff,aoa",medicaid.gov+kff,9
does-medicaid-cover-hearing-aids,Does Medicaid Cover Hearing Aids for Adults? (2026 Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"medicaid.gov,kff,hearingloss.org",medicaid.gov+kff,9
does-medicaid-cover-mental-health,Does Medicaid Cover Mental Health Care? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicaid.gov,kff,samhsa",medicaid.gov+kff,9
does-medicaid-cover-therapy,Does Medicaid Cover Therapy and Counseling? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicaid.gov,nami,samhsa",medicaid.gov+samhsa,9
does-medicaid-cover-pregnancy,Does Medicaid Cover Pregnancy and Maternity Care? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicaid.gov,cms,kff,march-of-dimes",medicaid.gov+kff,10
does-medicaid-cover-abortion,Does Medicaid Cover Abortion in 2026? (State-by-State Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"kff,guttmacher,medicaid.gov",kff+guttmacher,9
does-medicaid-cover-birth-control,Does Medicaid Cover Birth Control? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicaid.gov,plannedparenthood,kff",medicaid.gov+kff,8
does-medicaid-cover-ivf,Does Medicaid Cover IVF and Fertility Treatment? (2026 Answer),qa-coverage,,,,,slight,low,n,y,2,n,"medicaid.gov,resolve.org,kff",resolve+kff,7
does-medicaid-cover-gender-affirming-care,Does Medicaid Cover Gender-Affirming Care? (2026 Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"medicaid.gov,kff,hrc,movementadvancement",kff+hrc,9
does-medicaid-cover-top-surgery,Does Medicaid Cover Top Surgery? (2026 Answer),qa-coverage,,,,,slight,low,n,y,2,n,"medicaid.gov,hrc",hrc+medicaid.gov,7
does-medicaid-cover-hormone-therapy,Does Medicaid Cover Hormone Replacement Therapy (HRT)? (2026 Answer),qa-coverage,,,,,slight,low,n,y,2,n,"medicaid.gov,hrc,planned-parenthood",hrc+plannedparenthood,7
does-medicaid-cover-autism-aba-therapy,Does Medicaid Cover ABA Therapy for Autism? (2026 Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"medicaid.gov,autismspeaks,cms",medicaid.gov+autismspeaks,9
does-medicaid-cover-in-home-care,Does Medicaid Cover In-Home Care (HCBS Waivers)? (2026 Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"medicaid.gov,kff,ncoa",medicaid.gov+kff,9
does-medicaid-cover-nursing-home,Does Medicaid Cover Nursing Home Care? (2026 Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"medicaid.gov,kff,ncoa",medicaid.gov+kff,9
does-medicaid-cover-transportation,Does Medicaid Cover Transportation to Medical Appointments (NEMT)? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicaid.gov,cms",medicaid.gov+cms,7
does-medicaid-cover-prescription-drugs,Does Medicaid Cover Prescription Drugs? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicaid.gov,kff,goodrx",medicaid.gov+kff,8
does-medicaid-cover-physical-therapy,Does Medicaid Cover Physical Therapy? (2026 Answer),qa-coverage,,,,,slight,low,n,y,2,n,"medicaid.gov,apta",medicaid.gov+apta,6
does-medicaid-cover-weight-loss-surgery,Does Medicaid Cover Bariatric Surgery? (2026 Answer),qa-coverage,,,,,slight,low,n,y,2,n,"medicaid.gov,obesityaction",medicaid.gov+obesityaction,6
does-medicaid-cover-ozempic,Does Medicaid Cover Ozempic and GLP-1 Drugs? (2026 Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"kff,goodrx,medicaid.gov",kff+goodrx,9
does-medicaid-cover-glasses,Does Medicaid Cover Eyeglasses for Adults? (2026 Answer),qa-coverage,,,,,slight,low,n,y,2,n,"medicaid.gov,kff",medicaid.gov+kff,6
does-medicaid-cover-emergency-room,Does Medicaid Cover Emergency Room Visits? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicaid.gov,kff",medicaid.gov+kff,7
does-medicaid-cover-undocumented-immigrants,Does Medicaid Cover Undocumented Immigrants? (2026 Answer),qa-coverage,,,,,slight,medium,n,y,1,n,"kff,medicaid.gov,nilc",kff+nilc,9
does-aca-cover-pre-existing-conditions,Does ACA Marketplace Insurance Cover Pre-Existing Conditions? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"healthcare.gov,cms,kff",healthcare.gov+kff,10
does-aca-cover-mental-health,Does ACA Marketplace Insurance Cover Mental Health? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"healthcare.gov,kff,samhsa",healthcare.gov+kff,9
does-aca-cover-maternity,Does ACA Marketplace Insurance Cover Maternity Care? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"healthcare.gov,kff,march-of-dimes",healthcare.gov+kff,10
does-aca-cover-birth-control,Does ACA Marketplace Insurance Cover Birth Control? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"healthcare.gov,kff,plannedparenthood",healthcare.gov+kff,9
does-aca-cover-breast-pumps,Does ACA Insurance Cover Breast Pumps? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"healthcare.gov,kelly-mom,acog",healthcare.gov+acog,8
does-aca-cover-lactation-support,Does ACA Insurance Cover Lactation Consultants? (2026 Answer),qa-coverage,,,,,none,low,n,n,3,n,"healthcare.gov,kelly-mom",healthcare.gov,5
does-aca-cover-preventive-care,Does ACA Insurance Cover Preventive Care 100%? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"healthcare.gov,cms,kff",healthcare.gov+kff,9
does-aca-cover-essential-health-benefits,What Are the 10 ACA Essential Health Benefits? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"healthcare.gov/glossary/essential-health-benefits,kff",healthcare.gov+kff,9
does-aca-cover-vaccines,Does ACA Insurance Cover Vaccines for Free? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"healthcare.gov,cdc",healthcare.gov+cdc,6
does-aca-cover-dental,Does ACA Marketplace Insurance Cover Dental? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"healthcare.gov,kff,delta-dental",healthcare.gov+kff,8
does-aca-cover-vision,Does ACA Marketplace Insurance Cover Vision? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"healthcare.gov,kff",healthcare.gov+kff,7
medicare-vs-medicaid-coverage,Medicare vs Medicaid: What's the Difference in Coverage? (2026),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,medicaid.gov,kff,aarp",medicare.gov+kff,10
medicare-advantage-vs-original-medicare,Medicare Advantage vs Original Medicare: Coverage Differences (2026),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,kff,aarp",medicare.gov+kff,10
medigap-vs-medicare-advantage,Medigap vs Medicare Advantage: Which Covers More? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,aarp,kff",medicare.gov+aarp,10
medicaid-eligibility-alabama,Do I Qualify for Alabama Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"medicaid.alabama.gov,kff",busa-inventory-match,8
medicaid-eligibility-alaska,Do I Qualify for Alaska Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"alaska.gov/dhss,kff",busa-inventory-match,8
medicaid-eligibility-arizona,Do I Qualify for Arizona AHCCCS Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"azahcccs.gov,kff",busa-inventory-match,9
medicaid-eligibility-arkansas,Do I Qualify for Arkansas Medicaid (ARHOME) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"humanservices.arkansas.gov,kff",busa-inventory-match,8
medicaid-eligibility-california,Do I Qualify for Medi-Cal in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,high,y,n,1,y,"dhcs.ca.gov,coveredca,kff",busa-inventory-match,10
medicaid-eligibility-colorado,Do I Qualify for Health First Colorado Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"hcpf.colorado.gov,kff",busa-inventory-match,8
medicaid-eligibility-connecticut,Do I Qualify for HUSKY Health (CT Medicaid) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"portal.ct.gov/dss,kff",busa-inventory-match,8
medicaid-eligibility-delaware,Do I Qualify for Delaware Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"dhss.delaware.gov,kff",busa-inventory-match,7
medicaid-eligibility-dc,Do I Qualify for DC Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,slight,low,y,n,1,n,"dhcf.dc.gov,kff",manual-brainstorm,7
medicaid-eligibility-florida,Do I Qualify for Florida Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,high,y,n,1,y,"ahca.myflorida.com,kff",busa-inventory-match,10
medicaid-eligibility-georgia,Do I Qualify for Georgia Medicaid (Pathways) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"medicaid.georgia.gov,kff",busa-inventory-match,9
medicaid-eligibility-hawaii,Do I Qualify for Hawaii Med-QUEST Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"medquest.hawaii.gov,kff",busa-inventory-match,7
medicaid-eligibility-idaho,Do I Qualify for Idaho Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"healthandwelfare.idaho.gov,kff",busa-inventory-match,8
medicaid-eligibility-illinois,Do I Qualify for Illinois Medicaid (HFS) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"hfs.illinois.gov,kff",busa-inventory-match,8
medicaid-eligibility-indiana,Do I Qualify for Indiana Medicaid (HIP/Healthy Indiana Plan) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"in.gov/fssa,kff",busa-inventory-match,8
medicaid-eligibility-iowa,Do I Qualify for Iowa Medicaid (IA Health Link) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"hhs.iowa.gov,kff",busa-inventory-match,7
medicaid-eligibility-kansas,Do I Qualify for Kansas Medicaid (KanCare) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"kancare.ks.gov,kff",busa-inventory-match,7
medicaid-eligibility-kentucky,Do I Qualify for Kentucky Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"chfs.ky.gov,kff",busa-inventory-match,8
medicaid-eligibility-louisiana,Do I Qualify for Louisiana Medicaid (Healthy Louisiana) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"ldh.la.gov,kff",busa-inventory-match,8
medicaid-eligibility-maine,Do I Qualify for MaineCare in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"maine.gov/dhhs,kff",busa-inventory-match,7
medicaid-eligibility-maryland,Do I Qualify for Maryland Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"health.maryland.gov,kff",busa-inventory-match,8
medicaid-eligibility-massachusetts,Do I Qualify for MassHealth in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"mass.gov/masshealth,kff",busa-inventory-match,9
medicaid-eligibility-michigan,Do I Qualify for Michigan Medicaid (Healthy Michigan) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"michigan.gov/mdhhs,kff",busa-inventory-match,8
medicaid-eligibility-minnesota,Do I Qualify for Minnesota Medical Assistance in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"mn.gov/dhs,kff",busa-inventory-match,8
medicaid-eligibility-mississippi,Do I Qualify for Mississippi Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"medicaid.ms.gov,kff",busa-inventory-match,7
medicaid-eligibility-missouri,Do I Qualify for MO HealthNet (Missouri Medicaid) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"dss.mo.gov,kff",busa-inventory-match,8
medicaid-eligibility-montana,Do I Qualify for Montana Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"dphhs.mt.gov,kff",busa-inventory-match,7
medicaid-eligibility-nebraska,Do I Qualify for Nebraska Medicaid (Heritage Health) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"dhhs.ne.gov,kff",busa-inventory-match,7
medicaid-eligibility-nevada,Do I Qualify for Nevada Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"dhcfp.nv.gov,kff",busa-inventory-match,8
medicaid-eligibility-new-hampshire,Do I Qualify for New Hampshire Medicaid (Granite Advantage) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"dhhs.nh.gov,kff",busa-inventory-match,7
medicaid-eligibility-new-jersey,Do I Qualify for NJ FamilyCare (NJ Medicaid) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"njfamilycare.org,kff",busa-inventory-match,8
medicaid-eligibility-new-mexico,Do I Qualify for New Mexico Medicaid (Centennial Care) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"hsd.state.nm.us,kff",busa-inventory-match,7
medicaid-eligibility-new-york,Do I Qualify for New York Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,high,y,n,1,y,"health.ny.gov,nystateofhealth,kff",busa-inventory-match,10
medicaid-eligibility-north-carolina,Do I Qualify for NC Medicaid (Expanded 2026) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"medicaid.ncdhhs.gov,kff",busa-inventory-match,9
medicaid-eligibility-north-dakota,Do I Qualify for North Dakota Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"hhs.nd.gov,kff",busa-inventory-match,7
medicaid-eligibility-ohio,Do I Qualify for Ohio Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"medicaid.ohio.gov,kff",busa-inventory-match,8
medicaid-eligibility-oklahoma,Do I Qualify for SoonerCare (Oklahoma Medicaid) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"oklahoma.gov/ohca,kff",busa-inventory-match,8
medicaid-eligibility-oregon,Do I Qualify for Oregon Health Plan (OHP) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"oregon.gov/oha,kff",busa-inventory-match,8
medicaid-eligibility-pennsylvania,Do I Qualify for Pennsylvania Medical Assistance in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"dhs.pa.gov,kff",busa-inventory-match,8
medicaid-eligibility-rhode-island,Do I Qualify for RIte Care (Rhode Island Medicaid) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"eohhs.ri.gov,kff",busa-inventory-match,7
medicaid-eligibility-south-carolina,Do I Qualify for Healthy Connections (SC Medicaid) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"scdhhs.gov,kff",busa-inventory-match,8
medicaid-eligibility-south-dakota,Do I Qualify for South Dakota Medicaid (Expanded 2026) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"dss.sd.gov,kff",busa-inventory-match,8
medicaid-eligibility-tennessee,Do I Qualify for TennCare (Tennessee Medicaid) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"tn.gov/tenncare,kff",busa-inventory-match,8
medicaid-eligibility-texas,Do I Qualify for Texas Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,high,y,n,1,y,"hhs.texas.gov,kff",busa-inventory-match,10
medicaid-eligibility-utah,Do I Qualify for Utah Medicaid in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"medicaid.utah.gov,kff",busa-inventory-match,8
medicaid-eligibility-vermont,Do I Qualify for Vermont Medicaid (Green Mountain Care) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,low,y,n,1,y,"dvha.vermont.gov,kff",busa-inventory-match,7
medicaid-eligibility-virginia,Do I Qualify for Virginia Medicaid (Cardinal Care) in 2026? Income Limits & Rules,qa-state-eligibility,,,,,heavy,medium,y,n,1,y,"dmas.virginia.gov,kff",busa-inventory-match,8
