topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources
well-woman-exam,Well-Woman Exam Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,plannedparenthood,obvious-50"
annual-physical,Annual Physical Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,nerdwallet,obvious-50"
primary-care-visit,Primary Care Doctor Visit Cost Without Insurance in 2026,,,,,none,medium,n,1,"singlecare,goodrx,obvious-50"
specialist-visit,Specialist Office Visit Cost Without Insurance in 2026,,,,,none,medium,n,2,"obvious-50"
telehealth-visit,Telehealth Visit Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,csv-overlap=y,obvious-50"
skin-cancer-screening,Skin Cancer Screening Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,obvious-50"
dermatology-visit,Dermatology Visit Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,obvious-50"
mole-removal,Mole Removal Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,obvious-50"
biopsy,Skin or Tissue Biopsy Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,obvious-50"
allergy-testing,Allergy Testing Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,obvious-50"
sleep-study,Sleep Study Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,obvious-50"
sleep-apnea-surgery,Sleep Apnea Surgery Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
cpap-machine,CPAP Machine Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,obvious-50"
appendectomy,Appendectomy Cost Without Insurance in 2026 (CPT 44970),,,,,none,medium,n,1,"goodrx,kff,cms,csv-overlap=y,obvious-50"
gallbladder-surgery,Gallbladder Surgery (Laparoscopic Cholecystectomy) Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,cms,csv-overlap=y,obvious-50"
hernia-repair,Hernia Repair Surgery Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,cms,obvious-50"
tonsillectomy,Tonsillectomy Cost Without Insurance in 2026 (Adult + Child),,,,,none,medium,n,2,"goodrx,sidecar,cms,obvious-50"
hysterectomy,Hysterectomy Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,cms,obvious-50"
c-section,C-Section Cost Without Insurance in 2026 (CPT 59510),,,,,none,medium,n,2,"goodrx,kff,csv-overlap=y,obvious-50"
vaginal-delivery,Vaginal Delivery Cost Without Insurance in 2026 (CPT 59400),,,,,none,medium,n,2,"goodrx,kff,csv-overlap=y,obvious-50"
prenatal-care,Prenatal Care Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,kff,obvious-50"
nicu-stay,NICU Stay Cost Without Insurance in 2026 (Daily and Total),,,,,none,low,n,2,"goodrx,kff,csv-overlap=y,obvious-50"
knee-replacement,Knee Replacement Cost Without Insurance in 2026 (CPT 27447),,,,,none,high,n,2,"goodrx,kff,cms,csv-overlap=y,obvious-50"
hip-replacement,Hip Replacement Cost Without Insurance in 2026 (CPT 27130),,,,,none,high,n,2,"goodrx,kff,cms,csv-overlap=y,obvious-50"
spinal-fusion,Spinal Fusion Surgery Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,kff,obvious-50"
cataract-surgery,Cataract Surgery Cost Without Insurance in 2026 (CPT 66984),,,,,none,medium,n,2,"goodrx,kff,csv-overlap=y,obvious-50"
lasik,LASIK Cost Without Insurance in 2026,,,,,none,high,n,3,"goodrx,lasikplus,obvious-50"
vasectomy,Vasectomy Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,plannedparenthood,obvious-50"
vasectomy-reversal,Vasectomy Reversal Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
bariatric-surgery,Bariatric (Weight-Loss) Surgery Cost Without Insurance in 2026,,,,,none,high,n,2,"goodrx,obvious-50"
gynecomastia-surgery,Gynecomastia Surgery Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
breast-augmentation,Breast Augmentation Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
heart-bypass,Heart Bypass Surgery Cost Without Insurance in 2026,,,,,none,high,n,3,"goodrx,kff,obvious-50"
heart-valve-replacement,Heart Valve Replacement Cost Without Insurance in 2026,,,,,none,high,n,3,"goodrx,obvious-50"
angioplasty,Angioplasty / Stent Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
pacemaker,Pacemaker Implantation Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
organ-transplant,Organ Transplant Cost Without Insurance in 2026,,,,,none,high,n,3,"medicare,unos,kff,obvious-50"
dialysis-session,Dialysis Session Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,akf,obvious-50"
chemotherapy-session,Chemotherapy Session Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,kff,obvious-50"
radiation-oncology,Radiation Therapy Cost Without Insurance in 2026 (Per Session and Course),,,,,none,medium,n,3,"goodrx,obvious-50"
hospital-day,Hospital Stay Cost Per Day Without Insurance in 2026,,,,,none,medium,n,2,"kff,nerdwallet,csv-overlap=y,obvious-50"
ambulance-ride,Ambulance Ride Cost Without Insurance in 2026 (Ground vs Air),,,,,none,medium,n,1,"kff,goodrx,obvious-50"
stitches-er,Stitches / Laceration Repair Cost in the ER in 2026,,,,,none,low,n,2,"goodrx,obvious-50"
sprain-treatment,Sprain or Strain Treatment Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
broken-bone-cast,Broken Bone / Cast Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
mri-knee,Knee MRI Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,obvious-50"
mri-brain,Brain MRI Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,obvious-50"
mri-shoulder,Shoulder MRI Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
mri-back-lumbar,Lumbar Spine MRI Cost Without Insurance in 2026,,,,,none,medium,n,3,"obvious-50"
ct-head,Head CT Scan Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
ct-abdomen,Abdomen CT Scan Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
pet-scan,PET Scan Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,obvious-50"
bone-density-dexa,Bone Density (DEXA) Scan Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,obvious-50"
dental-x-ray,Dental X-Ray Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
ultrasound-pregnancy,Pregnancy Ultrasound Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,obvious-50"
ultrasound-abdominal,Abdominal Ultrasound Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
endoscopic-ultrasound,Endoscopic Ultrasound Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
sigmoidoscopy,Sigmoidoscopy Cost Without Insurance in 2026,,,,,none,low,n,3,"goodrx,obvious-50"
capsule-endoscopy,Capsule Endoscopy Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
ercp,ERCP Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
liver-biopsy,Liver Biopsy Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
abortion,Abortion Cost by State in 2026 (Pill + Procedure),,,,,none,high,y,2,"plannedparenthood,kff,heyjane,obvious-50"
iud-insertion,IUD Insertion Cost Without Insurance in 2026 (Mirena / Skyla / Paragard),,,,,none,medium,n,2,"singlecare,plannedparenthood,obvious-50"
nexplanon-implant,Nexplanon Implant Cost Without Insurance in 2026,,,,,none,low,n,3,"goodrx,obvious-50"
sterilization-tubal,Tubal Ligation Cost Without Insurance in 2026,,,,,none,low,n,3,"plannedparenthood,obvious-50"
d-and-c,Dilation and Curettage (D&C) Cost Without Insurance in 2026,,,,,none,low,n,3,"goodrx,obvious-50"
egg-freezing,Egg Freezing Cost Without Insurance in 2026,,,,,none,high,n,3,"fertilityiq,obvious-50"
ivf-cycle,IVF Cycle Cost Without Insurance in 2026,,,,,none,high,n,3,"fertilityiq,resolve,obvious-50"
eye-exam,Eye Exam Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,obvious-50"
eyeglasses,Eyeglasses Cost Without Insurance in 2026 (Frames + Lenses),,,,,none,medium,n,3,"obvious-50"
contact-lenses,Contact Lenses Cost Without Insurance in 2026,,,,,none,medium,n,3,"obvious-50"
hearing-test,Hearing Test Cost Without Insurance in 2026,,,,,none,low,n,1,"obvious-50"
hearing-aids,Hearing Aid Cost Without Insurance in 2026 (OTC vs Prescription),,,,,none,medium,n,2,"aarp,costco,obvious-50"
flu-shot,Flu Shot Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,cdc,obvious-50"
shingles-vaccine,Shingles Vaccine (Shingrix) Cost Without Insurance in 2026,,,,,none,low,n,2,"singlecare,goodrx,cdc,obvious-50"
tdap-vaccine,Tdap Vaccine Cost Without Insurance in 2026,,,,,none,low,n,3,"cdc,goodrx,obvious-50"
hpv-vaccine,HPV Vaccine (Gardasil) Cost Without Insurance in 2026,,,,,none,low,n,2,"cdc,obvious-50"
covid-booster,COVID Booster Cost Without Insurance in 2026,,,,,none,medium,n,2,"cdc,goodrx,obvious-50"
pneumonia-vaccine,Pneumonia Vaccine Cost Without Insurance in 2026,,,,,none,low,n,3,"cdc,obvious-50"
mri-with-contrast,MRI with Contrast Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,obvious-50"
ct-with-contrast,CT Scan with Contrast Cost Without Insurance in 2026,,,,,none,medium,n,3,"goodrx,obvious-50"
mental-health-iop,Intensive Outpatient Mental Health Program Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
inpatient-mental-health,Inpatient Mental Health (Psychiatric Hospital) Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
substance-abuse-rehab,Drug or Alcohol Rehab Cost Without Insurance in 2026,,,,,none,medium,n,2,"obvious-50"
dental-implant,Dental Implant Cost Without Insurance in 2026,,,,,none,medium,n,2,"carecredit,goodrx,obvious-50"
dentures,Dentures Cost Without Insurance in 2026 (Full + Partial),,,,,none,medium,n,2,"carecredit,obvious-50"
braces-orthodontics,Braces and Orthodontics Cost Without Insurance in 2026 (Adult + Child),,,,,none,high,n,3,"carecredit,smiledirect,obvious-50"
invisalign,Invisalign Cost Without Insurance in 2026,,,,,none,high,n,3,"invisalign,obvious-50"
prescription-glasses-vs-contacts,Prescription Glasses vs Contact Lenses Cost in 2026,,,,,none,low,n,3,"obvious-50"
oxygen-tank-home,Home Oxygen Tank Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
wheelchair-walker,Wheelchair and Walker Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
diabetes-supplies,Diabetes Test Strips and CGM Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,singlecare,obvious-50"
home-health-visit,Home Health Aide Visit Cost Without Insurance in 2026,,,,,none,low,n,3,"obvious-50"
nursing-home-day,Nursing Home Cost Per Day in 2026,,,,,none,medium,n,3,"genworth,aarp,obvious-50"
hospice-care,Hospice Care Cost Without Insurance in 2026,,,,,none,low,n,3,"medicare,obvious-50"
