topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,topic_type,sources,notes
eob,What Is an EOB? Reading Your Explanation of Benefits in 2026,1206,1206,,,none,low,n,1,single-term-definition,bing-GetKeyword-broad-13wk,Analyzer-funnel-aligned (bill literacy)
qmb,What Is QMB? Qualified Medicare Beneficiary Program 2026,921,921,,,none,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk|qmb-medicaid-benefits-526,Medicare Savings Program funnel
slmb,What Is SLMB? Specified Low-Income Medicare Beneficiary 2026,255,255,,,none,low,n,2,single-term-definition,bing-GetKeyword-broad-13wk,Companion to QMB
medicare-savings-program,What Is the Medicare Savings Program? 2026 QMB SLMB QI,536,536,,,none,low,n,1,single-term-definition,bing-GetKeyword-broad-13wk|cms-msp,Cluster head for QMB/SLMB/QI
extra-help-lis,What Is Extra Help (LIS)? 2026 Part D Low-Income Subsidy,3314,255,,,none,low,n,1,single-term-definition,bing-related-medicare-extra-help|lis-43k-broad,LIS is funnel-critical for Part D
federal-poverty-level,What Is the Federal Poverty Level? 2026 FPL Guidelines,1947,1947,,,heavy,high,n,3,single-term-definition,bing-GetKeyword-broad-13wk|busa-FPL-articles,Heavy BUSA overlap; link-target only
premium-tax-credit,What Is the Premium Tax Credit? 2026 ACA Subsidy Rules,303,303,,,slight,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk|irs-form-8962-8.8k-related,Screener funnel critical
special-enrollment-period,What Is a Special Enrollment Period? 2026 SEP Rules,124,124,,,slight,medium,n,2,single-term-definition,bing-GetKeyword-broad-13wk,Borderline demand; needed as link target for event-template
qualifying-life-event,What Is a Qualifying Life Event? 2026 SEP Triggers,176,176,,,none,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk,Strong link target for event-template fan-out
hdhp,What Is an HDHP? 2026 High-Deductible Health Plan Rules,571,571,,,none,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk|hdhp-2.5k-strict,Funnel-aligned (HSA pairing)
high-deductible-health-plan,High-Deductible Health Plan (HDHP) Explained 2026,276,276,,,none,medium,n,2,single-term-definition,bing-GetKeyword-broad-13wk|hcgov-glossary,Long-form variant of hdhp slug; possibly fold into one page
catastrophic-health-plan,What Is a Catastrophic Health Plan? 2026 ACA Eligibility Rules,99,99,,,none,low,n,2,single-term-definition,bing-related-catastrophic-1296,Borderline; under-30 demographic angle
gap-coverage-medicare,What Is the Medicare Coverage Gap (Donut Hole)? 2026 Rules,547,547,,,none,medium,n,1,single-term-definition,bing-related-what-is-gap-coverage,IRA-2025-eliminated-donut-hole angle = link magnet
deductible-vs-copay,Deductible vs Copay: 2026 Health Insurance Differences Explained,270,21,,,none,medium,n,1,comparison-2hop,bing-GetKeyword-broad-13wk,2-hop comparison; Bing-validated
deductible-vs-coinsurance,Deductible vs Coinsurance: 2026 How They Work Together,260,55,,,none,medium,n,1,comparison-2hop,bing-related-copay-vs-deductible-294|coinsurance-related,2-hop; inferred from copay-vs-deductible and coinsurance variants
copay-vs-coinsurance,Copay vs Coinsurance: 2026 Differences with Examples,585,45,,,none,medium,n,1,comparison-2hop,bing-GetKeyword-broad-13wk,2-hop; Bing-validated
deductible-vs-out-of-pocket-maximum,Deductible vs Out-of-Pocket Maximum: 2026 How They Differ,762,59,,,none,medium,n,1,comparison-2hop,bing-GetKeyword-broad-13wk,2-hop; explicitly called out in competitor-landscape §4
copay-deductible-coinsurance,"Copay vs Deductible vs Coinsurance: 2026 Health Insurance Terms Explained",1500,80,,,none,medium,n,1,comparison-2hop,already-queued-CU-149|bing-cluster,Already queued in sheet; merges 3 head terms
hmo-vs-ppo,HMO vs PPO: 2026 Plan Type Differences Explained,7242,557,,,none,high,n,1,comparison-2hop,bing-GetKeyword-broad-13wk,Highest 2-hop volume in glossary; CRITICAL write
epo-vs-ppo,EPO vs PPO: 2026 Plan Type Differences Explained,1769,136,,,none,medium,n,1,comparison-2hop,bing-GetKeyword-broad-13wk,Strong 2-hop demand
hmo-vs-ppo-vs-epo,HMO vs PPO vs EPO: 2026 Plan Type Comparison,2027,156,,,none,medium,n,2,comparison-2hop,bing-GetKeyword-broad-13wk|hmo-ppo-7.2k-broad,3-way variant; useful link target
hdhp-vs-ppo,HDHP vs PPO: 2026 High-Deductible vs Traditional Plan,372,29,,,none,medium,n,1,comparison-2hop,bing-related-hdhp-vs-ppo,2-hop validated
hsa-vs-fsa,HSA vs FSA: 2026 Which Health Savings Account Is Better,200,15,,,slight,high,n,1,comparison-2hop,bing-fsa-hsa-clusters|already-queued-CU-175,Already-queued; high search intent despite low strict (heavily polluted)
hsa-vs-hra,HSA vs HRA: 2026 Differences and How to Choose,250,19,,,none,medium,n,2,comparison-2hop,bing-hsa-hra-clusters,2-hop pair completion
fsa-vs-hra,FSA vs HRA: 2026 Account Differences for Employees,150,12,,,none,medium,n,2,comparison-2hop,bing-fsa-hra-clusters,2-hop pair completion
magi-vs-agi,MAGI vs AGI: 2026 Income Definitions for ACA and Taxes,579,45,,,none,low,n,1,comparison-2hop,bing-GetKeyword-broad-13wk,2-hop demand confirmed; critical for ACA subsidy questions
medicare-advantage-vs-medigap,Medicare Advantage vs Medigap: 2026 Which Is Better for You,776,60,,,none,medium,n,1,comparison-2hop,bing-related-medicare-advantage-vs-medigap,2-hop validated; broker-funnel-critical
original-medicare-vs-medicare-advantage,Original Medicare vs Medicare Advantage: 2026 Comparison,870,67,,,slight,medium,n,1,comparison-2hop,already-queued-CU-209|bing-related-870,Already-queued; broker-funnel-critical
medicare-vs-medicaid,Medicare vs Medicaid: 2026 Differences Explained,1200,92,,,heavy,medium,n,1,comparison-2hop,bing-cluster|busa-overlap,High demand but heavy BUSA overlap; intent-split angle = CoveredUSA does eligibility/shopping
medicaid-vs-private-insurance,Medicaid vs Private Insurance: 2026 Which Is Better,500,38,,,slight,medium,n,2,comparison-2hop,already-queued-CU-167,Already-queued; weaker than medicare-vs-medicaid
medicaid-vs-chip,Medicaid vs CHIP: 2026 Family Coverage Differences,400,31,,,heavy,medium,n,3,comparison-2hop,bing-cluster|busa-CHIP-overlap,Heavy BUSA overlap; link-target only
bronze-silver-gold,"Bronze vs Silver vs Gold Health Plans: 2026 ACA Metal Tier Differences",763,59,,,none,medium,n,1,comparison-2hop,already-queued-CU-151|bing-silver-plan-763,Already-queued; metal-tier 2-hop
silver-vs-gold,Silver vs Gold ACA Plans: 2026 Cost vs Coverage Tradeoff,180,14,,,none,low,n,2,comparison-2hop,bing-cluster|metal-tier-research,Sub-variant of bronze-silver-gold
bronze-vs-silver,Bronze vs Silver ACA Plans: 2026 CSR Loss Analysis,200,15,,,slight,low,n,2,comparison-2hop,bing-cluster|already-queued-CU-128,Companion to bronze-silver-gold
cobra-vs-marketplace,COBRA vs Marketplace: 2026 After-Job-Loss Coverage Comparison,500,38,,,heavy,medium,n,1,comparison-2hop,already-queued-CU-285|busa-cobra-vs-marketplace-direct-dupe,BUSA has exact dupe; do via intent-split (eligibility/cost focus) or skip
qmb-vs-slmb,QMB vs SLMB vs QI: 2026 Medicare Savings Program Tiers,200,15,,,none,low,n,2,comparison-2hop,bing-msp-cluster,Companion to medicare-savings-program
in-network-vs-out-of-network,"In-Network vs Out-of-Network: 2026 Cost Differences",1651,127,,,none,medium,n,2,comparison-2hop,bing-GetKeyword-broad-13wk-out-of-network,Cost-focused; analyzer funnel
premium-vs-deductible,Premium vs Deductible: 2026 Health Insurance Cost Breakdown,200,15,,,none,medium,n,2,comparison-2hop,bing-cluster|deductible-vs-premium,Common confusion; secondary
medicare-part-c-vs-part-d,Medicare Part C vs Part D: 2026 Coverage Differences,150,12,,,none,medium,n,2,comparison-2hop,bing-cluster|medicare-part-d-31k-broad,Borderline; useful link target
medigap-plan-g-vs-plan-n,Medigap Plan G vs Plan N: 2026 Coverage and Premium Differences,200,15,,,none,medium,n,2,comparison-2hop,bing-medigap-1k-broad|cluster,Niche but high-intent senior funnel
medicare-vs-employer-insurance,Medicare vs Employer Insurance at 65: 2026 Which to Keep,300,23,,,slight,medium,n,1,comparison-2hop,already-queued-CU-129,Already-queued; broker-funnel
