topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,medicare_enrollment_state,ma_penetration_state,busa_overlap,competitor_density,state_specific,priority,sources
medicare-advantage-iowa,Medicare Advantage Plans in Iowa 2026,7.4,220,1100,650000,0.47,none,medium,y,2,"NerdWallet IA page, MedicareGuide.com IA, US News IA, eHealth IA, KFF MA enrollment"
medicare-advantage-arkansas,Medicare Advantage Plans in Arkansas 2026,7.3,210,1000,665000,0.51,none,medium,y,2,"NerdWallet AR page, MedicareGuide.com AR, US News AR, eHealth AR, KFF MA enrollment"
medicare-advantage-mississippi,Medicare Advantage Plans in Mississippi 2026,7.2,200,950,635000,0.52,none,medium,y,3,"NerdWallet MS page, MedicareGuide.com MS, US News MS, eHealth MS, KFF MA enrollment"
medicare-advantage-kansas,Medicare Advantage Plans in Kansas 2026,7.1,200,950,560000,0.43,none,medium,y,3,"NerdWallet KS page, MedicareGuide.com KS, US News KS, eHealth KS, KFF MA enrollment"
medicare-advantage-nevada,Medicare Advantage Plans in Nevada 2026,7.3,210,1100,565000,0.56,none,medium,y,3,"NerdWallet NV page, MedicareGuide.com NV, US News NV, eHealth NV, KFF MA enrollment"
medicare-advantage-new-mexico,Medicare Advantage Plans in New Mexico 2026,7.0,190,900,440000,0.55,none,medium,y,3,"NerdWallet NM page, MedicareGuide.com NM, US News NM, eHealth NM, KFF MA enrollment"
medicare-advantage-nebraska,Medicare Advantage Plans in Nebraska 2026,6.8,170,800,360000,0.39,none,medium,y,3,"NerdWallet NE page, MedicareGuide.com NE, US News NE, eHealth NE, KFF MA enrollment"
medicare-advantage-west-virginia,Medicare Advantage Plans in West Virginia 2026,6.9,180,850,440000,0.52,none,medium,y,3,"NerdWallet WV page, MedicareGuide.com WV, US News WV, eHealth WV, KFF MA enrollment"
medicare-advantage-idaho,Medicare Advantage Plans in Idaho 2026,6.7,170,800,360000,0.49,none,medium,y,3,"NerdWallet ID page, MedicareGuide.com ID, US News ID, eHealth ID, KFF MA enrollment"
medicare-advantage-hawaii,Medicare Advantage Plans in Hawaii 2026,6.8,170,800,275000,0.56,none,medium,y,3,"NerdWallet HI page, MedicareGuide.com HI, US News HI, eHealth HI, KFF MA enrollment, Kaiser HI strength"
medicare-advantage-new-hampshire,Medicare Advantage Plans in New Hampshire 2026,6.4,150,700,310000,0.34,none,medium,y,3,"NerdWallet NH page, MedicareGuide.com NH, US News NH, eHealth NH, KFF MA enrollment"
medicare-advantage-maine,Medicare Advantage Plans in Maine 2026,6.5,150,750,355000,0.48,none,medium,y,3,"NerdWallet ME page, MedicareGuide.com ME, US News ME, eHealth ME, KFF MA enrollment"
medicare-advantage-montana,Medicare Advantage Plans in Montana 2026,6.2,140,650,265000,0.43,none,medium,y,3,"NerdWallet MT page, MedicareGuide.com MT, US News MT, eHealth MT, KFF MA enrollment"
medicare-advantage-rhode-island,Medicare Advantage Plans in Rhode Island 2026,6.4,150,700,230000,0.49,none,medium,y,3,"NerdWallet RI page, MedicareGuide.com RI, US News RI, eHealth RI, KFF MA enrollment"
medicare-advantage-delaware,Medicare Advantage Plans in Delaware 2026,6.2,140,650,210000,0.36,none,medium,y,3,"NerdWallet DE page, MedicareGuide.com DE, US News DE, eHealth DE, KFF MA enrollment"
medicare-advantage-south-dakota,Medicare Advantage Plans in South Dakota 2026,5.9,120,550,195000,0.36,none,low,y,3,"NerdWallet SD page, MedicareGuide.com SD, US News SD, eHealth SD, KFF MA enrollment"
medicare-advantage-north-dakota,Medicare Advantage Plans in North Dakota 2026,5.7,110,500,140000,0.34,none,low,y,3,"NerdWallet ND page, MedicareGuide.com ND, US News ND, eHealth ND, KFF MA enrollment"
medicare-advantage-alaska,Medicare Advantage Plans in Alaska 2026,4.5,80,300,110000,0.02,none,low,y,3,"NerdWallet skips AK, MedicareGuide.com AK, US News AK, eHealth AK, KFF MA enrollment, AK has lowest MA penetration"
medicare-advantage-vermont,Medicare Advantage Plans in Vermont 2026,5.5,100,450,150000,0.27,none,low,y,3,"NerdWallet VT page, MedicareGuide.com VT, US News VT, eHealth VT, KFF MA enrollment"
medicare-advantage-district-of-columbia,Medicare Advantage Plans in Washington DC 2026,5.6,110,500,95000,0.49,none,low,y,3,"NerdWallet DC may skip, MedicareGuide.com DC, US News DC, eHealth DC, KFF MA enrollment, high penetration tiny population"
