topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_queued
veteran-leaving-VA-health-insurance,Leaving VA Health Care: Marketplace and Medicare Options for Veterans 2026,25,,260,,slight,low,n,3,"va.gov,medicare.gov,competitor-landscape",n
ACA-plan-canceled-discontinued,Your ACA Plan Was Discontinued: SEP and Re-Enrollment Steps for 2026,20,,210,,none,low,n,3,"healthcare.gov-sep,cms-discontinued-plans",n
COBRA-premium-too-expensive-switch,COBRA Premiums Too High? When You Can Switch to Marketplace During SEP,20,,320,,slight,low,n,2,"healthcare.gov-sep,competitor-landscape",n
medi-cal-aging-out-19,Aging Out of Medi-Cal for Kids: California Coverage Options After Age 19,20,,170,,none,low,y,3,"dhcs-medi-cal-policy,state-medicaid-research",n
medicare-creditable-coverage-lost,Losing Creditable Coverage at 65: How to Avoid Part D Late Enrollment Penalty,20,,720,,slight,medium,n,2,"medicare.gov-creditable-coverage,boomer-benefits",n
turning-65-still-working-large-employer,Turning 65 With Employer Coverage from a Large Employer: Delay Part B Safely,20,,720,,slight,medium,n,2,"medicare.gov,boomer-benefits",n
just-had-baby-medicaid-eligibility,Just Had a Baby? Postpartum Medicaid Coverage and Newborn Enrollment 2026,20,,720,,slight,low,n,2,"medicaid.gov-postpartum,kff",n
adopt-child-medicaid-chip,Adopted a Child? Medicaid CHIP and Health Insurance Options for Adoptive Families 2026,20,,260,,none,low,n,3,"medicaid.gov-adoption,healthcare.gov-sep",n
ACA-subsidy-loss-401k-withdrawal,401(k) Withdrawal Pushed Income Over ACA Subsidy Threshold: What Now,15,,210,,none,low,n,3,"kff-subsidy,competitor-landscape",n
just-married-add-spouse-employer-plan,Just Married? How to Add Your Spouse to Employer Health Insurance 2026,15,,720,,slight,medium,n,2,"healthcare.gov-sep,carrier-policies",n
divorce-keep-employer-coverage,Divorce: Can You Stay on Your Ex's Employer Health Plan in 2026,15,,720,,slight,medium,n,2,"erisa-cobra,competitor-landscape",n
SEP-tribal-membership,Tribal Membership SEP: Year-Round Marketplace Enrollment for American Indian Alaska Native,15,,210,,none,low,n,3,"healthcare.gov-tribal-sep,ihs.gov",n
SEP-new-marketplace-application-error,New Marketplace SEP After Application Error or Eligibility Decision in 2026,15,,170,,none,low,n,3,"healthcare.gov-sep-complex,cms",n
medicare-leaving-employer-plan-special-enrollment,Leaving Employer Plan at 67 or 70: Medicare SEP and Part B Sign-Up Window,15,,720,,slight,medium,n,2,"medicare.gov-sep,boomer-benefits",n
divorced-from-active-military-tricare-loss,Divorced From Active Military Member: Losing TRICARE and Marketplace Options 2026,10,,170,,none,low,n,3,"tricare.mil,va-resources",n
just-lost-VA-eligibility,Lost VA Health Eligibility: How to Enroll in Marketplace or Medicare 2026,10,,170,,none,low,n,3,"va.gov,competitor-landscape",n
unable-to-enroll-because-medicaid-pending,Stuck in Medicaid Pending Status? Marketplace Enrollment While Waiting in 2026,10,,170,,slight,low,n,3,"healthcare.gov-medicaid-gap,kff",n
ACA-subsidy-cliff-by-state,ACA Subsidy Cliff 2026 by State: Premium Increases You Should Expect,10,,260,,none,low,y,2,"kff-state-premium-data,competitor-landscape",n
SEP-young-adult-leaving-foster-care,Aging Out of Foster Care at 18: Medicaid and Marketplace Options Through Age 26,10,,170,,slight,low,n,3,"medicaid-foster-care-policy,bring-up-children",n
spouse-deployed-military-coverage,Spouse Deployed: How Military Deployment Affects Your Health Insurance in 2026,10,,170,,none,low,n,3,"tricare.mil,competitor-landscape",n
turning-65-after-aca-marketplace,Aging Off Marketplace at 65: Switching From ACA to Medicare in 2026,10,,720,,slight,medium,n,2,"medicare.gov,healthcare.gov,boomer-benefits",n
just-married-different-state-insurance,Married But Live in Different States? Health Insurance Options for Bi-State Couples,10,,170,,none,low,n,3,"healthcare.gov-marketplace,competitor-landscape",n
ACA-cost-sharing-lost-subsidy,Lost Cost-Sharing Reductions on Your ACA Plan: What Changes for 2026,10,,260,,slight,low,n,3,"kff-csr,healthcare.gov",n
medicare-IEP-missed-late-enrollment,Missed Your Medicare Initial Enrollment Period: How to Catch Up in 2026,10,,720,,slight,medium,n,2,"medicare.gov-late-enrollment,boomer-benefits",n
employer-changes-health-plan-mid-year,Employer Changed Your Health Plan Mid-Year: Your Rights and SEP Options 2026,10,,210,,none,low,n,3,"erisa,healthcare.gov-sep,kff",n
just-released-from-hospital-coverage-gap,Just Released From the Hospital With No Coverage: Emergency Marketplace Options 2026,10,,170,,slight,low,n,3,"healthcare.gov-sep-complex-issues,cms",n
medicaid-just-lost-due-to-paperwork,Lost Medicaid for Failure to Return Paperwork: How to Reinstate Coverage in 2026,10,,170,,slight,low,n,3,"medicaid.gov,kff-unwinding",n
became-pregnant-medicaid-options,Became Pregnant and Need Coverage: Medicaid CHIP Marketplace Options in 2026,10,,720,,slight,medium,n,2,"medicaid.gov-pregnancy,healthcare.gov",n
turning-26-CA-medi-cal,Turning 26 in California: Medi-Cal and Covered California Options When You Age Off,10,,210,,slight,low,y,2,"dhcs,covered-california,state-extension-research",n
turning-26-TX-no-medicaid-expansion,Turning 26 in Texas: Marketplace Options When State Hasn't Expanded Medicaid,10,,210,,slight,low,y,2,"kff-medicaid-expansion-map,state-research",n
SEP-just-moved-from-territory-PR,Just Moved From Puerto Rico or U.S. Territory: Marketplace SEP for 2026,5,,90,,none,low,n,3,"healthcare.gov-sep,puerto-rico-aca-policy",n
SEP-just-released-jail-state-medicaid,Just Released From Jail With State Medicaid Reentry Program: Coverage for 2026,5,,90,,none,low,n,3,"kff-reentry,medicaid.gov,state-reentry",n
domestic-partner-ending-relationship,Domestic Partnership Ended: SEP and Re-Enrollment Steps in 2026,5,,90,,none,low,n,3,"healthcare.gov-sep,carrier-policies",n
spouse-medicare-but-you-not-65,Your Spouse Just Enrolled in Medicare But You're Not 65: Coverage Options 2026,5,,170,,slight,low,n,2,"medicare.gov,boomer-benefits",n
SEP-leaving-AmeriCorps-PeaceCorps,Leaving AmeriCorps or Peace Corps: Health Coverage SEP Options 2026,5,,90,,none,low,n,3,"healthcare.gov-sep,americorps",n
ACA-just-enrolled-but-changed-mind,Just Enrolled in ACA Plan But Want to Switch: Plan Change Rules and SEP 2026,5,,170,,slight,low,n,3,"healthcare.gov,kff",n
medicaid-lost-after-divorce-keep-children,Lost Medicaid After Divorce But Children Still Qualify: How to Keep Coverage 2026,5,,170,,slight,low,n,3,"medicaid.gov,kff",n
just-lost-job-COBRA-too-expensive-state-program,Just Lost Job and COBRA Too Expensive: State Health Programs for Unemployed in 2026,5,,210,,slight,low,y,2,"state-medicaid-research,kff,competitor-landscape",n
employer-stopped-offering-health-insurance,My Employer Just Stopped Offering Health Insurance: SEP and Next Steps 2026,5,,170,,slight,low,n,3,"healthcare.gov-sep,erisa",n
just-lost-job-COBRA-vs-medicaid,Just Lost Job: COBRA vs Medicaid Decision When Income Drops,5,,260,,slight,medium,n,2,"healthcare.gov,medicaid.gov,competitor-landscape",n
became-single-parent-health-insurance,Becoming a Single Parent: Health Insurance for You and Your Children in 2026,5,,210,,slight,low,n,3,"healthcare.gov,medicaid.gov-chip",n
SEP-victim-of-fraud-or-misrepresentation,SEP for Fraud or Misrepresentation by Insurance Agent: 2026 Marketplace Appeals,5,,90,,none,low,n,3,"healthcare.gov-sep-complex,cms",n
just-aged-out-medicare-cost-help,Aged Out of Cost Help (LIS Extra Help) on Medicare: Re-Apply in 2026,5,,170,,slight,low,n,3,"medicare.gov-extra-help,ssa",n
spouse-lost-employer-coverage-add-to-yours,Spouse Lost Employer Coverage: Adding Them to Your Plan via SEP 2026,5,,210,,slight,low,n,2,"healthcare.gov-sep,erisa",n
medicaid-redetermination-by-state-2026,Medicaid Redetermination 2026 by State: When Yours Is Due and What to Do,5,,720,,slight,medium,y,1,"medicaid.gov-unwinding-tracker,kff",n
