topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,medicare_enrollment_state,ma_penetration_state,busa_overlap,competitor_density,state_specific,priority,sources
maine,Medicare Advantage Plans in Maine 2026,3200,450,1600,360000,0.46,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,MaineCare-state-brand"
rhode-island,Medicare Advantage Plans in Rhode Island 2026,3300,450,1300,230000,0.50,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
montana,Medicare Advantage Plans in Montana 2026,2400,350,1000,260000,0.36,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
delaware,Medicare Advantage Plans in Delaware 2026,2600,350,1000,220000,0.45,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
west-virginia,Medicare Advantage Plans in West Virginia 2026,3300,450,1300,460000,0.51,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
hawaii,Medicare Advantage Plans in Hawaii 2026,3500,500,1300,290000,0.55,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
dc,Medicare Advantage Plans in Washington DC 2026,1900,250,720,90000,0.40,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,DC-unique-jurisdiction"
north-dakota,Medicare Advantage Plans in North Dakota 2026,1700,200,720,130000,0.28,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
south-dakota,Medicare Advantage Plans in South Dakota 2026,1800,250,720,170000,0.30,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
vermont,Medicare Advantage Plans in Vermont 2026,1400,200,590,140000,0.20,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
alaska,Medicare Advantage Plans in Alaska 2026,1100,150,480,110000,0.02,none,medium,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,NerdWallet-skips-AK"
